elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001149, 10.001149, 72694, 133, 884.7, 854, 1162, 2242, 8226, 14103, 0
20.000218, 9.999069, 69426, 78, 905.1, 861, 1196, 2616, 8781, 40877, 0
30.001477, 10.001259, 69524, 100, 908.8, 870, 1195, 2526, 7596, 30709, 0
40.00124, 9.999763, 69479, 73, 908.9, 865, 1199, 2784, 8056, 34760, 0
50.001185, 9.999945, 68726, 82, 911.1, 866, 1202, 2569, 8587, 67681, 0
60.001201, 10.000016, 68192, 71, 922.0, 866, 1219, 2701, 8313, 54932, 0
70.001178, 9.999977, 69231, 91, 918.3, 864, 1255, 2539, 7231, 101082, 0
80.001184, 10.000006, 68439, 92, 918.6, 864, 1233, 2756, 8384, 71070, 0
90.001248, 10.000064, 68117, 73, 941.9, 872, 1239, 2930, 8859, 87666, 0
100.001272, 10.000024, 68925, 98, 917.7, 863, 1232, 2592, 8600, 60806, 0
110.001194, 9.999922, 68876, 115, 912.4, 864, 1199, 2403, 8152, 80232, 0
120.00131, 10.000116, 69561, 70, 919.4, 873, 1212, 2488, 8210, 90878, 0
130.001214, 9.999904, 68518, 143, 912.1, 859, 1235, 2810, 7238, 95483, 0
140.00342, 10.002206, 69152, 100, 920.3, 866, 1209, 2729, 8215, 76749, 0
150.001217, 9.997797, 68952, 135, 921.5, 866, 1248, 2644, 7927, 98100, 0
160.001175, 9.999958, 68555, 66, 920.7, 871, 1251, 2654, 7117, 30600, 0
170.001256, 10.000081, 69896, 135, 907.7, 864, 1192, 2714, 8373, 39719, 0
180.001233, 9.999977, 68579, 74, 916.1, 870, 1219, 2475, 7639, 75815, 0
190.001193, 9.99996, 69317, 65, 917.1, 860, 1270, 2795, 7783, 40137, 0
200.001185, 9.999992, 69729, 106, 906.2, 870, 1202, 2335, 7329, 37988, 0
210.001208, 10.000023, 69534, 89, 909.9, 856, 1244, 2747, 6884, 61388, 0
220.001239, 10.000031, 69557, 89, 908.9, 860, 1260, 2356, 7112, 47513, 0
230.001183, 9.999944, 69338, 83, 908.7, 859, 1190, 2588, 8252, 65574, 0
240.001248, 10.000065, 69064, 68, 914.3, 861, 1231, 2709, 8147, 50288, 0
250.001216, 9.999968, 68889, 95, 917.7, 865, 1216, 2631, 7978, 87235, 0
260.001249, 10.000033, 69592, 77, 910.0, 860, 1210, 2577, 8409, 64755, 0
270.001264, 10.000015, 69875, 73, 893.9, 845, 1211, 2521, 8229, 44629, 0
280.00128, 10.000016, 69153, 78, 915.2, 868, 1223, 2537, 8178, 88145, 0
290.001265, 9.999985, 69780, 80, 914.4, 861, 1222, 2764, 8612, 60304, 0
300.001297, 10.000032, 70348, 66, 891.6, 854, 1185, 2397, 7875, 60529, 0
310.001235, 9.999938, 69194, 117, 913.7, 861, 1239, 2397, 8029, 69698, 0
320.00118, 9.999945, 68909, 80, 915.7, 862, 1209, 2359, 9295, 91960, 0
330.001244, 10.000064, 69403, 70, 920.0, 855, 1203, 2876, 9520, 88943, 0
340.00122, 9.999976, 68973, 76, 915.7, 865, 1198, 2824, 8062, 69618, 0
