elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001149, 10.001149, 303377, 86, 816.1, 786, 1100, 1963, 7989, 46984, 0
20.000218, 9.999069, 276879, 64, 838.0, 795, 1127, 2372, 8851, 48665, 0
30.001477, 10.001259, 276739, 79, 843.1, 800, 1131, 2340, 8467, 102032, 0
40.00124, 9.999763, 275247, 75, 838.9, 795, 1130, 2491, 8310, 36099, 0
50.001185, 9.999945, 271713, 70, 851.0, 798, 1147, 2589, 9130, 100423, 0
60.001201, 10.000016, 275201, 50, 854.5, 797, 1158, 2506, 8210, 100440, 0
70.001178, 9.999977, 277498, 77, 847.9, 797, 1196, 2207, 7116, 101071, 0
80.001184, 10.000006, 272331, 73, 853.3, 796, 1173, 2533, 8382, 80358, 0
90.001248, 10.000064, 275173, 54, 857.2, 803, 1166, 2586, 8307, 87665, 0
100.001272, 10.000024, 276386, 85, 846.3, 797, 1152, 2410, 8323, 60818, 0
110.001194, 9.999922, 280053, 72, 841.0, 796, 1137, 2210, 7776, 90878, 0
120.00131, 10.000116, 275373, 51, 845.7, 805, 1147, 2308, 7376, 90878, 0
130.001214, 9.999904, 274907, 108, 848.5, 790, 1168, 2719, 7234, 95494, 0
140.00342, 10.002206, 274232, 80, 845.5, 796, 1145, 2454, 7646, 98139, 0
150.001217, 9.997797, 276285, 52, 848.6, 798, 1172, 2352, 7729, 98139, 0
160.001175, 9.999958, 281166, 52, 852.3, 800, 1178, 2499, 7858, 60815, 0
170.001256, 10.000081, 272665, 99, 839.2, 799, 1132, 2508, 7536, 40842, 0
180.001233, 9.999977, 275144, 66, 848.7, 800, 1163, 2407, 7382, 75830, 0
190.001193, 9.99996, 280847, 47, 845.0, 793, 1188, 2634, 7465, 40217, 0
200.001185, 9.999992, 273149, 74, 837.4, 802, 1149, 2154, 6926, 70692, 0
210.001208, 10.000023, 277495, 79, 837.3, 788, 1159, 2390, 6926, 72387, 0
220.001239, 10.000031, 281029, 77, 844.3, 794, 1195, 2171, 6874, 94647, 0
230.001183, 9.999944, 280628, 81, 839.5, 791, 1124, 2357, 8585, 65689, 0
