elapsed, window, total, successful, failed
10.001149, 10.001149, 376071, 376071, 0
20.000218, 9.999069, 346305, 346305, 0
30.001477, 10.001259, 346263, 346263, 0
40.00124, 9.999763, 344726, 344726, 0
50.001185, 9.999945, 340439, 340439, 0
60.001201, 10.000016, 343393, 343393, 0
70.001178, 9.999977, 346729, 346729, 0
80.001184, 10.000006, 340770, 340770, 0
90.001248, 10.000064, 343290, 343290, 0
100.001272, 10.000024, 345311, 345311, 0
110.001194, 9.999922, 348929, 348929, 0
120.00131, 10.000116, 344934, 344934, 0
130.001214, 9.999904, 343425, 343425, 0
140.00342, 10.002206, 343384, 343384, 0
150.001217, 9.997797, 345237, 345237, 0
160.001175, 9.999958, 349721, 349721, 0
170.001256, 10.000081, 342561, 342561, 0
180.001233, 9.999977, 343723, 343723, 0
190.001193, 9.99996, 350164, 350164, 0
200.001185, 9.999992, 342878, 342878, 0
210.001208, 10.000023, 347029, 347029, 0
220.001239, 10.000031, 350586, 350586, 0
230.001183, 9.999944, 349966, 349966, 0
240.001248, 10.000065, 347470, 347470, 0
250.001216, 9.999968, 338824, 338824, 0
260.001249, 10.000033, 351333, 351333, 0
270.001264, 10.000015, 350201, 350201, 0
280.00128, 10.000016, 346265, 346265, 0
290.001265, 9.999985, 352172, 352172, 0
300.001297, 10.000032, 343122, 343122, 0
310.001235, 9.999938, 345592, 345592, 0
320.00118, 9.999945, 347002, 347002, 0
330.001244, 10.000064, 348502, 348502, 0
340.00122, 9.999976, 342783, 342783, 0
350.002898, 10.001678, 352197, 352197, 0
360.003353, 10.000455, 348861, 348861, 0
370.001196, 9.997843, 345546, 345546, 0
380.001181, 9.999985, 345489, 345489, 0
390.001273, 10.000092, 350741, 350741, 0
400.001196, 9.999923, 343273, 343273, 0
410.001192, 9.999996, 345418, 345418, 0
420.0012, 10.000008, 347695, 347695, 0
430.001285, 10.000085, 345655, 345655, 0
440.001502, 10.000217, 348049, 348049, 0
450.001312, 9.99981, 341131, 341131, 0
460.001196, 9.999884, 347946, 347946, 0
470.001204, 10.000008, 343741, 343741, 0
480.001222, 10.000018, 345096, 345096, 0
490.001201, 9.999979, 347816, 347816, 0
500.001198, 9.999997, 342845, 342845, 0
510.001431, 10.000233, 355893, 355893, 0
520.001299, 9.999868, 344794, 344794, 0
530.001191, 9.999892, 333860, 333860, 0
540.001415, 10.000224, 354122, 354122, 0
550.00126, 9.999845, 347917, 347917, 0
560.001197, 9.999937, 344182, 344182, 0
570.001182, 9.999985, 345025, 345025, 0
580.001394, 10.000212, 349215, 349215, 0
590.00134, 9.999946, 348673, 348673, 0
600.001271, 9.999931, 348596, 348596, 0
610.001213, 9.999942, 352136, 352136, 0
620.001196, 9.999983, 343920, 343920, 0
630.0012, 10.000004, 351784, 351784, 0
640.001291, 10.000091, 346955, 346955, 0
650.001218, 9.999927, 345586, 345586, 0
660.001694, 10.000476, 345512, 345512, 0
670.001242, 9.999548, 337851, 337851, 0
680.001223, 9.999981, 343160, 343160, 0
690.001213, 9.99999, 355330, 355330, 0
700.001208, 9.999995, 345903, 345903, 0
710.001189, 9.999981, 352175, 352175, 0
720.001176, 9.999987, 350142, 350142, 0
730.001193, 10.000017, 349484, 349484, 0
740.001239, 10.000046, 357929, 357929, 0
750.001205, 9.999966, 355514, 355514, 0
760.001184, 9.999979, 345349, 345349, 0
770.003631, 10.002447, 342456, 342456, 0
780.001329, 9.997698, 352803, 352803, 0
790.001258, 9.999929, 348216, 348216, 0
800.001242, 9.999984, 336038, 336038, 0
810.001349, 10.000107, 346286, 346286, 0
820.001212, 9.999863, 354217, 354217, 0
830.001233, 10.000021, 350271, 350271, 0
840.001301, 10.000068, 352120, 352120, 0
850.00132, 10.000019, 349101, 349101, 0
860.001272, 9.999952, 350439, 350439, 0
870.001196, 9.999924, 345162, 345162, 0
880.002873, 10.001677, 349104, 349104, 0
890.001192, 9.998319, 356633, 356633, 0
900.001548, 10.000356, 346978, 346978, 0
901.007158, 1.00561, 12911, 12911, 0
