elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000591, 10.000591, 127423, 680, 2353.2, 2449, 3116, 3271, 5137, 16165, 0
20.001586, 10.000995, 86926, 605, 3355.3, 3328, 3711, 4017, 13146, 28753, 0
30.001603, 10.000017, 80791, 1290, 3653.3, 3610, 4080, 4386, 9520, 27517, 0
40.001611, 10.000008, 76815, 1376, 3886.5, 3847, 4323, 4538, 8189, 100146, 0
50.001766, 10.000155, 71184, 609, 4112.4, 4070, 4750, 5383, 10644, 23886, 0
60.001635, 9.999869, 69656, 1214, 4240.9, 4193, 4919, 5928, 12284, 110176, 0
70.001639, 10.000004, 69810, 342, 4272.1, 4234, 4944, 5765, 12236, 100093, 0
80.001634, 9.999995, 70508, 1045, 4220.6, 4192, 4903, 5425, 11165, 80480, 0
90.001607, 9.999973, 69178, 974, 4256.8, 4237, 4967, 5658, 11234, 35091, 0
100.001591, 9.999984, 68857, 1750, 4292.6, 4266, 4987, 5861, 7993, 68815, 0
110.001623, 10.000032, 67256, 1513, 4375.3, 4356, 5075, 6161, 8491, 66602, 0
120.001648, 10.000025, 66826, 1550, 4467.7, 4434, 5177, 6227, 11306, 25391, 0
130.001634, 9.999986, 65992, 896, 4450.2, 4399, 5169, 6576, 13122, 107398, 0
140.00167, 10.000036, 67679, 1160, 4389.1, 4350, 5060, 5570, 8948, 71713, 0
150.001609, 9.999939, 69083, 1810, 4297.1, 4282, 4970, 5511, 8378, 74573, 0
160.001604, 9.999995, 66538, 1252, 4414.6, 4398, 5063, 5543, 9367, 28163, 0
170.001723, 10.000119, 67311, 516, 4414.2, 4378, 5144, 5830, 9754, 72644, 0
180.001614, 9.999891, 66935, 1200, 4396.4, 4358, 5088, 6215, 9540, 95289, 0
190.001626, 10.000012, 66860, 460, 4437.7, 4393, 5131, 6471, 14291, 25243, 0
200.001587, 9.999961, 67180, 1426, 4397.8, 4369, 5078, 6151, 9953, 17411, 0
210.00165, 10.000063, 67361, 281, 4437.9, 4419, 5142, 5679, 8108, 97154, 0
220.00164, 9.99999, 67516, 1093, 4346.2, 4329, 5090, 5576, 7818, 20435, 0
230.001628, 9.999988, 69900, 1008, 4274.3, 4244, 4951, 5565, 8432, 114148, 0
240.001664, 10.000036, 69093, 1368, 4286.1, 4267, 4980, 5610, 10588, 36791, 0
250.001596, 9.999932, 67314, 1270, 4371.9, 4334, 5063, 6768, 17345, 35008, 0
260.001615, 10.000019, 67646, 1309, 4404.4, 4372, 5103, 6674, 8338, 11018, 0
270.001597, 9.999982, 66901, 1743, 4392.0, 4368, 5105, 5926, 7786, 101828, 0
280.001621, 10.000024, 66561, 1421, 4427.1, 4402, 5164, 6353, 8615, 15977, 0
290.001636, 10.000015, 68140, 1972, 4382.3, 4359, 5122, 5686, 7703, 104681, 0
300.001721, 10.000085, 68424, 1145, 4297.4, 4277, 4995, 5752, 9366, 34320, 0
310.001589, 9.999868, 69243, 1624, 4298.6, 4249, 5018, 5990, 12799, 101263, 0
