elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000591, 10.000591, 1270, 866, 2381.2, 2424, 3065, 3250, 16146, 27360, 0
20.001586, 10.000995, 836, 1165, 3334.0, 3252, 3624, 5029, 16146, 27360, 0
30.001603, 10.000017, 785, 2704, 3571.6, 3543, 3998, 4180, 6789, 10905, 0
40.001611, 10.000008, 744, 2843, 3811.1, 3765, 4302, 4605, 5496, 13101, 0
50.001766, 10.000155, 690, 1218, 4020.3, 3984, 4706, 5441, 11384, 13101, 0
60.001635, 9.999869, 691, 1218, 4163.9, 4112, 4840, 6402, 11793, 13046, 0
70.001639, 10.000004, 663, 2222, 4158.4, 4112, 4780, 5363, 11793, 13046, 0
80.001634, 9.999995, 739, 1232, 4142.9, 4066, 4891, 5684, 18546, 21588, 0
90.001607, 9.999973, 686, 1232, 4223.5, 4149, 4991, 6517, 18546, 21588, 0
100.001591, 9.999984, 731, 2056, 4206.1, 4202, 4878, 5344, 7666, 8756, 0
110.001623, 10.000032, 684, 1856, 4309.3, 4284, 4974, 6168, 8141, 8402, 0
120.001648, 10.000025, 695, 2155, 4369.9, 4339, 5117, 7199, 8615, 10098, 0
130.001634, 9.999986, 668, 2062, 4438.7, 4314, 5073, 8615, 24603, 24829, 0
140.00167, 10.000036, 667, 2062, 4371.3, 4272, 5066, 6274, 17294, 24603, 0
150.001609, 9.999939, 707, 1272, 4236.8, 4189, 4923, 6022, 7845, 7958, 0
160.001604, 9.999995, 627, 513, 4283.1, 4271, 4936, 5463, 6554, 9014, 0
170.001723, 10.000119, 654, 513, 4291.2, 4284, 5029, 5463, 6441, 6640, 0
180.001614, 9.999891, 644, 2176, 4297.2, 4259, 4965, 6072, 9649, 10751, 0
190.001626, 10.000012, 633, 2652, 4412.1, 4294, 5029, 9649, 14015, 16635, 0
200.001587, 9.999961, 630, 2910, 4364.6, 4327, 5014, 5648, 11524, 13194, 0
210.00165, 10.000063, 704, 1892, 4353.1, 4342, 5076, 5542, 7917, 8366, 0
220.00164, 9.99999, 617, 2742, 4250.7, 4230, 5046, 5430, 5784, 6659, 0
230.001628, 9.999988, 682, 2570, 4203.6, 4158, 4850, 5920, 9093, 13272, 0
240.001664, 10.000036, 688, 1575, 4189.5, 4147, 4882, 5751, 9093, 13272, 0
250.001596, 9.999932, 667, 1575, 4336.4, 4260, 5036, 7018, 18024, 26497, 0
260.001615, 10.000019, 636, 2437, 4288.4, 4268, 5026, 6190, 6991, 7018, 0
270.001597, 9.999982, 661, 2650, 4303.4, 4272, 5025, 6295, 7750, 9255, 0
280.001621, 10.000024, 679, 2042, 4365.7, 4343, 5078, 6463, 7750, 8557, 0
290.001636, 10.000015, 653, 2041, 4288.6, 4265, 5015, 5998, 7867, 9266, 0
