elapsed, window, total, successful, failed
10.000591, 10.000591, 128693, 128693, 0
20.001586, 10.000995, 87762, 87762, 0
30.001603, 10.000017, 81576, 81576, 0
40.001611, 10.000008, 77559, 77559, 0
50.001766, 10.000155, 71874, 71874, 0
60.001635, 9.999869, 70347, 70347, 0
70.001639, 10.000004, 70473, 70473, 0
80.001634, 9.999995, 71247, 71247, 0
90.001607, 9.999973, 69864, 69864, 0
100.001591, 9.999984, 69588, 69588, 0
110.001623, 10.000032, 67940, 67940, 0
120.001648, 10.000025, 67521, 67521, 0
130.001634, 9.999986, 66660, 66660, 0
140.00167, 10.000036, 68346, 68346, 0
150.001609, 9.999939, 69790, 69790, 0
160.001604, 9.999995, 67165, 67165, 0
170.001723, 10.000119, 67965, 67965, 0
180.001614, 9.999891, 67579, 67579, 0
190.001626, 10.000012, 67493, 67493, 0
200.001587, 9.999961, 67810, 67810, 0
210.00165, 10.000063, 68065, 68065, 0
220.00164, 9.99999, 68133, 68133, 0
230.001628, 9.999988, 70582, 70582, 0
240.001664, 10.000036, 69781, 69781, 0
250.001596, 9.999932, 67981, 67981, 0
260.001615, 10.000019, 68282, 68282, 0
270.001597, 9.999982, 67562, 67562, 0
280.001621, 10.000024, 67240, 67240, 0
290.001636, 10.000015, 68793, 68793, 0
300.001721, 10.000085, 69128, 69128, 0
310.001589, 9.999868, 69950, 69950, 0
320.001609, 10.00002, 69910, 69910, 0
330.001657, 10.000048, 70013, 70013, 0
340.001578, 9.999921, 69992, 69992, 0
350.001606, 10.000028, 68975, 68975, 0
360.001587, 9.999981, 69012, 69012, 0
370.001598, 10.000011, 68730, 68730, 0
380.00161, 10.000012, 69430, 69430, 0
390.001611, 10.000001, 69461, 69461, 0
400.001655, 10.000044, 63508, 63508, 0
410.001588, 9.999933, 68115, 68115, 0
420.00162, 10.000032, 69097, 69097, 0
430.001617, 9.999997, 70287, 70287, 0
440.001569, 9.999952, 69650, 69650, 0
450.001604, 10.000035, 71310, 71310, 0
460.001654, 10.00005, 70121, 70121, 0
470.001628, 9.999974, 70484, 70484, 0
480.001672, 10.000044, 69858, 69858, 0
490.001588, 9.999916, 70554, 70554, 0
500.001627, 10.000039, 69740, 69740, 0
510.001574, 9.999947, 70023, 70023, 0
520.001613, 10.000039, 70794, 70794, 0
530.001608, 9.999995, 68908, 68908, 0
540.001566, 9.999958, 68480, 68480, 0
550.00158, 10.000014, 68783, 68783, 0
560.001677, 10.000097, 69293, 69293, 0
570.001639, 9.999962, 69565, 69565, 0
580.001651, 10.000012, 68397, 68397, 0
590.001602, 9.999951, 68763, 68763, 0
600.001613, 10.000011, 68830, 68830, 0
610.001601, 9.999988, 67908, 67908, 0
620.00163, 10.000029, 68038, 68038, 0
630.001608, 9.999978, 70073, 70073, 0
640.001621, 10.000013, 70748, 70748, 0
650.001629, 10.000008, 69805, 69805, 0
660.001582, 9.999953, 69942, 69942, 0
670.001596, 10.000014, 69094, 69094, 0
680.001668, 10.000072, 69672, 69672, 0
690.002114, 10.000446, 70276, 70276, 0
700.001627, 9.999513, 70447, 70447, 0
710.001671, 10.000044, 69523, 69523, 0
720.001651, 9.99998, 68521, 68521, 0
730.001591, 9.99994, 69248, 69248, 0
740.003406, 10.001815, 69631, 69631, 0
750.000645, 9.997239, 70686, 70686, 0
760.001593, 10.000948, 68306, 68306, 0
770.001601, 10.000008, 68180, 68180, 0
780.001613, 10.000012, 66769, 66769, 0
790.00159, 9.999977, 68538, 68538, 0
800.001568, 9.999978, 66838, 66838, 0
810.001675, 10.000107, 68940, 68940, 0
820.001632, 9.999957, 70240, 70240, 0
830.001608, 9.999976, 69246, 69246, 0
840.001585, 9.999977, 69846, 69846, 0
850.001571, 9.999986, 70253, 70253, 0
860.001615, 10.000044, 69564, 69564, 0
870.0016, 9.999985, 69722, 69722, 0
880.001745, 10.000145, 70293, 70293, 0
890.00164, 9.999895, 69689, 69689, 0
900.001618, 9.999978, 69698, 69698, 0
901.004098, 1.00248, 5856, 5856, 0
