elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000267, 10.000267, 65155, 94, 966.0, 926, 1339, 2290, 7482, 11619, 0
20.00134, 10.001073, 62091, 92, 1006.6, 943, 1382, 2630, 9046, 46678, 0
30.001391, 10.000051, 62277, 87, 1002.0, 942, 1409, 2442, 8507, 91021, 0
40.001223, 9.999832, 61685, 99, 1012.8, 962, 1371, 2434, 7766, 40825, 0
50.001316, 10.000093, 61918, 89, 1010.8, 957, 1387, 2317, 7694, 89893, 0
60.001319, 10.000003, 62219, 80, 1008.7, 952, 1423, 2427, 7845, 35155, 0
70.001215, 9.999896, 61548, 81, 1010.0, 949, 1436, 2509, 9277, 35913, 0
80.001335, 10.00012, 61807, 100, 1005.6, 945, 1431, 2578, 7658, 59550, 0
90.001217, 9.999882, 61194, 85, 1022.0, 950, 1605, 2645, 8403, 104748, 0
100.001274, 10.000057, 60639, 99, 1031.4, 948, 1633, 2895, 8104, 54058, 0
110.001343, 10.000069, 62079, 151, 1005.3, 939, 1516, 2619, 6343, 31105, 0
120.001693, 10.00035, 61653, 102, 1015.7, 946, 1567, 2625, 8674, 66776, 0
130.001283, 9.99959, 61774, 98, 1016.2, 941, 1549, 2958, 7262, 43239, 0
140.001239, 9.999956, 61638, 121, 1011.4, 950, 1412, 2505, 7543, 51438, 0
150.001368, 10.000129, 61647, 94, 1011.9, 951, 1391, 2462, 8584, 78484, 0
160.001233, 9.999865, 61257, 85, 1021.5, 954, 1530, 2686, 7568, 85983, 0
170.001346, 10.000113, 60684, 94, 1024.5, 968, 1389, 2600, 8626, 32101, 0
180.001363, 10.000017, 60625, 103, 1033.5, 956, 1587, 2804, 8606, 70698, 0
190.001233, 9.99987, 60631, 81, 1032.3, 961, 1575, 2770, 8271, 41771, 0
200.001244, 10.000011, 60242, 87, 1034.3, 953, 1612, 3081, 9086, 25923, 0
210.001274, 10.00003, 60935, 93, 1018.9, 943, 1595, 2863, 9015, 43849, 0
220.00123, 9.999956, 62527, 98, 1004.4, 948, 1452, 2530, 6540, 19789, 0
230.001273, 10.000043, 60180, 91, 1032.9, 956, 1676, 2746, 8712, 61658, 0
240.00137, 10.000097, 61946, 91, 1017.5, 958, 1413, 2418, 7854, 68008, 0
250.001233, 9.999863, 61534, 85, 1026.8, 948, 1627, 2736, 7150, 124725, 0
260.001368, 10.000135, 61993, 99, 1000.4, 942, 1405, 2494, 6154, 51549, 0
270.001502, 10.000134, 62473, 145, 1009.5, 941, 1545, 2530, 7039, 107745, 0
280.001247, 9.999745, 61620, 103, 1022.7, 947, 1530, 2879, 7800, 46002, 0
290.001256, 10.000009, 61703, 100, 1007.7, 944, 1439, 2491, 7364, 43407, 0
300.001254, 9.999998, 61573, 124, 1020.6, 953, 1592, 2503, 6749, 45254, 0
310.001335, 10.000081, 62116, 86, 1010.4, 942, 1543, 2583, 7839, 74384, 0
320.00124, 9.999905, 63333, 119, 995.1, 934, 1405, 2457, 7386, 51528, 0
330.008024, 10.006784, 63198, 100, 988.2, 926, 1410, 2439, 7654, 80536, 0
340.000247, 9.992223, 63296, 98, 995.1, 933, 1352, 2474, 8060, 48511, 0
350.002039, 10.001792, 62273, 98, 1012.2, 933, 1417, 2635, 9259, 57023, 0
360.000243, 9.998204, 62461, 105, 1000.3, 941, 1392, 2497, 6995, 81722, 0
370.001352, 10.001109, 61759, 113, 1015.5, 949, 1532, 2514, 7427, 67005, 0
380.00128, 9.999928, 62163, 112, 1005.6, 947, 1399, 2408, 7327, 97857, 0
390.001398, 10.000118, 62048, 94, 1009.9, 950, 1371, 2512, 8189, 118392, 0
400.001294, 9.999896, 61785, 94, 1022.8, 960, 1458, 2513, 8494, 35186, 0
410.001289, 9.999995, 61882, 108, 1004.7, 950, 1388, 2431, 8003, 59824, 0
420.001224, 9.999935, 61166, 84, 1018.9, 959, 1506, 2529, 7373, 58986, 0
430.001799, 10.000575, 61372, 89, 1022.6, 948, 1454, 2654, 8850, 116592, 0
440.001285, 9.999486, 62416, 86, 1004.5, 944, 1469, 2485, 7423, 50796, 0
450.001379, 10.000094, 61802, 108, 1004.5, 951, 1390, 2424, 8529, 63578, 0
460.00131, 9.999931, 62250, 106, 1015.1, 945, 1543, 2409, 8721, 78295, 0
470.001245, 9.999935, 61539, 110, 1012.6, 946, 1454, 2571, 7996, 139674, 0
480.001266, 10.000021, 61128, 98, 1018.5, 956, 1478, 2515, 7613, 71365, 0
490.001215, 9.999949, 60306, 82, 1039.6, 970, 1615, 2541, 7369, 66841, 0
500.001254, 10.000039, 62403, 96, 995.1, 938, 1401, 2413, 7897, 98532, 0
510.001308, 10.000054, 61836, 99, 1015.0, 955, 1567, 2412, 6176, 67223, 0
520.001311, 10.000003, 61987, 84, 1007.8, 950, 1490, 2457, 7695, 28795, 0
530.001233, 9.999922, 61733, 136, 1023.1, 962, 1485, 2367, 7630, 78574, 0
540.001215, 9.999982, 61437, 125, 1022.6, 956, 1397, 2470, 10023, 42062, 0
550.004903, 10.003688, 60512, 82, 1026.1, 959, 1541, 2562, 7690, 15009, 0
560.001229, 9.996326, 60646, 119, 1037.8, 964, 1550, 2595, 8046, 89290, 0
570.001899, 10.00067, 60602, 121, 1031.6, 959, 1629, 2652, 7967, 66887, 0
580.00221, 10.000311, 62040, 122, 1017.6, 933, 1524, 3444, 9508, 56746, 0
590.001799, 9.999589, 61852, 109, 1015.6, 956, 1387, 2423, 7782, 70893, 0
600.001224, 9.999425, 61294, 104, 1013.8, 954, 1359, 2480, 8441, 51046, 0
610.001231, 10.000007, 61152, 121, 1024.5, 949, 1624, 2659, 8275, 84746, 0
620.001218, 9.999987, 61759, 120, 1024.6, 960, 1417, 2561, 8783, 80374, 0
630.001403, 10.000185, 60156, 103, 1039.5, 975, 1486, 2506, 8398, 53111, 0
640.001911, 10.000508, 60098, 105, 1040.0, 971, 1597, 2544, 8339, 77955, 0
650.006033, 10.004122, 61241, 114, 1020.6, 956, 1442, 2625, 9048, 57066, 0
660.00028, 9.994247, 61555, 81, 1015.0, 958, 1451, 2601, 8015, 66223, 0
670.001244, 10.000964, 61737, 97, 1003.9, 931, 1498, 2876, 8960, 25560, 0
680.001244, 10.0, 61478, 83, 1031.1, 953, 1549, 2905, 8807, 39398, 0
690.001367, 10.000123, 60693, 92, 1034.9, 969, 1469, 2726, 7334, 65428, 0
700.002661, 10.001294, 62670, 107, 1005.2, 954, 1376, 2336, 7273, 119401, 0
710.001216, 9.998555, 62360, 125, 1007.3, 949, 1356, 2495, 7938, 73553, 0
720.001268, 10.000052, 60746, 100, 1036.2, 963, 1437, 2519, 7482, 142480, 0
730.001248, 9.99998, 61194, 103, 1021.6, 958, 1488, 2522, 6896, 117250, 0
740.001302, 10.000054, 61070, 127, 1014.0, 957, 1389, 2518, 9226, 41951, 0
750.001334, 10.000032, 61848, 106, 1008.7, 956, 1371, 2513, 7571, 87017, 0
760.00129, 9.999956, 61380, 95, 1027.4, 962, 1455, 2565, 7510, 105141, 0
