elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000267, 10.000267, 270177, 86, 907.9, 861, 1278, 2268, 7932, 41485, 0
20.00134, 10.001073, 244036, 99, 943.9, 876, 1314, 2556, 9379, 91107, 0
30.001391, 10.000051, 251080, 80, 942.4, 877, 1353, 2395, 9023, 91107, 0
40.001223, 9.999832, 242579, 89, 946.6, 892, 1313, 2305, 7842, 90086, 0
50.001316, 10.000093, 249256, 79, 944.6, 888, 1331, 2240, 7795, 90086, 0
60.001319, 10.000003, 249408, 76, 944.3, 886, 1339, 2325, 8840, 81886, 0
70.001215, 9.999896, 249003, 76, 943.0, 882, 1381, 2376, 8977, 35709, 0
80.001335, 10.00012, 245542, 73, 944.7, 879, 1381, 2460, 7800, 104908, 0
90.001217, 9.999882, 245525, 82, 954.8, 881, 1482, 2533, 8842, 104908, 0
100.001274, 10.000057, 242303, 90, 961.0, 881, 1504, 2737, 8256, 122854, 0
110.001343, 10.000069, 249480, 85, 937.9, 873, 1430, 2471, 6031, 66827, 0
120.001693, 10.00035, 247918, 85, 949.6, 881, 1461, 2523, 8749, 116785, 0
130.001283, 9.99959, 247673, 87, 955.1, 874, 1469, 2911, 8909, 47757, 0
140.001239, 9.999956, 247782, 86, 948.1, 882, 1341, 2441, 7644, 78592, 0
150.001368, 10.000129, 244244, 78, 947.8, 884, 1340, 2337, 8386, 78592, 0
160.001233, 9.999865, 249817, 76, 961.2, 886, 1467, 2637, 8612, 86005, 0
170.001346, 10.000113, 237387, 89, 961.1, 898, 1328, 2472, 9456, 70694, 0
180.001363, 10.000017, 246526, 79, 968.8, 891, 1491, 2828, 8851, 70694, 0
190.001233, 9.99987, 239263, 74, 966.7, 893, 1484, 2626, 8205, 65711, 0
200.001244, 10.000011, 241094, 86, 970.8, 887, 1513, 2993, 9226, 77755, 0
210.001274, 10.00003, 246175, 95, 957.5, 877, 1506, 2713, 9243, 77755, 0
220.00123, 9.999956, 248100, 81, 940.3, 882, 1383, 2433, 6535, 75905, 0
230.001273, 10.000043, 245190, 89, 966.5, 889, 1536, 2665, 8790, 109513, 0
240.00137, 10.000097, 239320, 94, 946.4, 889, 1350, 2340, 7153, 67997, 0
250.001233, 9.999863, 251198, 75, 956.3, 882, 1517, 2655, 7344, 124870, 0
260.001368, 10.000135, 245301, 86, 933.9, 873, 1367, 2481, 6297, 64567, 0
270.001502, 10.000134, 251881, 81, 934.3, 872, 1394, 2379, 7046, 53541, 0
280.001247, 9.999745, 247133, 98, 952.7, 877, 1399, 2784, 7939, 103439, 0
290.001256, 10.000009, 244912, 85, 944.3, 877, 1395, 2442, 7405, 62663, 0
300.001254, 9.999998, 248264, 116, 950.9, 884, 1452, 2404, 6516, 114479, 0
310.001335, 10.000081, 251451, 78, 944.7, 874, 1464, 2462, 8045, 117577, 0
320.00124, 9.999905, 252238, 107, 925.6, 866, 1325, 2303, 7365, 60711, 0
330.008024, 10.006784, 254962, 80, 925.4, 861, 1331, 2372, 7911, 80554, 0
340.000247, 9.992223, 248900, 86, 929.2, 867, 1299, 2380, 7996, 69856, 0
350.002039, 10.001792, 249248, 98, 938.3, 865, 1349, 2526, 9045, 57035, 0
360.000243, 9.998204, 250903, 90, 940.3, 875, 1334, 2402, 7530, 83126, 0
370.001352, 10.001109, 247733, 86, 944.2, 881, 1417, 2379, 7276, 53120, 0
380.00128, 9.999928, 247653, 79, 940.6, 878, 1328, 2325, 7343, 118539, 0
390.001398, 10.000118, 251219, 87, 944.5, 884, 1300, 2401, 8412, 118539, 0
400.001294, 9.999896, 245730, 81, 948.1, 890, 1346, 2417, 7592, 57113, 0
