elapsed, window, total, successful, failed
10.000267, 10.000267, 335332, 335332, 0
20.00134, 10.001073, 306127, 306127, 0
30.001391, 10.000051, 313357, 313357, 0
40.001223, 9.999832, 304264, 304264, 0
50.001316, 10.000093, 311174, 311174, 0
60.001319, 10.000003, 311627, 311627, 0
70.001215, 9.999896, 310551, 310551, 0
80.001335, 10.00012, 307349, 307349, 0
90.001217, 9.999882, 306719, 306719, 0
100.001274, 10.000057, 302942, 302942, 0
110.001343, 10.000069, 311559, 311559, 0
120.001693, 10.00035, 309571, 309571, 0
130.001283, 9.99959, 309447, 309447, 0
140.001239, 9.999956, 309420, 309420, 0
150.001368, 10.000129, 305891, 305891, 0
160.001233, 9.999865, 311074, 311074, 0
170.001346, 10.000113, 298071, 298071, 0
180.001363, 10.000017, 307151, 307151, 0
190.001233, 9.99987, 299894, 299894, 0
200.001244, 10.000011, 301336, 301336, 0
210.001274, 10.00003, 307110, 307110, 0
220.00123, 9.999956, 310627, 310627, 0
230.001273, 10.000043, 305370, 305370, 0
240.00137, 10.000097, 301266, 301266, 0
250.001233, 9.999863, 312732, 312732, 0
260.001368, 10.000135, 307294, 307294, 0
270.001502, 10.000134, 314354, 314354, 0
280.001247, 9.999745, 308753, 308753, 0
290.001256, 10.000009, 306615, 306615, 0
300.001254, 9.999998, 309837, 309837, 0
310.001335, 10.000081, 313567, 313567, 0
320.00124, 9.999905, 315571, 315571, 0
330.008024, 10.006784, 318160, 318160, 0
340.000247, 9.992223, 312196, 312196, 0
350.002039, 10.001792, 311521, 311521, 0
360.000243, 9.998204, 313364, 313364, 0
370.001352, 10.001109, 309492, 309492, 0
380.00128, 9.999928, 309816, 309816, 0
390.001398, 10.000118, 313267, 313267, 0
400.001294, 9.999896, 307515, 307515, 0
410.001289, 9.999995, 306332, 306332, 0
420.001224, 9.999935, 310180, 310180, 0
430.001799, 10.000575, 305065, 305065, 0
440.001285, 9.999486, 312681, 312681, 0
450.001379, 10.000094, 308125, 308125, 0
460.00131, 9.999931, 313303, 313303, 0
470.001245, 9.999935, 306616, 306616, 0
480.001266, 10.000021, 307164, 307164, 0
490.001215, 9.999949, 303876, 303876, 0
500.001254, 10.000039, 311819, 311819, 0
510.001308, 10.000054, 308274, 308274, 0
520.001311, 10.000003, 310883, 310883, 0
530.001233, 9.999922, 311489, 311489, 0
540.001215, 9.999982, 302498, 302498, 0
550.004903, 10.003688, 305151, 305151, 0
560.001229, 9.996326, 304636, 304636, 0
570.001899, 10.00067, 303955, 303955, 0
580.00221, 10.000311, 309657, 309657, 0
590.001799, 9.999589, 312716, 312716, 0
600.001224, 9.999425, 300593, 300593, 0
610.001231, 10.000007, 310019, 310019, 0
620.001218, 9.999987, 306620, 306620, 0
630.001403, 10.000185, 299580, 299580, 0
640.001911, 10.000508, 303069, 303069, 0
650.006033, 10.004122, 308613, 308613, 0
660.00028, 9.994247, 300986, 300986, 0
670.001244, 10.000964, 308610, 308610, 0
680.001244, 10.0, 307819, 307819, 0
690.001367, 10.000123, 306929, 306929, 0
700.002661, 10.001294, 308836, 308836, 0
710.001216, 9.998555, 310567, 310567, 0
720.001268, 10.000052, 303824, 303824, 0
730.001248, 9.99998, 311971, 311971, 0
740.001302, 10.000054, 306565, 306565, 0
750.001334, 10.000032, 304361, 304361, 0
760.00129, 9.999956, 306203, 306203, 0
770.001346, 10.000056, 302384, 302384, 0
780.001295, 9.999949, 302566, 302566, 0
790.001257, 9.999962, 310630, 310630, 0
800.001455, 10.000198, 305206, 305206, 0
810.006212, 10.004757, 310597, 310597, 0
820.001239, 9.995027, 309624, 309624, 0
830.001244, 10.000005, 307614, 307614, 0
840.001317, 10.000073, 305939, 305939, 0
850.001282, 9.999965, 301353, 301353, 0
860.001463, 10.000181, 307815, 307815, 0
870.001324, 9.999861, 302067, 302067, 0
880.001242, 9.999918, 310057, 310057, 0
890.001346, 10.000104, 312043, 312043, 0
900.001215, 9.999869, 303966, 303966, 0
901.010958, 1.009743, 16450, 16450, 0
