elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000543, 10.000543, 114953, 747, 2599.9, 2631, 3524, 4783, 10265, 10689, 0
20.001364, 10.000821, 85511, 130, 3440.1, 3306, 4270, 7445, 12948, 30785, 0
30.001344, 9.99998, 81272, 379, 3633.2, 3507, 4550, 6056, 10840, 47809, 0
40.001435, 10.000091, 78123, 236, 3770.8, 3634, 4710, 6683, 12052, 33489, 0
50.001393, 9.999958, 75691, 2791, 3890.9, 3739, 4725, 7044, 12195, 94733, 0
60.001399, 10.000006, 74812, 2366, 3973.1, 3810, 4975, 7060, 11940, 116569, 0
70.001395, 9.999996, 72374, 187, 4074.6, 3903, 5155, 7658, 12972, 100050, 0
80.001351, 9.999956, 71731, 2032, 4144.0, 3987, 5058, 7548, 12243, 134189, 0
90.001399, 10.000048, 71802, 300, 4121.1, 3986, 5128, 6746, 10411, 71833, 0
100.001425, 10.000026, 71911, 1321, 4105.6, 3952, 5062, 6862, 12703, 62681, 0
110.001357, 9.999932, 72273, 744, 4114.3, 3957, 5162, 7217, 13257, 64749, 0
120.001388, 10.000031, 72287, 1235, 4062.3, 3917, 4980, 6771, 11342, 99738, 0
130.001351, 9.999963, 72651, 1643, 4084.5, 3912, 5066, 7560, 14344, 26373, 0
140.001449, 10.000098, 72239, 1063, 4102.2, 3932, 5111, 7899, 13169, 64655, 0
150.001459, 10.00001, 72680, 283, 4086.4, 3918, 5106, 7407, 13317, 26089, 0
160.001444, 9.999985, 73549, 1297, 4006.5, 3851, 4958, 7569, 11752, 82737, 0
170.0014, 9.999956, 73871, 2880, 4009.4, 3869, 4969, 6511, 10511, 77312, 0
180.001472, 10.000072, 72769, 1700, 4058.5, 3924, 5014, 6539, 12003, 44823, 0
190.001421, 9.999949, 72603, 339, 4095.7, 3938, 5046, 7354, 12616, 79862, 0
200.001373, 9.999952, 73012, 1699, 4063.9, 3922, 4959, 7390, 12457, 14125, 0
210.001445, 10.000072, 72789, 195, 4054.7, 3901, 4963, 7548, 12931, 44540, 0
220.001376, 9.999931, 72020, 2893, 4120.7, 3921, 5242, 8224, 12903, 121468, 0
230.001388, 10.000012, 72546, 2754, 4069.0, 3918, 4947, 7288, 12074, 14438, 0
240.001411, 10.000023, 72244, 2488, 4105.6, 3951, 5045, 7336, 12656, 14508, 0
250.004385, 10.002974, 71475, 1440, 4120.8, 3955, 5175, 7634, 12754, 16486, 0
260.001371, 9.996986, 70783, 1688, 4174.7, 4014, 5291, 7525, 11511, 13098, 0
270.001434, 10.000063, 71978, 863, 4126.8, 3970, 5106, 7289, 12535, 115381, 0
280.0016, 10.000166, 72696, 431, 4092.0, 3962, 5080, 6962, 12068, 50972, 0
290.001411, 9.999811, 72218, 1173, 4084.1, 3947, 4953, 6590, 12609, 13699, 0
300.001401, 9.99999, 71660, 2646, 4119.3, 3922, 5318, 8038, 12407, 91169, 0
310.001401, 10.0, 72419, 1753, 4091.9, 3911, 5262, 6781, 11103, 13320, 0
320.001353, 9.999952, 71477, 2784, 4143.3, 3956, 5244, 7203, 12440, 99130, 0
330.001352, 9.999999, 73611, 1755, 4053.0, 3901, 5001, 6941, 12365, 48807, 0
340.001353, 10.000001, 71176, 202, 4116.8, 3953, 5069, 8069, 12649, 14287, 0
350.001453, 10.0001, 71496, 2833, 4143.0, 3950, 5178, 7216, 12758, 111349, 0
360.0014, 9.999947, 71687, 811, 4126.1, 3927, 5262, 7870, 12302, 104218, 0
370.001418, 10.000018, 72562, 189, 4080.7, 3907, 5036, 7716, 13331, 93129, 0
380.006069, 10.004651, 73366, 1851, 4060.8, 3898, 5005, 6872, 13414, 82353, 0
390.000601, 9.994532, 68182, 2768, 4286.3, 4169, 5204, 6349, 12908, 22289, 0
400.001375, 10.000774, 67600, 2268, 4363.1, 4219, 5447, 7003, 11657, 15347, 0
410.001351, 9.999976, 68251, 2263, 4348.9, 4187, 5434, 7678, 12561, 19048, 0
420.001403, 10.000052, 69432, 2791, 4263.4, 4096, 5319, 7323, 12699, 25046, 0
430.001356, 9.999953, 70285, 2889, 4219.5, 4024, 5409, 7546, 12293, 15147, 0
440.001425, 10.000069, 71629, 2975, 4143.9, 3987, 5169, 6959, 12114, 13599, 0
450.001418, 9.999993, 72808, 2951, 4096.6, 3940, 5046, 7109, 12875, 18934, 0
460.00137, 9.999952, 70162, 2752, 4208.7, 4038, 5152, 7238, 11374, 14252, 0
470.001501, 10.000131, 72846, 196, 4066.9, 3915, 5066, 6921, 12576, 39235, 0
480.001475, 9.999974, 71688, 2867, 4122.3, 3972, 5154, 6772, 12247, 114233, 0
490.001375, 9.9999, 70766, 241, 4184.8, 4019, 5209, 7160, 11845, 66311, 0
500.00138, 10.000005, 71197, 2956, 4161.9, 3995, 5199, 7308, 12305, 21086, 0
510.001419, 10.000039, 70357, 2285, 4193.2, 4033, 5172, 7079, 12132, 73236, 0
520.001367, 9.999948, 71458, 2439, 4142.5, 3972, 5203, 7638, 12676, 14979, 0
530.00247, 10.001103, 72636, 328, 4098.3, 3935, 5205, 7634, 12984, 109786, 0
540.001385, 9.998915, 70628, 1040, 4182.7, 4037, 5219, 7247, 12446, 77136, 0
550.001352, 9.999967, 69192, 2650, 4268.5, 4124, 5306, 6910, 11895, 89502, 0
560.001391, 10.000039, 69138, 2862, 4264.9, 4115, 5245, 7461, 12566, 70947, 0
570.001398, 10.000007, 72697, 2880, 4094.6, 3959, 5029, 6466, 10585, 75962, 0
580.001395, 9.999997, 71795, 2322, 4089.2, 3940, 5013, 6216, 12382, 82572, 0
590.001381, 9.999986, 73262, 196, 4056.0, 3911, 5031, 6916, 12577, 101314, 0
600.001385, 10.000004, 69152, 2932, 4262.5, 4097, 5234, 7067, 12161, 81319, 0
610.004763, 10.003378, 69118, 2855, 4288.5, 4138, 5275, 6751, 13387, 15717, 0
620.006356, 10.001593, 68568, 2009, 4332.0, 4132, 5615, 7463, 13692, 82275, 0
630.001376, 9.99502, 71673, 1953, 4124.5, 3973, 5133, 6862, 11917, 77452, 0
640.001375, 9.999999, 71820, 1271, 4135.1, 3984, 5131, 6773, 12462, 106336, 0
650.001358, 9.999983, 73867, 221, 4013.4, 3890, 4946, 6756, 12294, 97159, 0
660.001417, 10.000059, 72972, 413, 4042.1, 3897, 4909, 6977, 13260, 97544, 0
670.001375, 9.999958, 71305, 1242, 4146.7, 3931, 5338, 8488, 13679, 103597, 0
680.001452, 10.000077, 73006, 2708, 4093.6, 3887, 5306, 8010, 12503, 15710, 0
690.001381, 9.999929, 72078, 2928, 4098.1, 3948, 5035, 7458, 11099, 54792, 0
700.001456, 10.000075, 71970, 2899, 4110.6, 3956, 5097, 7184, 12151, 13287, 0
710.002439, 10.000983, 71289, 2581, 4162.7, 4028, 5071, 7659, 12240, 114620, 0
720.001909, 9.99947, 69393, 2933, 4244.8, 4120, 5167, 7043, 12096, 58787, 0
730.001379, 9.99947, 72351, 2729, 4101.1, 3954, 5053, 6959, 11728, 90198, 0
