elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000543, 10.000543, 1142, 1199, 2655.8, 2618, 3673, 6594, 12901, 12945, 0
20.001364, 10.000821, 847, 1733, 3425.9, 3270, 4469, 8165, 12901, 12945, 0
30.001344, 9.99998, 775, 329, 3598.0, 3460, 4446, 5803, 11213, 25175, 0
40.001435, 10.000091, 755, 329, 3750.9, 3575, 4836, 6605, 12001, 25175, 0
50.001393, 9.999958, 729, 2795, 3859.3, 3686, 4895, 7838, 10699, 10707, 0
60.001399, 10.000006, 743, 1755, 4087.9, 3747, 5024, 7743, 56043, 99973, 0
70.001395, 9.999996, 698, 1755, 4273.8, 3871, 5359, 8474, 56043, 99973, 0
80.001351, 9.999956, 742, 1634, 4124.8, 3927, 5031, 7203, 12760, 71444, 0
90.001399, 10.000048, 714, 1169, 4136.0, 3934, 5236, 6938, 9114, 71444, 0
100.001425, 10.000026, 752, 729, 4024.9, 3884, 5015, 6938, 12156, 12203, 0
110.001357, 9.999932, 746, 729, 3973.0, 3882, 4882, 6139, 7759, 7770, 0
120.001388, 10.000031, 730, 2291, 3990.5, 3869, 4848, 6525, 8030, 9915, 0
130.001351, 9.999963, 765, 1109, 4072.8, 3857, 5045, 7036, 10982, 64127, 0
140.001449, 10.000098, 695, 1109, 4127.8, 3876, 5123, 8327, 11571, 64127, 0
150.001459, 10.00001, 739, 2616, 4011.0, 3865, 5062, 6818, 11414, 12110, 0
160.001444, 9.999985, 678, 2750, 3952.5, 3786, 5039, 7051, 10915, 10944, 0
170.0014, 9.999956, 727, 3108, 3996.2, 3819, 5100, 6692, 11900, 12370, 0
180.001472, 10.000072, 697, 3037, 3975.1, 3862, 4943, 5960, 7120, 9200, 0
190.001421, 9.999949, 682, 2988, 4019.8, 3875, 4996, 6698, 10665, 12487, 0
200.001373, 9.999952, 752, 201, 3984.9, 3851, 4972, 6908, 10647, 24565, 0
210.001445, 10.000072, 667, 201, 4081.4, 3847, 5238, 8257, 12894, 24565, 0
220.001376, 9.999931, 697, 2870, 4077.9, 3855, 5238, 8491, 12894, 17493, 0
230.001388, 10.000012, 731, 3252, 4013.0, 3859, 4799, 6894, 10950, 13573, 0
240.001411, 10.000023, 708, 3233, 4039.3, 3901, 4961, 6429, 9702, 10068, 0
250.004385, 10.002974, 687, 2483, 4034.4, 3895, 5153, 7420, 10749, 11030, 0
260.001371, 9.996986, 697, 2540, 4092.1, 3937, 5086, 7826, 11218, 11281, 0
270.001434, 10.000063, 730, 2538, 4034.3, 3903, 5130, 6410, 10611, 11167, 0
280.0016, 10.000166, 684, 2525, 3998.1, 3890, 4944, 6073, 11167, 12840, 0
290.001411, 9.999811, 763, 2791, 4081.7, 3890, 5155, 8280, 12659, 13664, 0
300.001401, 9.99999, 724, 3046, 4062.7, 3871, 5278, 7354, 10236, 11143, 0
310.001401, 10.0, 687, 2984, 4043.0, 3847, 5322, 6787, 10957, 12547, 0
320.001353, 9.999952, 745, 2131, 4101.7, 3886, 5194, 6726, 12088, 48443, 0
330.001352, 9.999999, 709, 2131, 4043.3, 3837, 4926, 6907, 12130, 48443, 0
340.001353, 10.000001, 696, 960, 4039.1, 3891, 4844, 7514, 11689, 12555, 0
350.001453, 10.0001, 711, 2958, 4062.9, 3885, 4993, 7327, 11789, 13399, 0
360.0014, 9.999947, 722, 213, 3986.6, 3856, 4969, 6239, 10449, 10572, 0
370.001418, 10.000018, 714, 213, 3991.3, 3843, 5088, 7903, 10572, 10725, 0
380.006069, 10.004651, 742, 2826, 3991.3, 3843, 4946, 6193, 12519, 15193, 0
390.000601, 9.994532, 728, 3210, 4274.9, 4111, 5452, 6435, 10944, 13088, 0
400.001375, 10.000774, 735, 3084, 4279.2, 4114, 5390, 6622, 11089, 11121, 0
410.001351, 9.999976, 656, 3146, 4290.7, 4110, 5535, 8177, 9460, 9561, 0
420.001403, 10.000052, 731, 2865, 4194.8, 4002, 5442, 6952, 10823, 12824, 0
430.001356, 9.999953, 706, 3048, 4201.9, 3976, 5438, 7306, 10993, 11271, 0
440.001425, 10.000069, 720, 3105, 4126.4, 3934, 5190, 9368, 12082, 12783, 0
450.001418, 9.999993, 714, 3181, 4004.5, 3858, 4963, 6660, 10554, 13572, 0
460.00137, 9.999952, 683, 218, 4139.8, 3983, 5057, 6938, 12153, 13572, 0
470.001501, 10.000131, 656, 218, 4021.5, 3850, 5054, 7191, 10244, 14844, 0
480.001475, 9.999974, 696, 1798, 4079.9, 3930, 5226, 6382, 10999, 12619, 0
490.001375, 9.9999, 707, 1798, 4157.8, 3984, 5275, 8639, 12018, 12673, 0
500.00138, 10.000005, 739, 3167, 4080.5, 3934, 5081, 6633, 9854, 10014, 0
510.001419, 10.000039, 723, 3016, 4127.6, 3950, 5104, 6560, 9537, 12049, 0
520.001367, 9.999948, 707, 3177, 4132.3, 3927, 5169, 8609, 12282, 12414, 0
530.00247, 10.001103, 729, 1901, 4014.2, 3878, 5047, 6915, 11154, 11576, 0
540.001385, 9.998915, 726, 2379, 4122.3, 3981, 5144, 6879, 10682, 12774, 0
550.001352, 9.999967, 699, 3122, 4206.0, 4057, 5347, 6232, 11684, 11863, 0
560.001391, 10.000039, 709, 3054, 4174.6, 4031, 5223, 6668, 10968, 11910, 0
570.001398, 10.000007, 733, 2472, 4032.0, 3887, 4872, 6695, 10980, 14578, 0
580.001395, 9.999997, 798, 2472, 4047.9, 3880, 4947, 7251, 12027, 14578, 0
590.001381, 9.999986, 690, 2774, 4008.3, 3851, 5065, 7167, 10923, 13100, 0
600.001385, 10.000004, 726, 3003, 4177.0, 4011, 5217, 6085, 11115, 11595, 0
610.004763, 10.003378, 693, 2288, 4238.7, 4078, 5445, 6606, 10685, 13341, 0
620.006356, 10.001593, 688, 2288, 4303.6, 4093, 5660, 8311, 11114, 13967, 0
630.001376, 9.99502, 703, 2806, 4045.0, 3914, 5012, 6124, 11114, 11984, 0
640.001375, 9.999999, 684, 1909, 4067.9, 3932, 4968, 6092, 12607, 13322, 0
650.001358, 9.999983, 737, 370, 3989.1, 3842, 5210, 7708, 9943, 12607, 0
660.001417, 10.000059, 726, 370, 3973.1, 3852, 4857, 7450, 9727, 10914, 0
670.001375, 9.999958, 666, 2983, 4014.4, 3855, 5153, 6783, 10914, 11814, 0
680.001452, 10.000077, 764, 2826, 3965.2, 3822, 4895, 6138, 7903, 10312, 0
690.001381, 9.999929, 675, 3282, 4015.1, 3873, 4973, 6288, 9580, 9754, 0
700.001456, 10.000075, 767, 2932, 4030.9, 3886, 5048, 6929, 11631, 12180, 0
710.002439, 10.000983, 686, 3020, 4056.7, 3948, 4824, 6238, 10691, 10840, 0
720.001909, 9.99947, 675, 3133, 4213.7, 4080, 5223, 6882, 11656, 12462, 0
730.001379, 9.99947, 731, 2920, 4091.2, 3895, 5167, 9435, 11468, 11656, 0
740.00144, 10.000061, 649, 890, 4233.6, 4097, 5239, 8124, 12884, 15588, 0
750.001417, 9.999977, 750, 689, 4003.3, 3900, 5036, 6738, 9640, 12324, 0
760.001413, 9.999996, 734, 689, 3924.4, 3828, 4974, 6289, 10038, 10870, 0
770.001384, 9.999971, 721, 1382, 4038.8, 3897, 4801, 6941, 10038, 15931, 0
780.001412, 10.000028, 681, 1382, 4258.2, 4123, 5338, 7487, 11068, 18092, 0
790.001953, 10.000541, 726, 2744, 4012.3, 3830, 4827, 8342, 12265, 18092, 0
800.001441, 9.999488, 726, 2744, 4032.8, 3847, 5197, 7715, 11084, 11230, 0
810.002014, 10.000573, 704, 3025, 4024.8, 3852, 5150, 6927, 10539, 10865, 0
820.001378, 9.999364, 754, 3018, 4071.2, 3891, 5204, 6713, 10537, 12681, 0
830.001441, 10.000063, 780, 2065, 3911.4, 3815, 4931, 6767, 10653, 13904, 0
840.001394, 9.999953, 732, 2863, 3986.9, 3815, 4956, 7437, 12065, 13904, 0
850.001429, 10.000035, 747, 3001, 4016.2, 3839, 5062, 7570, 12121, 13546, 0
860.002044, 10.000615, 720, 1504, 4063.2, 3901, 5293, 7049, 9320, 10773, 0
870.001423, 9.999379, 748, 1504, 3932.2, 3806, 4908, 6812, 10000, 11137, 0
880.001515, 10.000092, 760, 2304, 4017.3, 3894, 5133, 6645, 10783, 11439, 0
890.001374, 9.999859, 715, 3002, 4037.6, 3833, 5299, 7007, 11358, 11996, 0
900.001372, 9.999998, 759, 3064, 4078.8, 3944, 5040, 6329, 11239, 11355, 0
901.00766, 1.006288, 65, 3139, 4047.0, 3929, 4904, 6321, 11239, 11355, 0
