elapsed, window, total, successful, failed
10.000543, 10.000543, 116095, 116095, 0
20.001364, 10.000821, 86358, 86358, 0
30.001344, 9.99998, 82047, 82047, 0
40.001435, 10.000091, 78878, 78878, 0
50.001393, 9.999958, 76420, 76420, 0
60.001399, 10.000006, 75555, 75555, 0
70.001395, 9.999996, 73072, 73072, 0
80.001351, 9.999956, 72473, 72473, 0
90.001399, 10.000048, 72516, 72516, 0
100.001425, 10.000026, 72663, 72663, 0
110.001357, 9.999932, 73019, 73019, 0
120.001388, 10.000031, 73017, 73017, 0
130.001351, 9.999963, 73416, 73416, 0
140.001449, 10.000098, 72934, 72934, 0
150.001459, 10.00001, 73419, 73419, 0
160.001444, 9.999985, 74227, 74227, 0
170.0014, 9.999956, 74598, 74598, 0
180.001472, 10.000072, 73466, 73466, 0
190.001421, 9.999949, 73285, 73285, 0
200.001373, 9.999952, 73764, 73764, 0
210.001445, 10.000072, 73456, 73456, 0
220.001376, 9.999931, 72717, 72717, 0
230.001388, 10.000012, 73277, 73277, 0
240.001411, 10.000023, 72952, 72952, 0
250.004385, 10.002974, 72162, 72162, 0
260.001371, 9.996986, 71480, 71480, 0
270.001434, 10.000063, 72708, 72708, 0
280.0016, 10.000166, 73380, 73380, 0
290.001411, 9.999811, 72981, 72981, 0
300.001401, 9.99999, 72384, 72384, 0
310.001401, 10.0, 73106, 73106, 0
320.001353, 9.999952, 72222, 72222, 0
330.001352, 9.999999, 74320, 74320, 0
340.001353, 10.000001, 71872, 71872, 0
350.001453, 10.0001, 72207, 72207, 0
360.0014, 9.999947, 72409, 72409, 0
370.001418, 10.000018, 73276, 73276, 0
380.006069, 10.004651, 74108, 74108, 0
390.000601, 9.994532, 68910, 68910, 0
400.001375, 10.000774, 68335, 68335, 0
410.001351, 9.999976, 68907, 68907, 0
420.001403, 10.000052, 70163, 70163, 0
430.001356, 9.999953, 70991, 70991, 0
440.001425, 10.000069, 72349, 72349, 0
450.001418, 9.999993, 73522, 73522, 0
460.00137, 9.999952, 70845, 70845, 0
470.001501, 10.000131, 73502, 73502, 0
480.001475, 9.999974, 72384, 72384, 0
490.001375, 9.9999, 71473, 71473, 0
500.00138, 10.000005, 71936, 71936, 0
510.001419, 10.000039, 71080, 71080, 0
520.001367, 9.999948, 72165, 72165, 0
530.00247, 10.001103, 73365, 73365, 0
540.001385, 9.998915, 71354, 71354, 0
550.001352, 9.999967, 69891, 69891, 0
560.001391, 10.000039, 69847, 69847, 0
570.001398, 10.000007, 73430, 73430, 0
580.001395, 9.999997, 72593, 72593, 0
590.001381, 9.999986, 73952, 73952, 0
600.001385, 10.000004, 69878, 69878, 0
610.004763, 10.003378, 69811, 69811, 0
620.006356, 10.001593, 69256, 69256, 0
630.001376, 9.99502, 72376, 72376, 0
640.001375, 9.999999, 72504, 72504, 0
650.001358, 9.999983, 74604, 74604, 0
660.001417, 10.000059, 73698, 73698, 0
670.001375, 9.999958, 71971, 71971, 0
680.001452, 10.000077, 73770, 73770, 0
690.001381, 9.999929, 72753, 72753, 0
700.001456, 10.000075, 72737, 72737, 0
710.002439, 10.000983, 71975, 71975, 0
720.001909, 9.99947, 70068, 70068, 0
730.001379, 9.99947, 73082, 73082, 0
740.00144, 10.000061, 69045, 69045, 0
750.001417, 9.999977, 73886, 73886, 0
760.001413, 9.999996, 74555, 74555, 0
770.001384, 9.999971, 72643, 72643, 0
780.001412, 10.000028, 69841, 69841, 0
790.001953, 10.000541, 73711, 73711, 0
800.001441, 9.999488, 73108, 73108, 0
810.002014, 10.000573, 73623, 73623, 0
820.001378, 9.999364, 72609, 72609, 0
830.001441, 10.000063, 75299, 75299, 0
840.001394, 9.999953, 73866, 73866, 0
850.001429, 10.000035, 73872, 73872, 0
860.002044, 10.000615, 72224, 72224, 0
870.001423, 9.999379, 74193, 74193, 0
880.001515, 10.000092, 72674, 72674, 0
890.001374, 9.999859, 73304, 73304, 0
900.001372, 9.999998, 72586, 72586, 0
901.00766, 1.006288, 6327, 6327, 0
