elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00095, 10.00095, 105267, 103, 594.3, 559, 900, 1116, 3068, 8298, 0
20.002407, 10.001457, 94970, 68, 640.9, 571, 1016, 1694, 4782, 148454, 0
30.001047, 9.99864, 98384, 47, 625.6, 565, 929, 1338, 5983, 197549, 0
40.001333, 10.000286, 97227, 54, 631.2, 567, 947, 1446, 6636, 88404, 0
50.001263, 9.99993, 95669, 106, 639.2, 576, 963, 1378, 6160, 192005, 0
60.001342, 10.000079, 99703, 62, 610.2, 561, 930, 1214, 4571, 50029, 2
70.001304, 9.999962, 97780, 47, 624.6, 563, 961, 1383, 5665, 110854, 3
80.001182, 9.999878, 97169, 67, 629.2, 576, 969, 1491, 4854, 18112, 0
90.001112, 9.99993, 97651, 48, 596.5, 555, 904, 1177, 5028, 67262, 4
100.002259, 10.001147, 96906, 53, 633.1, 568, 973, 1505, 5514, 191253, 0
110.001148, 9.998889, 95548, 76, 630.4, 580, 971, 1199, 4381, 11788, 1
120.001421, 10.000273, 97194, 93, 621.9, 568, 936, 1198, 5333, 95829, 4
130.00099, 9.999569, 95745, 101, 636.7, 569, 970, 1719, 7015, 125519, 0
140.002324, 10.001334, 95302, 97, 623.9, 570, 922, 1151, 4964, 151506, 1
150.001377, 9.999053, 97533, 65, 629.1, 572, 967, 1491, 3355, 175230, 0
160.001087, 9.99971, 95580, 72, 629.2, 573, 978, 1329, 4923, 29527, 4
170.001405, 10.000318, 94863, 58, 638.7, 577, 979, 1606, 6016, 94629, 0
180.00101, 9.999605, 96471, 47, 603.7, 560, 914, 1244, 4172, 113599, 4
190.001957, 10.000947, 95820, 51, 635.9, 566, 985, 1634, 6434, 248650, 4
200.00189, 9.999933, 94112, 66, 641.9, 580, 997, 1602, 4852, 34984, 0
210.001954, 10.000064, 97193, 55, 605.1, 557, 908, 1181, 5686, 165180, 7
220.001996, 10.000042, 95584, 69, 644.8, 575, 1057, 1696, 4989, 94461, 0
230.004679, 10.002683, 94525, 62, 650.7, 576, 998, 1649, 6147, 179439, 0
240.000957, 9.996278, 99195, 130, 613.3, 559, 927, 1311, 5850, 86873, 1
250.002038, 10.001081, 95111, 55, 640.6, 562, 949, 1590, 7693, 141936, 0
260.002052, 10.000014, 97676, 67, 620.2, 565, 930, 1241, 4545, 185964, 1
270.00124, 9.999188, 95596, 112, 627.3, 575, 944, 1316, 5395, 40100, 1
280.002045, 10.000805, 98278, 80, 631.8, 569, 947, 1400, 5309, 183606, 0
290.001128, 9.999083, 94685, 118, 638.6, 580, 972, 1267, 5966, 30734, 5
300.001389, 10.000261, 96956, 114, 629.0, 566, 977, 1670, 6067, 21442, 0
310.000961, 9.999572, 96468, 56, 621.2, 566, 974, 1499, 5164, 36327, 2
320.002119, 10.001158, 94610, 54, 619.0, 576, 940, 1191, 3944, 10281, 2
330.001526, 9.999407, 96948, 131, 622.4, 567, 957, 1474, 5253, 144175, 5
340.001161, 9.999635, 96910, 85, 642.2, 573, 1011, 1653, 5188, 173545, 0
350.001365, 10.000204, 95193, 98, 647.0, 579, 981, 1663, 6937, 154874, 0
360.001038, 9.999673, 97329, 113, 628.2, 576, 951, 1187, 5701, 152648, 0
370.002206, 10.001168, 95369, 81, 630.0, 573, 971, 1537, 5355, 25693, 4
380.000956, 9.99875, 94112, 78, 649.7, 588, 1027, 1450, 4612, 110717, 0
390.003264, 10.002308, 78462, 62, 777.4, 594, 1739, 2240, 8867, 128169, 0
400.001178, 9.997914, 90354, 69, 699.5, 580, 1284, 2559, 9427, 130490, 0
410.000943, 9.999765, 95983, 93, 630.1, 576, 937, 1222, 4832, 148752, 1
420.002163, 10.00122, 97939, 80, 635.1, 571, 956, 1227, 6479, 153827, 0
430.000982, 9.998819, 96828, 84, 635.0, 571, 1005, 1487, 4595, 96442, 0
440.002002, 10.00102, 96489, 80, 634.6, 575, 1002, 1469, 4282, 188752, 1
450.002312, 10.00031, 92883, 105, 651.2, 578, 1020, 1636, 5998, 187341, 0
460.000963, 9.998651, 97721, 57, 629.3, 571, 986, 1590, 4045, 167639, 0
470.002009, 10.001046, 94373, 71, 643.2, 576, 995, 1560, 5495, 190352, 1
480.001897, 9.999888, 97715, 75, 626.9, 567, 963, 1264, 7030, 34167, 0
490.002301, 10.000404, 97179, 63, 622.1, 568, 942, 1538, 5469, 48842, 2
500.001334, 9.999033, 95795, 79, 640.4, 576, 992, 1472, 6040, 188335, 0
510.001024, 9.99969, 98321, 47, 631.2, 568, 966, 1606, 4657, 160148, 0
520.002179, 10.001155, 95356, 96, 640.4, 572, 1043, 1725, 5209, 14181, 0
530.001075, 9.998896, 94769, 97, 653.8, 577, 1122, 1776, 4784, 12524, 0
540.001269, 10.000194, 97423, 79, 636.4, 570, 997, 1602, 5335, 125081, 0
550.000912, 9.999643, 94673, 62, 649.4, 577, 967, 1511, 7711, 156254, 0
560.001935, 10.001023, 94110, 102, 649.2, 581, 993, 1398, 7038, 126738, 0
570.002158, 10.000223, 96267, 116, 609.0, 561, 944, 1306, 4442, 31722, 7
580.000877, 9.998719, 96325, 60, 633.0, 565, 1041, 1558, 4757, 121830, 1
590.001979, 10.001102, 96783, 63, 599.6, 563, 907, 1115, 5093, 33986, 6
600.002017, 10.000038, 96395, 99, 640.7, 568, 946, 1209, 7563, 158464, 0
610.000966, 9.998949, 95809, 64, 638.1, 570, 957, 1462, 7044, 134525, 0
620.002336, 10.00137, 95894, 64, 639.8, 568, 1005, 1763, 5364, 184354, 0
630.001072, 9.998736, 96614, 55, 614.5, 565, 922, 1219, 6007, 20650, 2
640.001197, 10.000125, 96884, 56, 608.6, 566, 913, 1157, 3669, 139203, 1
650.002011, 10.000814, 93067, 59, 656.4, 578, 1155, 1757, 3988, 49192, 0
660.002169, 10.000158, 95452, 56, 631.2, 569, 949, 1353, 6570, 160801, 1
670.001176, 9.999007, 96753, 88, 631.3, 571, 995, 1481, 4444, 44617, 4
680.00133, 10.000154, 94708, 91, 643.4, 579, 995, 1507, 7420, 96673, 0
690.001079, 9.999749, 98580, 63, 615.5, 566, 923, 1190, 5138, 144808, 3
700.001946, 10.000867, 94700, 79, 644.5, 571, 998, 1530, 8679, 143053, 0
710.001998, 10.000052, 95622, 103, 641.3, 578, 997, 1479, 5254, 148065, 0
720.002121, 10.000123, 97849, 58, 639.9, 568, 1043, 1673, 4703, 131293, 0
730.000964, 9.998843, 95299, 104, 622.0, 569, 962, 1260, 4213, 81276, 7
740.002104, 10.00114, 95584, 138, 633.0, 577, 1027, 1499, 3249, 15924, 2
750.001882, 9.999778, 96195, 69, 627.3, 571, 924, 1157, 4811, 188913, 6
760.00221, 10.000328, 94975, 74, 636.1, 568, 977, 1582, 6400, 80618, 2
770.00245, 10.00024, 93496, 85, 657.3, 586, 1030, 1700, 6216, 40546, 0
780.001193, 9.998743, 96024, 55, 641.9, 575, 949, 1363, 6126, 177534, 0
790.001013, 9.99982, 97007, 115, 605.6, 562, 916, 1188, 4539, 128817, 4
800.001943, 10.00093, 93614, 70, 642.5, 577, 1017, 1577, 5247, 74714, 0
810.002014, 10.000071, 97683, 70, 612.6, 562, 933, 1366, 6777, 43928, 2
820.002128, 10.000114, 95783, 55, 599.5, 560, 907, 1171, 3876, 194983, 7
830.001078, 9.99895, 92991, 95, 657.9, 579, 1015, 1621, 6741, 153738, 0
840.000884, 9.999806, 96448, 48, 632.4, 573, 959, 1526, 5273, 169046, 0
850.002166, 10.001282, 96954, 63, 628.6, 573, 954, 1429, 5175, 82866, 7
860.001144, 9.998978, 95039, 90, 645.6, 580, 1001, 1512, 6573, 105746, 0
870.001245, 10.000101, 96604, 90, 627.1, 571, 961, 1554, 5442, 50331, 0
880.001047, 9.999802, 93065, 63, 657.6, 577, 1106, 1763, 5908, 91666, 0
890.000919, 9.999872, 94736, 77, 627.4, 580, 941, 1180, 3919, 136829, 5
900.002316, 10.001397, 95658, 110, 642.2, 570, 961, 1502, 5998, 196337, 0
901.006973, 1.004657, 5300, 110, 657.5, 575, 1038, 1604, 5088, 196337, 0
