elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.002365, 10.002365, 375962, 56, 645.6, 591, 989, 1343, 5414, 51006, 0
20.001047, 9.998682, 345596, 47, 663.8, 595, 997, 1439, 7395, 129825, 12
30.000911, 9.999864, 351786, 56, 663.2, 595, 1017, 1546, 6466, 188146, 4
40.001988, 10.001077, 357589, 51, 639.6, 584, 956, 1312, 4178, 156956, 10
50.001932, 9.999944, 348034, 52, 679.9, 602, 1065, 1670, 6642, 199623, 0
60.002851, 10.000919, 327018, 50, 713.0, 617, 1213, 2197, 6655, 165753, 0
70.002087, 9.999236, 362576, 56, 645.4, 588, 977, 1596, 4682, 37496, 13
80.000808, 9.998721, 343435, 49, 686.0, 610, 1081, 1740, 6983, 147496, 0
90.002293, 10.001485, 352811, 50, 665.9, 597, 1000, 1549, 6555, 147496, 0
100.001235, 9.998942, 354044, 54, 641.2, 588, 951, 1292, 5326, 117275, 12
110.001068, 9.999833, 352573, 47, 660.3, 593, 968, 1313, 5714, 180871, 14
120.001322, 10.000254, 352443, 47, 675.4, 599, 1077, 1769, 5778, 38494, 1
130.001171, 9.999849, 346600, 52, 683.8, 608, 1077, 1853, 5334, 75886, 0
140.002253, 10.001082, 353823, 50, 662.1, 598, 1015, 1406, 6304, 127426, 0
150.001186, 9.998933, 348706, 50, 665.7, 594, 1004, 1521, 6074, 189196, 0
160.000796, 9.99961, 345629, 53, 651.3, 589, 963, 1325, 5424, 130235, 15
170.002208, 10.001412, 354084, 67, 641.8, 589, 981, 1445, 4197, 191097, 19
180.000907, 9.998699, 356784, 47, 660.2, 591, 1014, 1556, 4258, 176513, 1
190.001949, 10.001042, 355311, 46, 669.8, 592, 1033, 1687, 6752, 97783, 1
200.001987, 10.000038, 340709, 57, 682.9, 603, 1053, 1713, 9508, 119348, 0
210.001952, 9.999965, 340199, 55, 686.9, 609, 1101, 1825, 6049, 137540, 0
220.002154, 10.000202, 362398, 57, 655.0, 589, 981, 1457, 4981, 137540, 3
230.000907, 9.998753, 350987, 59, 668.0, 603, 1022, 1544, 6328, 39486, 0
240.001955, 10.001048, 342677, 46, 676.6, 602, 1054, 1715, 6642, 105015, 0
250.002342, 10.000387, 335780, 46, 688.9, 599, 1091, 1961, 6565, 118241, 0
260.000893, 9.998551, 348772, 51, 661.8, 600, 1002, 1403, 4757, 172004, 13
270.001839, 10.000946, 353397, 47, 631.4, 590, 949, 1151, 3134, 68451, 21
280.002166, 10.000327, 368772, 66, 644.0, 596, 969, 1267, 3779, 179677, 18
290.002283, 10.000117, 350280, 63, 657.7, 599, 992, 1309, 4791, 102147, 0
300.000828, 9.998545, 351505, 58, 657.2, 597, 1000, 1251, 3889, 119342, 0
310.001869, 10.001041, 340857, 62, 687.2, 606, 1088, 1806, 7140, 119342, 0
320.002073, 10.000204, 329691, 50, 705.9, 612, 1121, 1950, 7257, 136667, 0
330.001941, 9.999868, 351208, 55, 674.0, 607, 1050, 1626, 4509, 191875, 0
340.00233, 10.000389, 353453, 47, 666.1, 598, 1008, 1561, 6812, 50048, 14
350.00123, 9.9989, 343665, 47, 663.6, 597, 970, 1265, 7198, 95075, 0
360.00101, 9.99978, 356466, 47, 649.8, 590, 974, 1305, 5322, 158105, 20
370.002208, 10.001198, 349863, 46, 671.0, 600, 1037, 1761, 5694, 158105, 0
380.001178, 9.99897, 344767, 44, 667.5, 602, 1046, 1623, 5849, 28620, 9
390.002328, 10.00115, 278110, 43, 828.4, 616, 1938, 5213, 10422, 46827, 5
400.000985, 9.998657, 322826, 62, 701.4, 590, 1231, 2064, 7813, 190839, 14
410.001796, 10.000811, 364477, 61, 657.0, 591, 987, 1415, 4951, 168899, 0
420.001982, 10.000186, 361322, 59, 656.0, 595, 1024, 1494, 4001, 97418, 0
430.001879, 9.999897, 343525, 56, 668.7, 594, 990, 1531, 6195, 199950, 0
440.011665, 10.009786, 351539, 48, 666.0, 590, 978, 1449, 8072, 199950, 2
450.001321, 9.989656, 352567, 49, 651.5, 594, 973, 1265, 5450, 143600, 11
460.001039, 9.999718, 349537, 49, 657.3, 593, 958, 1244, 6724, 107544, 13
470.001906, 10.000867, 341626, 49, 674.8, 604, 1055, 1579, 6141, 102767, 8
480.001959, 10.000053, 350191, 47, 657.4, 595, 1010, 1518, 4691, 194798, 6
490.002145, 10.000186, 352459, 50, 671.1, 600, 1062, 1701, 4928, 103638, 0
500.00106, 9.998915, 341397, 47, 688.9, 608, 1070, 1742, 6658, 134759, 0
510.001855, 10.000795, 328602, 51, 697.5, 611, 1098, 1901, 6649, 129254, 0
520.002053, 10.000198, 337736, 51, 680.0, 605, 1046, 1748, 6243, 202878, 14
530.002138, 10.000085, 347663, 54, 665.7, 593, 1040, 1710, 5555, 132361, 0
540.000897, 9.998759, 357169, 51, 665.1, 599, 1069, 1675, 3339, 48916, 0
550.001897, 10.001, 346480, 50, 668.8, 595, 1015, 1702, 7580, 40500, 0
560.002165, 10.000268, 350463, 50, 659.8, 597, 983, 1453, 6343, 70175, 11
570.001003, 9.998838, 358568, 53, 659.0, 591, 1031, 1628, 4536, 136207, 0
580.002342, 10.001339, 349389, 63, 645.9, 599, 979, 1271, 4224, 146434, 16
590.001096, 9.998754, 344724, 49, 673.6, 609, 1023, 1523, 5834, 178902, 11
600.002072, 10.000976, 337635, 61, 678.1, 609, 1061, 1669, 5889, 100346, 0
610.001625, 9.999553, 335166, 49, 690.0, 609, 1068, 1820, 5742, 191995, 8
620.001107, 9.999482, 331190, 48, 714.5, 628, 1213, 1906, 5157, 111050, 0
630.001159, 10.000052, 352898, 53, 670.9, 603, 1025, 1519, 5849, 54927, 1
640.001222, 10.000063, 345038, 63, 674.9, 597, 1000, 1513, 8137, 99316, 0
650.000837, 9.999615, 362344, 47, 651.1, 592, 1000, 1512, 3793, 99316, 10
660.002566, 10.001729, 354489, 47, 671.3, 605, 1066, 1655, 3660, 147073, 0
670.000964, 9.998398, 336848, 50, 690.1, 607, 1074, 1711, 8230, 135790, 0
680.001902, 10.000938, 346608, 40, 680.7, 604, 1000, 1423, 7959, 130829, 0
690.002089, 10.000187, 345532, 62, 668.2, 601, 1033, 1542, 5284, 78858, 7
700.000885, 9.998796, 356900, 50, 676.0, 604, 1071, 1769, 5083, 199816, 0
