elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000831, 10.000831, 154425, 211, 1956.1, 1996, 3026, 3533, 5703, 9121, 0
20.001693, 10.000862, 92061, 193, 3103.4, 3045, 3686, 5137, 14270, 107434, 0
30.003742, 10.002049, 63800, 177, 4511.7, 3557, 7450, 11456, 16822, 155481, 0
40.001595, 9.997853, 81344, 375, 3784.5, 3568, 4953, 10525, 19159, 62620, 0
50.00156, 9.999965, 76861, 831, 3799.5, 3765, 4480, 5738, 10223, 145382, 0
60.001786, 10.000226, 74702, 831, 3970.6, 3918, 4697, 6317, 10546, 134281, 0
70.001757, 9.999971, 74755, 1472, 3977.9, 3921, 4660, 6183, 11486, 88925, 0
80.001675, 9.999918, 73514, 249, 4014.6, 3954, 4753, 5907, 12155, 79822, 0
90.001571, 9.999896, 73734, 1341, 4039.2, 3998, 4668, 5157, 7326, 154211, 0
100.00157, 9.999999, 71725, 1830, 4099.0, 4100, 4744, 5221, 8898, 45143, 0
110.001655, 10.000085, 71728, 886, 4123.0, 4099, 4789, 5605, 10926, 54556, 0
120.001788, 10.000133, 72026, 1088, 4094.7, 4069, 4729, 5148, 15821, 43940, 0
130.001583, 9.999795, 72566, 966, 4141.7, 4117, 4770, 5661, 13146, 121322, 0
140.001545, 9.999962, 70664, 773, 4128.2, 4094, 4787, 5660, 9914, 260161, 0
150.001629, 10.000084, 71654, 1171, 4166.8, 4152, 4871, 5964, 9834, 35450, 0
160.001744, 10.000115, 70568, 367, 4189.3, 4130, 4934, 6406, 11724, 165920, 0
170.002008, 10.000264, 73218, 1408, 4063.0, 4034, 4692, 5324, 11139, 180697, 0
180.001834, 9.999826, 71192, 1830, 4105.5, 4083, 4766, 5400, 8962, 182124, 0
190.001745, 9.999911, 70862, 1021, 4206.2, 4124, 5068, 7659, 13630, 75921, 0
200.00178, 10.000035, 71557, 398, 4146.1, 4088, 4912, 6451, 12443, 163758, 0
210.001715, 9.999935, 71762, 721, 4073.9, 4049, 4724, 5556, 8279, 234286, 0
220.001591, 9.999876, 74502, 391, 4030.3, 4003, 4677, 5542, 10690, 102706, 0
230.002036, 10.000445, 72527, 1369, 4010.6, 3983, 4626, 5182, 8628, 287720, 0
240.001554, 9.999518, 73408, 464, 4046.8, 4026, 4680, 5354, 7761, 108762, 0
250.001775, 10.000221, 71742, 218, 4111.7, 4065, 4771, 6088, 15156, 110094, 0
260.001563, 9.999788, 73750, 464, 4058.9, 4046, 4705, 5729, 15243, 76515, 0
270.001558, 9.999995, 73060, 1202, 4041.9, 4012, 4702, 5354, 7023, 261178, 0
280.001667, 10.000109, 72672, 299, 4052.7, 4030, 4686, 5298, 8525, 241352, 0
290.003393, 10.001726, 70677, 810, 4135.5, 4077, 4899, 6640, 17759, 56768, 0
300.001139, 9.997746, 71782, 462, 4126.9, 4082, 4855, 6431, 10334, 65225, 0
310.000582, 9.999443, 71671, 1334, 4173.5, 4089, 4910, 7000, 14066, 121964, 0
320.001638, 10.001056, 71748, 1257, 4082.3, 4054, 4755, 5557, 9155, 154349, 0
330.002378, 10.00074, 72951, 720, 4061.2, 4024, 4768, 5892, 11286, 114905, 0
340.001976, 9.999598, 72917, 1281, 4058.1, 4018, 4773, 6050, 9531, 115256, 0
350.00172, 9.999744, 73823, 1184, 4017.3, 3983, 4630, 5494, 8109, 164705, 0
360.001614, 9.999894, 74029, 988, 4038.5, 4012, 4689, 5276, 9596, 87486, 0
370.001802, 10.000188, 69293, 367, 4220.9, 4115, 5060, 7759, 18890, 117057, 0
380.001766, 9.999964, 70191, 1094, 4193.4, 4113, 5084, 7563, 13167, 78759, 0
390.001724, 9.999958, 71664, 1111, 4136.7, 4091, 4844, 5864, 14285, 96198, 0
400.001558, 9.999834, 71752, 434, 4116.3, 4078, 4810, 6022, 14461, 29880, 0
410.001961, 10.000403, 73288, 920, 4037.6, 4001, 4656, 5481, 11550, 83214, 0
420.001859, 9.999898, 73821, 1624, 4022.9, 3987, 4642, 5403, 8004, 111504, 0
430.001764, 9.999905, 73806, 894, 4012.0, 3975, 4582, 5230, 13374, 69788, 0
440.001712, 9.999948, 74426, 586, 4032.1, 3996, 4637, 5805, 12444, 72938, 0
450.00375, 10.002038, 73102, 1682, 4001.3, 3985, 4600, 5065, 7000, 292030, 0
460.001891, 9.998141, 72651, 306, 4043.2, 4005, 4674, 5893, 12508, 93779, 0
470.001884, 9.999993, 72519, 916, 4106.9, 4065, 4762, 6490, 11938, 33703, 0
480.002304, 10.00042, 72476, 727, 4068.2, 4048, 4698, 5366, 9628, 65132, 0
490.000792, 9.998488, 71902, 225, 4107.9, 4057, 4733, 6102, 13395, 70191, 0
500.00157, 10.000778, 73174, 420, 4093.7, 4057, 4786, 6314, 9115, 112004, 0
510.001594, 10.000024, 73267, 1116, 4033.8, 4014, 4648, 5206, 7621, 214281, 0
