elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000831, 10.000831, 1534, 418, 1951.5, 1971, 3028, 3588, 5524, 15133, 0
20.001693, 10.000862, 897, 1321, 3041.7, 3005, 3616, 5006, 12668, 15133, 0
30.003742, 10.002049, 611, 1515, 4931.5, 3495, 7421, 11469, 155198, 155396, 0
40.001595, 9.997853, 781, 1939, 3713.7, 3509, 4483, 10623, 16537, 17262, 0
50.00156, 9.999965, 753, 1939, 3788.8, 3682, 4495, 7325, 12922, 13065, 0
60.001786, 10.000226, 723, 2094, 3852.4, 3820, 4597, 6223, 9854, 10415, 0
70.001757, 9.999971, 719, 1811, 3848.0, 3832, 4521, 5455, 9854, 10415, 0
80.001675, 9.999918, 771, 1811, 3880.5, 3853, 4753, 5524, 6923, 7078, 0
90.001571, 9.999896, 759, 1896, 3938.0, 3925, 4617, 5308, 6105, 11577, 0
100.00157, 9.999999, 748, 1793, 4121.2, 4028, 4679, 5169, 46358, 46749, 0
110.001655, 10.000085, 751, 1793, 4117.8, 3985, 4679, 5977, 46358, 46749, 0
120.001788, 10.000133, 732, 2603, 4001.4, 4004, 4645, 5152, 9700, 10222, 0
130.001583, 9.999795, 711, 830, 3985.9, 4008, 4642, 5454, 7616, 13170, 0
140.001545, 9.999962, 725, 830, 4030.9, 4016, 4695, 6310, 11433, 17454, 0
150.001629, 10.000084, 674, 1114, 4044.8, 4043, 4792, 6381, 10001, 10015, 0
160.001744, 10.000115, 677, 934, 4021.2, 4005, 4765, 6670, 10015, 16841, 0
170.002008, 10.000264, 711, 1630, 3906.9, 3916, 4560, 4895, 9518, 9683, 0
180.001834, 9.999826, 677, 1890, 3987.0, 3988, 4716, 5419, 7663, 9683, 0
190.001745, 9.999911, 691, 1298, 4035.8, 4007, 4978, 7408, 9155, 10901, 0
200.00178, 10.000035, 735, 1298, 3985.5, 3968, 4729, 6142, 11071, 12234, 0
210.001715, 9.999935, 630, 2197, 4031.5, 3962, 4681, 7569, 11834, 15170, 0
220.001591, 9.999876, 751, 1421, 3931.2, 3913, 4568, 5275, 11834, 15170, 0
230.002036, 10.000445, 731, 1421, 3883.1, 3909, 4554, 5315, 8652, 10263, 0
240.001554, 9.999518, 694, 1573, 3903.0, 3920, 4500, 4838, 5315, 5475, 0
250.001775, 10.000221, 715, 400, 4024.2, 4015, 4687, 6826, 7902, 8681, 0
260.001563, 9.999788, 729, 400, 3900.7, 3938, 4599, 6110, 6826, 7216, 0
270.001558, 9.999995, 717, 1341, 3877.7, 3937, 4573, 5089, 6373, 11667, 0
280.001667, 10.000109, 723, 972, 3924.0, 3934, 4562, 4962, 10749, 11665, 0
290.003393, 10.001726, 743, 972, 4037.8, 3973, 4851, 6589, 10749, 11665, 0
300.001139, 9.997746, 713, 774, 4027.1, 3973, 4855, 6447, 8540, 9427, 0
310.000582, 9.999443, 678, 2197, 4058.9, 4031, 4825, 5829, 10626, 14590, 0
320.001638, 10.001056, 729, 946, 3972.6, 3940, 4608, 5571, 11155, 19922, 0
330.002378, 10.00074, 703, 946, 4260.6, 3910, 4717, 5865, 88833, 114253, 0
340.001976, 9.999598, 753, 1755, 3977.4, 3939, 4662, 6360, 10410, 22479, 0
350.00172, 9.999744, 708, 1645, 3923.0, 3904, 4517, 6549, 8463, 11829, 0
360.001614, 9.999894, 733, 1180, 3910.6, 3924, 4535, 5001, 11829, 13689, 0
370.001802, 10.000188, 718, 450, 4102.1, 4011, 4990, 8230, 12757, 13689, 0
380.001766, 9.999964, 719, 1568, 4107.5, 4029, 5004, 7557, 12849, 17529, 0
390.001724, 9.999958, 766, 672, 4019.5, 3976, 4684, 5745, 12849, 17529, 0
400.001558, 9.999834, 727, 672, 4043.9, 3999, 4737, 5909, 11532, 28739, 0
410.001961, 10.000403, 755, 2290, 3927.0, 3950, 4527, 4849, 7977, 10357, 0
420.001859, 9.999898, 746, 2193, 3927.5, 3907, 4578, 5234, 6947, 7657, 0
430.001764, 9.999905, 725, 2193, 3895.6, 3876, 4538, 5165, 6979, 13052, 0
440.001712, 9.999948, 744, 2060, 3844.4, 3876, 4499, 4835, 5757, 5904, 0
450.00375, 10.002038, 720, 1612, 3866.7, 3877, 4509, 5091, 7368, 10172, 0
460.001891, 9.998141, 664, 1612, 3988.6, 3941, 4560, 7018, 10695, 11346, 0
470.001884, 9.999993, 659, 1846, 4039.7, 4005, 4741, 6731, 10695, 11346, 0
480.002304, 10.00042, 762, 1720, 3975.8, 3953, 4596, 5415, 7690, 23490, 0
490.000792, 9.998488, 726, 694, 4116.7, 3992, 4644, 6239, 23490, 70665, 0
500.00157, 10.000778, 765, 694, 3939.7, 3947, 4654, 5877, 7101, 7438, 0
510.001594, 10.000024, 729, 1423, 3878.9, 3911, 4599, 5024, 6112, 7101, 0
520.001601, 10.000007, 712, 1961, 3917.9, 3914, 4539, 5024, 6593, 12374, 0
530.001743, 10.000142, 747, 2321, 4026.9, 3993, 4736, 6395, 12374, 12836, 0
540.00158, 9.999837, 738, 1584, 3928.6, 3906, 4611, 5723, 9413, 12836, 0
550.001746, 10.000166, 761, 866, 3991.1, 3915, 4550, 5385, 25060, 65380, 0
560.00171, 9.999964, 727, 866, 3984.3, 3911, 4536, 4917, 25060, 65380, 0
570.001557, 9.999847, 779, 2328, 3979.3, 3914, 4814, 7162, 10823, 11078, 0
580.001599, 10.000042, 684, 1625, 4016.9, 3987, 4850, 6053, 7728, 8128, 0
590.001909, 10.00031, 758, 1768, 3964.3, 3969, 4652, 5532, 7093, 8128, 0
600.001579, 9.99967, 726, 2065, 3914.3, 3943, 4606, 4909, 5426, 5440, 0
610.001556, 9.999977, 759, 1733, 3975.8, 3919, 4601, 5702, 15314, 21129, 0
620.0016, 10.000044, 729, 2065, 3924.1, 3912, 4582, 5770, 7858, 15314, 0
630.001579, 9.999979, 686, 1794, 3911.1, 3937, 4569, 5553, 7290, 9538, 0
640.002264, 10.000685, 725, 1248, 3853.2, 3868, 4535, 5108, 7289, 10585, 0
650.000885, 9.998621, 724, 1248, 3887.2, 3887, 4554, 4955, 5827, 10585, 0
660.001746, 10.000861, 692, 1331, 4024.6, 3980, 4797, 5800, 6820, 13748, 0
670.001615, 9.999869, 736, 1426, 4035.0, 3996, 4853, 6238, 12667, 13748, 0
680.001712, 10.000097, 728, 1426, 4037.4, 3881, 4601, 5310, 12667, 116117, 0
690.001976, 10.000264, 754, 1999, 3941.3, 3944, 4570, 5329, 6380, 12719, 0
700.001543, 9.999567, 698, 797, 4038.6, 3987, 4838, 7575, 11672, 12195, 0
710.001696, 10.000153, 699, 797, 3992.3, 3951, 4807, 8123, 14560, 20942, 0
720.001999, 10.000303, 732, 431, 3967.7, 3974, 4624, 5630, 14560, 20942, 0
730.001985, 9.999986, 706, 2482, 3935.6, 3926, 4607, 4838, 5137, 5358, 0
740.002233, 10.000248, 739, 2553, 3957.1, 3925, 4741, 5999, 6791, 7513, 0
750.000617, 9.998384, 714, 2139, 3965.0, 3953, 4639, 5614, 7618, 9498, 0
760.001652, 10.001035, 728, 2149, 3970.1, 3952, 4631, 5540, 8695, 11483, 0
770.002592, 10.00094, 733, 659, 3898.3, 3914, 4519, 5111, 6686, 6936, 0
780.001587, 9.998995, 763, 659, 3865.1, 3899, 4547, 4799, 4999, 6147, 0
790.003511, 10.001924, 677, 1777, 3975.1, 3966, 4594, 5069, 14950, 15499, 0
800.000709, 9.997198, 709, 483, 4267.6, 3965, 5020, 8961, 52580, 105543, 0
810.001744, 10.001035, 782, 628, 4057.5, 3948, 4726, 7153, 19280, 52580, 0
820.001964, 10.00022, 721, 1290, 4005.0, 3948, 4641, 6774, 11949, 18750, 0
830.001613, 9.999649, 751, 1436, 3981.6, 3984, 4683, 5323, 11949, 12693, 0
840.001853, 10.00024, 719, 1436, 4158.7, 4002, 4834, 6551, 11081, 85215, 0
850.001619, 9.999766, 761, 1789, 3947.7, 3889, 4522, 4814, 7362, 85215, 0
860.001968, 10.000349, 705, 1469, 3913.2, 3935, 4545, 4834, 10764, 21459, 0
870.002529, 10.000561, 770, 543, 4182.7, 3987, 4692, 5195, 7642, 197800, 0
880.001618, 9.999089, 718, 543, 3907.4, 3928, 4604, 5120, 6390, 7564, 0
890.001555, 9.999937, 762, 1557, 3967.2, 3955, 4595, 5250, 12255, 14416, 0
900.001558, 10.000003, 712, 1450, 3928.6, 4006, 4590, 5198, 6270, 6513, 0
901.00449, 1.002932, 51, 1450, 3937.4, 4000, 4586, 5248, 6270, 6513, 0
