elapsed, window, total, successful, failed
10.001525, 10.001525, 163236, 163236, 0
20.000984, 9.999459, 104449, 104449, 0
30.002084, 10.0011, 79126, 79126, 0
40.000858, 9.998774, 92950, 92950, 0
50.001937, 10.001079, 87864, 87864, 0
60.002062, 10.000125, 87012, 87012, 0
70.001001, 9.998939, 84091, 84091, 0
80.002035, 10.001034, 85586, 85586, 0
90.000875, 9.99884, 85468, 85468, 0
100.001908, 10.001033, 84870, 84870, 0
110.00197, 10.000062, 83346, 83346, 0
120.00191, 9.99994, 83912, 83912, 0
130.001844, 9.999934, 82531, 82531, 0
140.001936, 10.000092, 83265, 83265, 0
150.002013, 10.000077, 84138, 84138, 0
160.001921, 9.999908, 84193, 84193, 0
170.001972, 10.000051, 82748, 82748, 0
180.001922, 9.99995, 84965, 84965, 0
190.001986, 10.000064, 83432, 83432, 0
200.002168, 10.000182, 83083, 83083, 0
210.000931, 9.998763, 85703, 85703, 0
220.002045, 10.001114, 84805, 84805, 0
230.002008, 9.999963, 83841, 83841, 0
240.001832, 9.999824, 85477, 85477, 0
250.001885, 10.000053, 81920, 81920, 0
260.001891, 10.000006, 87728, 87728, 0
270.002371, 10.00048, 84621, 84621, 0
280.001027, 9.998656, 85093, 85093, 0
290.002093, 10.001066, 83479, 83479, 0
300.001166, 9.999073, 84991, 84991, 0
310.00121, 10.000044, 84862, 84862, 0
320.001406, 10.000196, 86141, 86141, 0
330.00082, 9.999414, 84632, 84632, 0
340.001829, 10.001009, 84790, 84790, 0
350.001879, 10.00005, 84827, 84827, 0
360.002036, 10.000157, 88286, 88286, 0
370.001877, 9.999841, 81744, 81744, 0
380.001837, 9.99996, 85515, 85515, 0
390.001986, 10.000149, 85948, 85948, 0
400.002084, 10.000098, 82603, 82603, 0
410.000918, 9.998834, 86635, 86635, 0
420.00209, 10.001172, 87729, 87729, 0
430.000954, 9.998864, 82260, 82260, 0
440.002023, 10.001069, 87657, 87657, 0
450.002315, 10.000292, 83886, 83886, 0
460.001002, 9.998687, 83519, 83519, 0
470.00365, 10.002648, 86756, 86756, 0
480.002086, 9.998436, 85012, 85012, 0
490.001051, 9.998965, 82861, 82861, 0
500.000825, 9.999774, 84179, 84179, 0
510.001935, 10.00111, 86425, 86425, 0
520.002237, 10.000302, 84319, 84319, 0
530.000849, 9.998612, 85230, 85230, 0
540.001992, 10.001143, 86260, 86260, 0
550.001982, 9.99999, 82659, 82659, 0
560.002055, 10.000073, 85761, 85761, 0
570.000823, 9.998768, 85969, 85969, 0
580.002093, 10.00127, 85248, 85248, 0
590.001832, 9.999739, 85931, 85931, 0
600.001823, 9.999991, 84127, 84127, 0
610.002001, 10.000178, 83019, 83019, 0
620.002174, 10.000173, 84426, 84426, 0
630.000906, 9.998732, 87036, 87036, 0
640.002146, 10.00124, 82950, 82950, 0
650.001059, 9.998913, 87516, 87516, 0
660.00093, 9.999871, 85816, 85816, 0
670.001962, 10.001032, 83266, 83266, 0
680.001851, 9.999889, 85824, 85824, 0
690.001839, 9.999988, 86201, 86201, 0
700.00191, 10.000071, 83017, 83017, 0
710.001997, 10.000087, 86321, 86321, 0
720.002067, 10.00007, 85349, 85349, 0
730.001145, 9.999078, 82250, 82250, 0
740.002122, 10.000977, 86151, 86151, 0
750.001137, 9.999015, 86539, 86539, 0
760.000985, 9.999848, 82558, 82558, 0
770.002007, 10.001022, 86765, 86765, 0
780.001882, 9.999875, 85011, 85011, 0
790.001952, 10.00007, 85718, 85718, 0
800.001861, 9.999909, 85811, 85811, 0
810.001824, 9.999963, 84678, 84678, 0
820.002017, 10.000193, 84021, 84021, 0
830.001888, 9.999871, 84532, 84532, 0
840.00208, 10.000192, 84343, 84343, 0
850.000997, 9.998917, 85243, 85243, 0
860.002062, 10.001065, 83874, 83874, 0
870.00087, 9.998808, 86756, 86756, 0
880.002529, 10.001659, 82797, 82797, 0
890.000871, 9.998342, 87830, 87830, 0
900.001887, 10.001016, 85092, 85092, 0
901.010883, 1.008996, 6486, 6486, 0
