elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001334, 10.001334, 68658, 99, 925.6, 910, 1229, 1559, 5031, 13801, 0
20.001031, 9.999697, 65588, 145, 951.9, 911, 1280, 2166, 6320, 58580, 0
30.000984, 9.999953, 65275, 145, 957.5, 922, 1277, 2042, 5187, 63565, 0
40.001972, 10.000988, 65330, 107, 966.6, 926, 1275, 2144, 6866, 22635, 0
50.002135, 10.000163, 65693, 131, 951.4, 918, 1254, 2144, 5130, 35435, 0
60.000942, 9.998807, 65496, 100, 951.6, 916, 1272, 2115, 5478, 70284, 0
70.002516, 10.001574, 64753, 84, 980.3, 918, 1255, 2034, 13118, 137950, 0
80.00101, 9.998494, 66119, 98, 952.4, 914, 1258, 2216, 6595, 68375, 0
90.001949, 10.000939, 65671, 94, 951.0, 913, 1275, 2083, 5600, 41774, 0
100.002015, 10.000066, 66380, 80, 939.0, 897, 1247, 2053, 5707, 124122, 0
110.002065, 10.00005, 65350, 92, 955.7, 926, 1280, 2095, 4172, 60660, 0
120.00111, 9.999045, 65901, 92, 950.5, 915, 1280, 2092, 5156, 90528, 0
130.001058, 9.999948, 65278, 95, 951.9, 916, 1263, 2081, 7337, 91459, 0
140.000931, 9.999873, 66111, 93, 953.8, 912, 1257, 2041, 6174, 119051, 0
150.003395, 10.002464, 65863, 87, 946.6, 914, 1259, 1952, 6501, 58302, 0
160.000943, 9.997548, 66397, 99, 950.6, 910, 1290, 2246, 5165, 50089, 0
170.002044, 10.001101, 65349, 102, 951.4, 918, 1269, 2077, 5241, 60319, 0
180.00109, 9.999046, 65653, 156, 954.6, 907, 1288, 2246, 6423, 90100, 0
190.000951, 9.999861, 66323, 94, 942.8, 897, 1286, 2257, 6640, 63457, 0
200.001931, 10.00098, 64910, 94, 951.2, 909, 1318, 2208, 5191, 37292, 0
210.001941, 10.00001, 66067, 86, 950.0, 919, 1282, 2113, 4802, 43854, 0
220.002092, 10.000151, 66178, 106, 950.4, 919, 1265, 2074, 5191, 67433, 0
230.002004, 9.999912, 65390, 106, 957.5, 914, 1288, 2266, 5979, 43834, 0
240.001951, 9.999947, 63893, 124, 969.7, 922, 1339, 2272, 5170, 33687, 0
250.001993, 10.000042, 64225, 88, 976.3, 918, 1371, 2529, 6451, 46848, 0
260.00198, 9.999987, 65798, 132, 947.8, 907, 1263, 2154, 5739, 123911, 0
270.001928, 9.999948, 65731, 113, 947.5, 909, 1321, 2199, 4931, 59405, 0
280.002089, 10.000161, 65325, 98, 951.2, 911, 1281, 2102, 5277, 66753, 0
290.001003, 9.998914, 65848, 144, 951.2, 913, 1281, 2193, 5129, 83387, 0
300.001936, 10.000933, 65572, 90, 954.9, 906, 1320, 2335, 6216, 28938, 0
310.002001, 10.000065, 65080, 81, 962.8, 912, 1312, 2620, 6644, 36173, 0
320.001961, 9.99996, 65681, 137, 955.5, 911, 1313, 2235, 6767, 52231, 0
330.002022, 10.000061, 66467, 96, 944.4, 902, 1279, 2159, 7771, 47830, 0
340.001957, 9.999935, 65564, 107, 954.9, 912, 1254, 2123, 7735, 67996, 0
350.001997, 10.00004, 65693, 143, 951.9, 923, 1232, 1669, 6901, 29561, 0
360.001927, 9.99993, 65402, 123, 953.7, 922, 1256, 2009, 4451, 116702, 0
370.002033, 10.000106, 64464, 84, 979.4, 922, 1366, 2253, 5736, 118936, 0
380.000961, 9.998928, 66038, 90, 950.6, 911, 1263, 2015, 7094, 126195, 0
390.002054, 10.001093, 66012, 112, 947.0, 917, 1264, 2036, 3782, 101774, 0
400.000951, 9.998897, 65160, 127, 954.8, 914, 1288, 2207, 5568, 72428, 0
410.001946, 10.000995, 66754, 96, 937.7, 910, 1244, 1952, 6044, 19956, 0
420.00202, 10.000074, 64962, 104, 953.2, 915, 1271, 2148, 5861, 26875, 0
430.001991, 9.999971, 65104, 112, 963.5, 919, 1284, 2276, 6446, 48036, 0
440.00195, 9.999959, 66288, 121, 942.1, 910, 1250, 2076, 5170, 119649, 0
450.002026, 10.000076, 65923, 95, 944.8, 904, 1313, 2221, 5009, 25092, 0
460.000943, 9.998917, 66899, 88, 930.9, 900, 1240, 2007, 5302, 57637, 0
470.001973, 10.00103, 65638, 118, 954.3, 911, 1262, 2196, 5192, 41819, 0
480.002397, 10.000424, 66212, 90, 949.3, 905, 1275, 2157, 5224, 109961, 0
490.002017, 9.99962, 65510, 82, 949.2, 906, 1255, 2203, 5303, 84761, 0
500.00096, 9.998943, 66610, 96, 940.8, 905, 1287, 2111, 4803, 62143, 0
510.002123, 10.001163, 67015, 93, 934.3, 898, 1271, 2100, 4880, 58523, 0
520.001175, 9.999052, 65441, 99, 951.7, 906, 1296, 2183, 4904, 112001, 0
530.001002, 9.999827, 66428, 108, 937.5, 903, 1258, 2117, 5523, 22579, 0
540.001972, 10.00097, 66998, 85, 932.1, 902, 1247, 1907, 5105, 127093, 0
550.002003, 10.000031, 66202, 84, 946.1, 897, 1271, 2482, 6360, 39252, 0
560.00202, 10.000017, 66741, 126, 937.1, 896, 1291, 2212, 6202, 12621, 0
570.001241, 9.999221, 66514, 83, 945.1, 896, 1251, 2142, 8314, 91058, 0
580.001046, 9.999805, 66519, 87, 945.6, 911, 1274, 2091, 4461, 66004, 0
590.001015, 9.999969, 66799, 116, 938.5, 907, 1246, 2001, 4768, 70765, 0
600.001984, 10.000969, 65948, 87, 940.3, 906, 1256, 2092, 4622, 91447, 0
610.001991, 10.000007, 65437, 82, 969.7, 919, 1292, 2270, 6181, 111712, 0
620.001952, 9.999961, 67712, 82, 934.2, 894, 1242, 2204, 6117, 46413, 0
630.001972, 10.00002, 65896, 89, 946.5, 904, 1322, 2242, 5274, 66612, 0
640.002032, 10.00006, 66767, 122, 939.3, 897, 1271, 2162, 4670, 71177, 0
650.001065, 9.999033, 66478, 122, 944.0, 900, 1289, 2191, 5279, 61313, 0
660.002008, 10.000943, 65399, 132, 953.7, 904, 1312, 2305, 5848, 74781, 0
670.001934, 9.999926, 66331, 121, 947.0, 901, 1292, 2223, 5310, 114736, 0
680.002013, 10.000079, 64693, 79, 966.8, 901, 1300, 2449, 7287, 93258, 0
690.002023, 10.00001, 65042, 150, 959.6, 912, 1320, 2192, 5417, 55943, 0
700.002024, 10.000001, 67171, 69, 939.8, 903, 1249, 2060, 7363, 51209, 0
710.000951, 9.998927, 67289, 107, 932.8, 910, 1219, 1712, 5035, 33638, 0
720.001993, 10.001042, 66666, 157, 943.0, 904, 1280, 2161, 5101, 49152, 0
730.002218, 10.000225, 66969, 108, 950.9, 906, 1314, 2184, 5045, 116562, 0
740.000947, 9.998729, 66376, 84, 933.6, 895, 1244, 2064, 5837, 119125, 0
750.001944, 10.000997, 66205, 119, 948.4, 902, 1278, 2211, 6151, 97582, 0
760.001967, 10.000023, 65408, 103, 962.1, 917, 1281, 2208, 6054, 63508, 0
770.001932, 9.999965, 65202, 200, 952.7, 920, 1261, 2080, 4065, 43121, 0
780.001944, 10.000012, 66014, 83, 947.3, 910, 1259, 2176, 4628, 67358, 0
790.005373, 10.003429, 65959, 99, 953.6, 912, 1226, 1772, 7025, 146816, 0
800.001031, 9.995658, 65701, 84, 959.0, 912, 1265, 2349, 6436, 53751, 0
810.000958, 9.999927, 66037, 125, 946.7, 912, 1235, 1888, 6041, 120155, 0
820.001931, 10.000973, 65941, 136, 953.5, 916, 1243, 2066, 5456, 53234, 0
830.002064, 10.000133, 65053, 102, 955.9, 912, 1267, 2143, 5116, 53163, 0
840.002041, 9.999977, 65468, 109, 969.7, 926, 1285, 2185, 4633, 72905, 0
850.002049, 10.000008, 65567, 113, 948.4, 915, 1263, 1986, 5266, 56686, 0
860.001956, 9.999907, 65495, 84, 956.0, 912, 1346, 2258, 5242, 21138, 0
870.002019, 10.000063, 65386, 124, 949.4, 920, 1276, 2016, 4561, 26141, 0
880.001954, 9.999935, 65429, 90, 952.0, 914, 1259, 2132, 5086, 47953, 0
890.001943, 9.999989, 66521, 89, 947.1, 906, 1293, 2193, 5511, 76002, 0
900.001946, 10.000003, 65532, 92, 947.0, 908, 1283, 2169, 5520, 64223, 0
901.0076, 1.005654, 4562, 92, 967.7, 908, 1397, 2319, 6115, 66046, 0
