elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001334, 10.001334, 279995, 70, 863.5, 841, 1171, 1519, 5271, 58587, 0
20.001031, 9.999697, 264790, 96, 888.7, 847, 1218, 2019, 6942, 63617, 0
30.000984, 9.999953, 257688, 90, 892.1, 856, 1229, 1977, 5207, 49669, 0
40.001972, 10.000988, 262152, 102, 901.4, 859, 1213, 1995, 7164, 75200, 0
50.002135, 10.000163, 262978, 101, 890.2, 851, 1199, 2042, 5356, 70335, 0
60.000942, 9.998807, 260830, 80, 889.3, 851, 1218, 2004, 6059, 70335, 0
70.002516, 10.001574, 260381, 77, 898.5, 852, 1195, 1894, 8922, 152887, 0
80.00101, 9.998494, 264395, 82, 889.3, 850, 1209, 2054, 6067, 68473, 0
90.001949, 10.000939, 266056, 79, 887.1, 847, 1215, 1987, 5751, 55846, 0
100.002015, 10.000066, 266199, 76, 877.3, 834, 1187, 1935, 5813, 124128, 0
110.002065, 10.00005, 260761, 79, 894.5, 859, 1232, 1980, 4769, 90560, 0
120.00111, 9.999045, 268688, 83, 888.1, 850, 1218, 1940, 5241, 90560, 0
130.001058, 9.999948, 259938, 84, 893.9, 850, 1203, 1997, 7279, 91596, 0
140.000931, 9.999873, 264432, 80, 884.6, 847, 1193, 1896, 5964, 75644, 0
150.003395, 10.002464, 259389, 98, 885.4, 850, 1213, 1992, 6235, 27540, 0
160.000943, 9.997548, 266774, 98, 886.0, 845, 1246, 2119, 4681, 60298, 0
170.002044, 10.001101, 260749, 88, 894.6, 854, 1234, 1989, 5219, 111082, 0
180.00109, 9.999046, 261634, 129, 891.5, 844, 1239, 2096, 6362, 111082, 0
190.000951, 9.999861, 264939, 104, 883.0, 835, 1238, 2156, 6730, 63491, 0
200.001931, 10.00098, 264903, 80, 894.7, 845, 1296, 2182, 5368, 110604, 0
210.001941, 10.00001, 264491, 77, 890.0, 854, 1237, 2035, 4808, 67414, 0
220.002092, 10.000151, 262009, 117, 888.7, 854, 1204, 1919, 5333, 67414, 0
230.002004, 9.999912, 255621, 95, 895.5, 851, 1243, 2134, 5674, 60268, 0
240.001951, 9.999947, 259821, 90, 907.6, 858, 1303, 2195, 5295, 33682, 0
250.001993, 10.000042, 258006, 81, 913.5, 851, 1297, 2539, 7089, 59854, 0
260.00198, 9.999987, 265125, 95, 884.0, 842, 1207, 1991, 5490, 123916, 0
270.001928, 9.999948, 261130, 87, 886.7, 844, 1258, 2114, 4997, 70346, 0
280.002089, 10.000161, 262117, 69, 887.5, 846, 1226, 1987, 5056, 83591, 0
290.001003, 9.998914, 262715, 95, 892.3, 848, 1233, 2090, 5343, 83591, 0
300.001936, 10.000933, 267260, 74, 897.5, 841, 1265, 2325, 7128, 62908, 0
310.002001, 10.000065, 256532, 74, 899.0, 845, 1249, 2496, 6494, 52333, 0
320.001961, 9.99996, 262105, 112, 896.1, 846, 1247, 2119, 8315, 67867, 0
330.002022, 10.000061, 266557, 87, 884.5, 836, 1216, 2031, 8232, 115680, 0
340.001957, 9.999935, 268202, 93, 889.9, 848, 1198, 2010, 9379, 68036, 0
350.001997, 10.00004, 258293, 95, 889.4, 856, 1177, 1701, 8006, 61571, 0
360.001927, 9.99993, 257303, 81, 892.8, 855, 1201, 1902, 4889, 116707, 0
370.002033, 10.000106, 262101, 78, 908.2, 857, 1291, 2157, 5798, 112640, 0
380.000961, 9.998928, 263613, 88, 886.1, 844, 1202, 1887, 6161, 126197, 0
390.002054, 10.001093, 260762, 113, 883.2, 850, 1208, 1903, 3887, 101767, 0
400.000951, 9.998897, 269505, 91, 893.2, 851, 1235, 2100, 5385, 72432, 0
410.001946, 10.000995, 263570, 104, 876.7, 845, 1188, 1840, 5694, 30599, 0
420.00202, 10.000074, 261541, 94, 895.1, 851, 1225, 2084, 7019, 82383, 0
430.001991, 9.999971, 258026, 85, 902.7, 852, 1221, 2157, 6489, 120063, 0
440.00195, 9.999959, 264471, 79, 886.9, 844, 1200, 1991, 5241, 120063, 0
450.002026, 10.000076, 270320, 83, 884.0, 840, 1260, 2089, 5018, 89039, 0
460.000943, 9.998917, 264211, 75, 872.3, 834, 1178, 1917, 5905, 135831, 0
470.001973, 10.00103, 263331, 124, 885.2, 845, 1201, 2013, 5791, 41820, 0
480.002397, 10.000424, 267241, 82, 883.5, 842, 1214, 2030, 5140, 110090, 0
490.002017, 9.99962, 258240, 75, 893.0, 842, 1211, 2155, 6350, 143460, 0
500.00096, 9.998943, 266515, 89, 881.0, 840, 1239, 2038, 4685, 81239, 0
510.002123, 10.001163, 267224, 87, 872.2, 834, 1221, 1984, 4886, 90936, 0
520.001175, 9.999052, 267019, 87, 886.1, 841, 1243, 2093, 5168, 112122, 0
530.001002, 9.999827, 268730, 76, 876.1, 840, 1207, 1985, 5566, 93852, 0
540.001972, 10.00097, 263733, 90, 875.1, 837, 1190, 1844, 5341, 127422, 0
550.002003, 10.000031, 263492, 77, 886.8, 832, 1218, 2426, 6459, 61917, 0
560.00202, 10.000017, 268548, 56, 875.6, 830, 1233, 2111, 6440, 33207, 0
570.001241, 9.999221, 265711, 75, 878.1, 830, 1190, 2020, 7294, 91195, 0
580.001046, 9.999805, 264712, 80, 889.0, 846, 1211, 1977, 5561, 74891, 0
590.001015, 9.999969, 268074, 79, 880.5, 844, 1189, 1888, 5042, 74891, 0
600.001984, 10.000969, 261861, 79, 887.4, 843, 1200, 1988, 5408, 112007, 0
610.001991, 10.000007, 265470, 74, 898.9, 852, 1219, 2143, 5872, 112007, 0
620.001952, 9.999961, 267500, 74, 870.9, 833, 1182, 2006, 5739, 46423, 0
630.001972, 10.00002, 260915, 95, 884.7, 840, 1278, 2122, 5187, 67911, 0
640.002032, 10.00006, 266540, 90, 878.1, 834, 1218, 2034, 4823, 71200, 0
650.001065, 9.999033, 265232, 90, 879.8, 835, 1229, 2061, 5553, 96069, 0
660.002008, 10.000943, 261301, 113, 890.7, 838, 1253, 2172, 6523, 74800, 0
670.001934, 9.999926, 265566, 102, 885.5, 837, 1247, 2106, 5271, 137421, 0
680.002013, 10.000079, 261976, 69, 899.9, 837, 1250, 2387, 7230, 93336, 0
690.002023, 10.00001, 264875, 91, 895.1, 845, 1256, 2102, 6631, 55968, 0
700.002024, 10.000001, 273571, 74, 875.6, 840, 1184, 1877, 7087, 88082, 0
710.000951, 9.998927, 259799, 84, 870.2, 844, 1168, 1794, 5147, 49166, 0
720.001993, 10.001042, 262955, 107, 882.8, 841, 1229, 2069, 5044, 121173, 0
730.002218, 10.000225, 269522, 88, 884.3, 843, 1239, 2081, 5017, 116522, 0
740.000947, 9.998729, 261678, 76, 875.2, 831, 1187, 2013, 6805, 119126, 0
750.001944, 10.000997, 263404, 95, 888.5, 836, 1230, 2132, 6281, 97785, 0
760.001967, 10.000023, 264599, 83, 895.7, 852, 1225, 2069, 5977, 63628, 0
770.001932, 9.999965, 261834, 119, 887.2, 852, 1211, 1983, 4101, 52214, 0
780.001944, 10.000012, 265430, 92, 886.7, 846, 1199, 2017, 5171, 77632, 0
790.005373, 10.003429, 264558, 92, 890.2, 847, 1173, 1855, 6623, 146822, 0
800.001031, 9.995658, 260786, 77, 894.7, 846, 1204, 2255, 6991, 57354, 0
810.000958, 9.999927, 259486, 105, 886.0, 846, 1178, 1805, 5708, 120187, 0
820.001931, 10.000973, 262602, 94, 890.0, 849, 1196, 1975, 5360, 70918, 0
830.002064, 10.000133, 263697, 91, 892.0, 847, 1222, 2024, 5250, 76059, 0
840.002041, 9.999977, 261748, 82, 901.4, 861, 1228, 2049, 4795, 75408, 0
850.002049, 10.000008, 260205, 93, 891.5, 848, 1215, 1991, 5441, 124999, 0
860.001956, 9.999907, 269068, 77, 893.3, 849, 1279, 2126, 5437, 63418, 0
870.002019, 10.000063, 257311, 77, 888.3, 855, 1215, 1895, 5291, 55533, 0
880.001954, 9.999935, 262495, 77, 890.2, 849, 1219, 2029, 5171, 76012, 0
890.001943, 9.999989, 261883, 81, 884.7, 841, 1232, 2069, 5769, 76012, 0
900.001946, 10.000003, 264076, 77, 889.3, 842, 1238, 2058, 5712, 116434, 0
901.0076, 1.005654, 11784, 77, 899.2, 843, 1339, 2168, 5607, 138787, 0
