elapsed, window, total, successful, failed
10.001334, 10.001334, 348653, 348653, 0
20.001031, 9.999697, 330378, 330378, 0
30.000984, 9.999953, 322963, 322963, 0
40.001972, 10.000988, 327482, 327482, 0
50.002135, 10.000163, 328671, 328671, 0
60.000942, 9.998807, 326326, 326326, 0
70.002516, 10.001574, 325134, 325134, 0
80.00101, 9.998494, 330514, 330514, 0
90.001949, 10.000939, 331727, 331727, 0
100.002015, 10.000066, 332579, 332579, 0
110.002065, 10.00005, 326111, 326111, 0
120.00111, 9.999045, 334589, 334589, 0
130.001058, 9.999948, 325216, 325216, 0
140.000931, 9.999873, 330543, 330543, 0
150.003395, 10.002464, 325252, 325252, 0
160.000943, 9.997548, 333171, 333171, 0
170.002044, 10.001101, 326098, 326098, 0
180.00109, 9.999046, 327287, 327287, 0
190.000951, 9.999861, 331262, 331262, 0
200.001931, 10.00098, 329813, 329813, 0
210.001941, 10.00001, 330558, 330558, 0
220.002092, 10.000151, 328187, 328187, 0
230.002004, 9.999912, 321011, 321011, 0
240.001951, 9.999947, 323714, 323714, 0
250.001993, 10.000042, 322231, 322231, 0
260.00198, 9.999987, 330923, 330923, 0
270.001928, 9.999948, 326861, 326861, 0
280.002089, 10.000161, 327442, 327442, 0
290.001003, 9.998914, 328563, 328563, 0
300.001936, 10.000933, 332832, 332832, 0
310.002001, 10.000065, 321612, 321612, 0
320.001961, 9.99996, 327786, 327786, 0
330.002022, 10.000061, 333024, 333024, 0
340.001957, 9.999935, 333766, 333766, 0
350.001997, 10.00004, 323986, 323986, 0
360.001927, 9.99993, 322705, 322705, 0
370.002033, 10.000106, 326565, 326565, 0
380.000961, 9.998928, 329651, 329651, 0
390.002054, 10.001093, 326774, 326774, 0
400.000951, 9.998897, 334665, 334665, 0
410.001946, 10.000995, 330324, 330324, 0
420.00202, 10.000074, 326503, 326503, 0
430.001991, 9.999971, 323130, 323130, 0
440.00195, 9.999959, 330759, 330759, 0
450.002026, 10.000076, 336243, 336243, 0
460.000943, 9.998917, 331110, 331110, 0
470.001973, 10.00103, 328969, 328969, 0
480.002397, 10.000424, 333453, 333453, 0
490.002017, 9.99962, 323750, 323750, 0
500.00096, 9.998943, 333125, 333125, 0
510.002123, 10.001163, 334239, 334239, 0
520.001175, 9.999052, 332460, 332460, 0
530.001002, 9.999827, 335158, 335158, 0
540.001972, 10.00097, 330731, 330731, 0
550.002003, 10.000031, 329694, 329694, 0
560.00202, 10.000017, 335289, 335289, 0
570.001241, 9.999221, 332225, 332225, 0
580.001046, 9.999805, 331231, 331231, 0
590.001015, 9.999969, 334873, 334873, 0
600.001984, 10.000969, 327809, 327809, 0
610.001991, 10.000007, 330907, 330907, 0
620.001952, 9.999961, 335212, 335212, 0
630.001972, 10.00002, 326811, 326811, 0
640.002032, 10.00006, 333307, 333307, 0
650.001065, 9.999033, 331710, 331710, 0
660.002008, 10.000943, 326700, 326700, 0
670.001934, 9.999926, 331897, 331897, 0
680.002013, 10.000079, 326669, 326669, 0
690.002023, 10.00001, 329917, 329917, 0
700.002024, 10.000001, 340742, 340742, 0
710.000951, 9.998927, 327088, 327088, 0
720.001993, 10.001042, 329621, 329621, 0
730.002218, 10.000225, 336491, 336491, 0
740.000947, 9.998729, 328054, 328054, 0
750.001944, 10.000997, 329609, 329609, 0
760.001967, 10.000023, 330007, 330007, 0
770.001932, 9.999965, 327036, 327036, 0
780.001944, 10.000012, 331444, 331444, 0
790.005373, 10.003429, 330517, 330517, 0
800.001031, 9.995658, 326487, 326487, 0
810.000958, 9.999927, 325523, 325523, 0
820.001931, 10.000973, 328543, 328543, 0
830.002064, 10.000133, 328750, 328750, 0
840.002041, 9.999977, 327216, 327216, 0
850.002049, 10.000008, 325772, 325772, 0
860.001956, 9.999907, 334563, 334563, 0
870.002019, 10.000063, 322697, 322697, 0
880.001954, 9.999935, 327924, 327924, 0
890.001943, 9.999989, 328404, 328404, 0
900.001946, 10.000003, 329608, 329608, 0
901.0076, 1.005654, 16346, 16346, 0
