elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000229, 10.000229, 118417, 235, 2520.8, 2590, 3225, 4302, 9224, 13590, 0
20.002307, 10.002078, 89569, 103, 3302.1, 3240, 3770, 5044, 9109, 63180, 0
30.001225, 9.998918, 83436, 2269, 3526.3, 3465, 3903, 5139, 8741, 65163, 0
40.001256, 10.000031, 80282, 1636, 3690.3, 3621, 4001, 5638, 9903, 48244, 0
50.001246, 9.99999, 79008, 278, 3735.6, 3677, 4071, 5364, 10532, 83730, 0
60.001292, 10.000046, 77524, 273, 3808.4, 3732, 4195, 5503, 9921, 27674, 0
70.001229, 9.999937, 76799, 477, 3866.5, 3787, 4359, 5744, 12588, 27703, 0
80.001281, 10.000052, 76859, 2963, 3868.7, 3785, 4376, 5737, 8585, 74027, 0
90.001298, 10.000017, 75735, 1426, 3897.2, 3817, 4350, 5788, 8987, 13833, 0
100.001253, 9.999955, 75736, 575, 3905.9, 3823, 4340, 5743, 10988, 107459, 0
110.001238, 9.999985, 75738, 2839, 3926.3, 3853, 4365, 5695, 9982, 11591, 0
120.001228, 9.99999, 74223, 2952, 3975.3, 3896, 4462, 5693, 8451, 10956, 0
130.001249, 10.000021, 75997, 2830, 3906.0, 3817, 4351, 6113, 9221, 25592, 0
140.001218, 9.999969, 76167, 149, 3875.4, 3789, 4339, 6089, 9221, 82889, 0
150.001289, 10.000071, 76962, 1414, 3849.7, 3772, 4248, 5476, 10040, 95745, 0
160.001246, 9.999957, 77141, 2940, 3832.6, 3763, 4237, 5536, 9528, 12432, 0
170.001243, 9.999997, 77528, 2587, 3835.3, 3759, 4327, 5651, 7962, 31369, 0
180.001233, 9.99999, 77475, 1402, 3836.0, 3780, 4310, 5097, 7289, 13485, 0
190.001255, 10.000022, 76730, 374, 3840.6, 3755, 4370, 5887, 9139, 88102, 0
200.001328, 10.000073, 76692, 2177, 3866.6, 3785, 4390, 5722, 9498, 78103, 0
210.001274, 9.999946, 77088, 266, 3859.2, 3791, 4282, 5657, 9680, 15350, 0
220.001221, 9.999947, 77019, 1302, 3823.5, 3749, 4273, 5813, 9651, 13199, 0
230.001243, 10.000022, 77182, 1606, 3851.4, 3787, 4439, 5491, 9798, 86010, 0
240.001217, 9.999974, 76732, 171, 3864.1, 3791, 4373, 5761, 8567, 61364, 0
250.001237, 10.00002, 75706, 2284, 3890.7, 3784, 4470, 6145, 11081, 86700, 0
260.001251, 10.000014, 76875, 572, 3859.9, 3772, 4355, 5783, 8748, 12815, 0
270.001227, 9.999976, 76940, 466, 3845.4, 3771, 4281, 5489, 7804, 84817, 0
280.001254, 10.000027, 76062, 2817, 3887.7, 3797, 4406, 5604, 11371, 91019, 0
290.001236, 9.999982, 77129, 2838, 3844.4, 3758, 4272, 5603, 10913, 14413, 0
300.001262, 10.000026, 77825, 1735, 3829.3, 3766, 4295, 5687, 9434, 39177, 0
310.001227, 9.999965, 76473, 2729, 3861.5, 3772, 4288, 5911, 10739, 13696, 0
320.001225, 9.999998, 76534, 1685, 3878.2, 3780, 4359, 6309, 11228, 14307, 0
330.00128, 10.000055, 75286, 289, 3932.9, 3851, 4367, 5717, 10526, 87255, 0
340.001231, 9.999951, 77445, 2898, 3822.1, 3752, 4253, 5261, 8440, 58284, 0
350.001263, 10.000032, 76256, 250, 3891.4, 3820, 4300, 5515, 10084, 91808, 0
360.001257, 9.999994, 78173, 1788, 3786.1, 3714, 4166, 5439, 10093, 25176, 0
370.001221, 9.999964, 77292, 2614, 3845.5, 3769, 4319, 5514, 8354, 110208, 0
380.001293, 10.000072, 76295, 2947, 3858.8, 3775, 4362, 5824, 8452, 11353, 0
390.001252, 9.999959, 76057, 2838, 3895.2, 3797, 4474, 5770, 9365, 12959, 0
400.001207, 9.999955, 76444, 2992, 3880.7, 3785, 4386, 6012, 9482, 12058, 0
410.001213, 10.000006, 77136, 1800, 3834.8, 3780, 4357, 5458, 8802, 15929, 0
420.001245, 10.000032, 76465, 1756, 3873.3, 3800, 4331, 5397, 8527, 12570, 0
430.001262, 10.000017, 76722, 2424, 3857.7, 3781, 4349, 5508, 8690, 13803, 0
440.001251, 9.999989, 76053, 2847, 3893.2, 3782, 4499, 6046, 9755, 11680, 0
450.00123, 9.999979, 76962, 2960, 3852.2, 3777, 4350, 5425, 7147, 11222, 0
460.001212, 9.999982, 77340, 2500, 3823.2, 3758, 4201, 5472, 8034, 98926, 0
470.001246, 10.000034, 76640, 1484, 3860.8, 3790, 4259, 5236, 9512, 119710, 0
480.001234, 9.999988, 76752, 2144, 3864.5, 3789, 4283, 5641, 8709, 88161, 0
490.001253, 10.000019, 76819, 220, 3862.8, 3779, 4327, 5894, 8825, 14912, 0
500.001285, 10.000032, 76640, 203, 3850.8, 3770, 4346, 5551, 10354, 76011, 0
510.001237, 9.999952, 77158, 183, 3843.0, 3763, 4329, 5336, 8339, 74942, 0
520.001245, 10.000008, 77018, 2836, 3836.2, 3738, 4476, 5663, 8234, 8964, 0
530.001269, 10.000024, 76649, 2908, 3859.2, 3788, 4312, 5187, 9015, 86866, 0
540.001256, 9.999987, 77245, 2319, 3851.1, 3782, 4277, 5345, 9993, 96234, 0
550.001233, 9.999977, 75836, 1309, 3883.2, 3785, 4405, 5956, 9651, 80897, 0
560.001239, 10.000006, 75357, 309, 3926.8, 3826, 4487, 6011, 10498, 30135, 0
570.001249, 10.00001, 77275, 2401, 3859.9, 3772, 4385, 5621, 8413, 12985, 0
580.001248, 9.999999, 76367, 2844, 3857.7, 3769, 4361, 5738, 10342, 80411, 0
