elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000229, 10.000229, 1178, 123, 2510.3, 2554, 3204, 4128, 10885, 17448, 0
20.002307, 10.002078, 875, 123, 3232.4, 3182, 3715, 4509, 6566, 17448, 0
30.001225, 9.998918, 809, 1675, 3480.0, 3398, 3820, 5302, 12611, 13388, 0
40.001256, 10.000031, 765, 1675, 3652.2, 3555, 3955, 6382, 14354, 15734, 0
50.001246, 9.99999, 758, 2602, 3698.6, 3616, 4041, 5908, 10561, 14354, 0
60.001292, 10.000046, 775, 1869, 3763.4, 3670, 4205, 6207, 8594, 14970, 0
70.001229, 9.999937, 728, 1869, 3815.6, 3722, 4361, 5898, 7820, 14970, 0
80.001281, 10.000052, 797, 3058, 3812.6, 3715, 4421, 5779, 6948, 8074, 0
90.001298, 10.000017, 777, 555, 3799.6, 3756, 4196, 5476, 6202, 11513, 0
100.001253, 9.999955, 792, 555, 3813.5, 3748, 4284, 5447, 9089, 10179, 0
110.001238, 9.999985, 795, 2972, 3874.3, 3780, 4359, 5739, 8758, 10031, 0
120.001228, 9.99999, 762, 3005, 3934.0, 3827, 4510, 5958, 8758, 10750, 0
130.001249, 10.000021, 743, 2997, 3859.4, 3752, 4448, 5540, 7976, 16674, 0
140.001218, 9.999969, 768, 2623, 3801.7, 3725, 4289, 5755, 7954, 7976, 0
150.001289, 10.000071, 718, 2430, 3766.1, 3719, 4265, 5196, 5952, 6448, 0
160.001246, 9.999957, 770, 3242, 3785.2, 3702, 4227, 5520, 9977, 12314, 0
170.001243, 9.999997, 746, 2995, 3789.2, 3702, 4326, 5860, 6529, 7146, 0
180.001233, 9.99999, 708, 1835, 3789.4, 3718, 4280, 5799, 7146, 13294, 0
190.001255, 10.000022, 781, 3033, 3777.8, 3688, 4332, 5664, 9511, 9764, 0
200.001328, 10.000073, 717, 2805, 3835.0, 3729, 4397, 6216, 9764, 10396, 0
210.001274, 9.999946, 748, 2455, 3790.7, 3733, 4228, 5136, 6622, 10396, 0
220.001221, 9.999947, 787, 3014, 3769.8, 3695, 4316, 5751, 7866, 8109, 0
230.001243, 10.000022, 730, 2189, 3781.7, 3725, 4374, 5049, 5592, 5677, 0
240.001217, 9.999974, 767, 387, 3814.6, 3737, 4373, 5652, 7706, 9812, 0
250.001237, 10.00002, 732, 2398, 3843.8, 3718, 4500, 5979, 10488, 13597, 0
260.001251, 10.000014, 767, 592, 3791.4, 3724, 4278, 5327, 7122, 10488, 0
270.001227, 9.999976, 776, 592, 3786.1, 3727, 4351, 5348, 6252, 7122, 0
280.001254, 10.000027, 786, 3112, 3830.2, 3730, 4389, 5659, 10516, 14362, 0
290.001236, 9.999982, 757, 2512, 3815.6, 3695, 4309, 6956, 10542, 14362, 0
300.001262, 10.000026, 760, 2512, 3753.5, 3705, 4220, 5834, 8395, 8706, 0
310.001227, 9.999965, 767, 2803, 3772.1, 3707, 4108, 5442, 7605, 10440, 0
320.001225, 9.999998, 742, 302, 3774.2, 3711, 4194, 5724, 11833, 12282, 0
330.00128, 10.000055, 748, 302, 3877.6, 3795, 4524, 6045, 11833, 12282, 0
340.001231, 9.999951, 768, 3074, 3737.8, 3684, 4103, 4958, 6256, 8705, 0
350.001263, 10.000032, 749, 2851, 3822.7, 3756, 4311, 6100, 7656, 7949, 0
360.001257, 9.999994, 810, 2794, 3736.9, 3653, 4208, 5431, 11895, 12306, 0
370.001221, 9.999964, 821, 3038, 3800.4, 3713, 4252, 6352, 9036, 11895, 0
380.001293, 10.000072, 812, 3132, 3840.2, 3714, 4599, 6111, 8658, 9036, 0
390.001252, 9.999959, 746, 3030, 3844.7, 3743, 4441, 5815, 8658, 12903, 0
400.001207, 9.999955, 787, 3064, 3798.3, 3722, 4234, 5486, 8568, 9638, 0
410.001213, 10.000006, 752, 2485, 3731.7, 3703, 4244, 5081, 5695, 5911, 0
420.001245, 10.000032, 770, 2892, 3818.8, 3747, 4249, 5343, 6746, 7655, 0
430.001262, 10.000017, 755, 3066, 3821.8, 3723, 4424, 6005, 8623, 8696, 0
440.001251, 9.999989, 711, 3123, 3881.8, 3731, 4612, 7861, 10501, 10622, 0
450.00123, 9.999979, 713, 3035, 3785.7, 3721, 4284, 4899, 6199, 6250, 0
460.001212, 9.999982, 796, 2900, 3773.7, 3706, 4185, 5539, 6596, 7762, 0
470.001246, 10.000034, 786, 1496, 3790.2, 3730, 4254, 4874, 6539, 7135, 0
480.001234, 9.999988, 795, 3176, 3865.9, 3739, 4377, 5873, 18783, 18890, 0
490.001253, 10.000019, 758, 185, 3801.5, 3713, 4351, 5754, 7863, 12078, 0
500.001285, 10.000032, 764, 185, 3772.9, 3710, 4310, 5161, 6066, 12078, 0
510.001237, 9.999952, 793, 2574, 3783.0, 3705, 4281, 5203, 6018, 6972, 0
520.001245, 10.000008, 753, 3028, 3782.0, 3676, 4447, 5600, 7616, 8191, 0
530.001269, 10.000024, 821, 3007, 3800.9, 3721, 4323, 5026, 8803, 9997, 0
540.001256, 9.999987, 807, 2484, 3867.5, 3706, 4279, 5302, 9079, 80817, 0
550.001233, 9.999977, 768, 458, 3936.5, 3733, 4356, 6218, 28389, 80817, 0
560.001239, 10.000006, 762, 458, 3884.7, 3748, 4521, 5519, 8425, 28389, 0
570.001249, 10.00001, 773, 3058, 3812.9, 3716, 4372, 5976, 7174, 8425, 0
580.001248, 9.999999, 771, 1421, 3782.9, 3709, 4324, 5899, 7122, 9654, 0
590.001279, 10.000031, 756, 1229, 3851.7, 3725, 4863, 5551, 7433, 31234, 0
600.001303, 10.000024, 728, 1229, 3843.1, 3741, 4242, 5635, 9847, 31234, 0
610.001288, 9.999985, 760, 3149, 3812.7, 3721, 4271, 5958, 7868, 8142, 0
620.001212, 9.999924, 745, 3158, 3834.6, 3739, 4422, 5684, 6892, 7374, 0
630.001257, 10.000045, 730, 2869, 3785.4, 3723, 4267, 5220, 5947, 6105, 0
640.001216, 9.999959, 791, 3203, 3767.6, 3695, 4303, 5220, 6698, 7034, 0
650.001262, 10.000046, 774, 3101, 3741.5, 3662, 4164, 5484, 7388, 7730, 0
660.001277, 10.000015, 794, 3053, 3795.8, 3713, 4433, 5282, 6036, 6191, 0
670.001275, 9.999998, 750, 1767, 3847.2, 3715, 4333, 6088, 14102, 14621, 0
680.001239, 9.999964, 700, 1140, 4153.8, 4048, 4745, 6698, 14102, 14621, 0
690.001284, 10.000045, 694, 1140, 4047.1, 3978, 4646, 5993, 7084, 7399, 0
700.001239, 9.999955, 736, 2594, 3953.4, 3879, 4467, 6384, 7208, 8302, 0
710.001259, 10.00002, 768, 3044, 3917.9, 3843, 4436, 5614, 7841, 8780, 0
720.001272, 10.000013, 714, 2824, 3960.1, 3878, 4529, 6044, 6660, 6897, 0
730.001252, 9.99998, 727, 303, 4096.4, 3868, 4680, 6044, 62667, 66916, 0
740.001236, 9.999984, 730, 303, 4165.1, 3909, 4564, 7203, 62667, 66916, 0
750.001223, 9.999987, 735, 3450, 4089.3, 4035, 4580, 5732, 7802, 11157, 0
760.001241, 10.000018, 704, 3176, 3963.3, 3896, 4476, 5741, 8410, 8494, 0
770.001273, 10.000032, 781, 234, 3807.1, 3705, 4299, 5467, 12326, 12414, 0
780.001302, 10.000029, 828, 234, 3760.7, 3694, 4226, 5259, 12326, 12414, 0
790.001245, 9.999943, 763, 1492, 3845.6, 3745, 4449, 5564, 10118, 10121, 0
800.001222, 9.999977, 775, 3035, 3863.8, 3701, 4670, 8415, 9902, 9911, 0
810.001243, 10.000021, 773, 2276, 3809.0, 3724, 4282, 5705, 8157, 8501, 0
820.001248, 10.000005, 776, 2276, 3811.3, 3693, 4378, 5880, 7830, 15120, 0
830.001232, 9.999984, 818, 2954, 3842.5, 3729, 4410, 5455, 11822, 11903, 0
840.001279, 10.000047, 752, 2954, 3807.4, 3727, 4542, 5455, 5916, 7618, 0
850.001276, 9.999997, 754, 3353, 4008.5, 3941, 4583, 5317, 8156, 10041, 0
860.001246, 9.99997, 715, 2936, 3947.7, 3871, 4550, 5852, 8980, 10041, 0
870.001273, 10.000027, 762, 2936, 3820.4, 3746, 4331, 5364, 6252, 9104, 0
880.001281, 10.000008, 794, 2930, 3893.9, 3783, 4468, 6177, 10980, 11014, 0
890.001238, 9.999957, 703, 2672, 3911.3, 3804, 4453, 5486, 13090, 14982, 0
900.001283, 10.000045, 715, 3164, 3833.7, 3748, 4349, 5445, 5863, 13648, 0
901.004215, 1.002932, 68, 3164, 3829.6, 3749, 4303, 5465, 5863, 13648, 0
