elapsed, window, total, successful, failed
10.000229, 10.000229, 119595, 119595, 0
20.002307, 10.002078, 90444, 90444, 0
30.001225, 9.998918, 84245, 84245, 0
40.001256, 10.000031, 81047, 81047, 0
50.001246, 9.99999, 79766, 79766, 0
60.001292, 10.000046, 78299, 78299, 0
70.001229, 9.999937, 77527, 77527, 0
80.001281, 10.000052, 77656, 77656, 0
90.001298, 10.000017, 76512, 76512, 0
100.001253, 9.999955, 76528, 76528, 0
110.001238, 9.999985, 76533, 76533, 0
120.001228, 9.99999, 74985, 74985, 0
130.001249, 10.000021, 76740, 76740, 0
140.001218, 9.999969, 76935, 76935, 0
150.001289, 10.000071, 77680, 77680, 0
160.001246, 9.999957, 77911, 77911, 0
170.001243, 9.999997, 78274, 78274, 0
180.001233, 9.99999, 78183, 78183, 0
190.001255, 10.000022, 77511, 77511, 0
200.001328, 10.000073, 77409, 77409, 0
210.001274, 9.999946, 77836, 77836, 0
220.001221, 9.999947, 77806, 77806, 0
230.001243, 10.000022, 77912, 77912, 0
240.001217, 9.999974, 77499, 77499, 0
250.001237, 10.00002, 76438, 76438, 0
260.001251, 10.000014, 77642, 77642, 0
270.001227, 9.999976, 77716, 77716, 0
280.001254, 10.000027, 76848, 76848, 0
290.001236, 9.999982, 77886, 77886, 0
300.001262, 10.000026, 78585, 78585, 0
310.001227, 9.999965, 77240, 77240, 0
320.001225, 9.999998, 77276, 77276, 0
330.00128, 10.000055, 76034, 76034, 0
340.001231, 9.999951, 78213, 78213, 0
350.001263, 10.000032, 77005, 77005, 0
360.001257, 9.999994, 78983, 78983, 0
370.001221, 9.999964, 78113, 78113, 0
380.001293, 10.000072, 77107, 77107, 0
390.001252, 9.999959, 76803, 76803, 0
400.001207, 9.999955, 77231, 77231, 0
410.001213, 10.000006, 77888, 77888, 0
420.001245, 10.000032, 77235, 77235, 0
430.001262, 10.000017, 77477, 77477, 0
440.001251, 9.999989, 76764, 76764, 0
450.00123, 9.999979, 77675, 77675, 0
460.001212, 9.999982, 78136, 78136, 0
470.001246, 10.000034, 77426, 77426, 0
480.001234, 9.999988, 77547, 77547, 0
490.001253, 10.000019, 77577, 77577, 0
500.001285, 10.000032, 77404, 77404, 0
510.001237, 9.999952, 77951, 77951, 0
520.001245, 10.000008, 77771, 77771, 0
530.001269, 10.000024, 77470, 77470, 0
540.001256, 9.999987, 78052, 78052, 0
550.001233, 9.999977, 76604, 76604, 0
560.001239, 10.000006, 76119, 76119, 0
570.001249, 10.00001, 78048, 78048, 0
580.001248, 9.999999, 77138, 77138, 0
590.001279, 10.000031, 76563, 76563, 0
600.001303, 10.000024, 77205, 77205, 0
610.001288, 9.999985, 77202, 77202, 0
620.001212, 9.999924, 77152, 77152, 0
630.001257, 10.000045, 77691, 77691, 0
640.001216, 9.999959, 78201, 78201, 0
650.001262, 10.000046, 78748, 78748, 0
660.001277, 10.000015, 77744, 77744, 0
670.001275, 9.999998, 77587, 77587, 0
680.001239, 9.999964, 71724, 71724, 0
690.001284, 10.000045, 72703, 72703, 0
700.001239, 9.999955, 74099, 74099, 0
710.001259, 10.00002, 75369, 75369, 0
720.001272, 10.000013, 74876, 74876, 0
730.001252, 9.99998, 74054, 74054, 0
740.001236, 9.999984, 74315, 74315, 0
750.001223, 9.999987, 71916, 71916, 0
760.001241, 10.000018, 74267, 74267, 0
770.001273, 10.000032, 77932, 77932, 0
780.001302, 10.000029, 78432, 78432, 0
790.001245, 9.999943, 76275, 76275, 0
800.001222, 9.999977, 76896, 76896, 0
810.001243, 10.000021, 77654, 77654, 0
820.001248, 10.000005, 77775, 77775, 0
830.001232, 9.999984, 77333, 77333, 0
840.001279, 10.000047, 77620, 77620, 0
850.001276, 9.999997, 72864, 72864, 0
860.001246, 9.99997, 74509, 74509, 0
870.001273, 10.000027, 76954, 76954, 0
880.001281, 10.000008, 76072, 76072, 0
890.001238, 9.999957, 75352, 75352, 0
900.001283, 10.000045, 77112, 77112, 0
901.004215, 1.002932, 6555, 6555, 0
