elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000943, 10.000943, 86996, 78, 731.2, 731, 926, 1024, 1507, 17244, 0
20.002571, 10.001628, 80095, 54, 771.9, 748, 971, 1466, 4624, 49168, 0
30.000906, 9.998335, 82486, 67, 759.2, 741, 948, 1367, 4075, 51105, 0
40.001934, 10.001028, 81110, 115, 772.1, 753, 939, 1175, 3271, 85262, 0
50.001927, 9.999993, 81513, 134, 775.1, 752, 943, 1223, 5971, 47897, 0
60.001921, 9.999994, 80930, 58, 769.3, 746, 950, 1489, 4102, 51514, 0
70.002016, 10.000095, 80469, 58, 773.7, 751, 958, 1505, 4067, 45052, 0
80.001968, 9.999952, 81293, 72, 765.2, 740, 945, 1455, 6104, 75796, 0
90.002124, 10.000156, 82923, 97, 757.2, 736, 972, 1543, 3140, 46387, 0
100.000936, 9.998812, 81846, 73, 765.5, 741, 977, 1546, 4269, 65027, 0
110.001929, 10.000993, 80950, 77, 770.3, 745, 973, 1565, 4942, 48690, 0
120.00199, 10.000061, 81010, 127, 774.1, 751, 973, 1586, 3080, 37974, 0
130.002008, 10.000018, 79600, 57, 775.3, 750, 956, 1494, 4841, 40593, 0
140.001996, 9.999988, 80808, 104, 783.0, 758, 981, 1521, 3330, 74483, 0
150.002118, 10.000122, 80807, 162, 772.4, 750, 966, 1470, 4112, 47190, 0
160.00194, 9.999822, 80122, 135, 776.4, 753, 978, 1521, 3460, 53472, 0
170.001921, 9.999981, 80759, 59, 777.1, 755, 984, 1530, 4649, 21918, 0
180.002011, 10.00009, 79897, 90, 779.4, 748, 1017, 1689, 4854, 44699, 0
190.001915, 9.999904, 79143, 62, 788.7, 763, 1003, 1550, 3392, 43376, 0
200.00198, 10.000065, 80137, 197, 776.9, 751, 993, 1557, 3614, 33354, 0
210.002004, 10.000024, 80622, 75, 777.6, 752, 968, 1496, 4524, 49763, 0
220.001976, 9.999972, 80564, 155, 775.4, 745, 975, 1520, 4756, 89931, 0
230.001925, 9.999949, 81077, 78, 770.6, 744, 953, 1471, 4906, 57087, 0
240.001965, 10.00004, 82331, 91, 766.1, 742, 947, 1388, 7191, 50889, 0
250.00202, 10.000055, 78700, 104, 786.5, 752, 1060, 1630, 4031, 27525, 0
260.001016, 9.998996, 81244, 149, 773.2, 751, 958, 1415, 5288, 41469, 0
270.001019, 10.000003, 82321, 190, 761.9, 735, 976, 1501, 4120, 68618, 0
280.001969, 10.00095, 82419, 79, 761.1, 733, 1016, 1592, 4439, 52758, 0
290.002163, 10.000194, 81382, 73, 767.5, 741, 969, 1483, 6944, 39827, 0
300.00398, 10.001817, 81003, 79, 762.9, 742, 959, 1516, 4053, 53653, 0
310.00194, 9.99796, 82302, 58, 766.1, 745, 974, 1496, 4299, 17154, 0
320.001951, 10.000011, 80389, 193, 772.2, 747, 979, 1569, 4709, 36750, 0
330.001902, 9.999951, 81074, 195, 768.2, 744, 959, 1473, 3878, 74920, 0
340.001943, 10.000041, 82307, 218, 758.3, 742, 949, 1389, 2308, 78642, 0
350.00191, 9.999967, 81009, 131, 769.9, 746, 976, 1533, 3796, 46446, 0
360.002045, 10.000135, 80900, 82, 766.1, 745, 978, 1537, 2989, 52664, 0
370.000926, 9.998881, 80543, 56, 772.4, 749, 984, 1539, 4262, 46908, 0
380.001913, 10.000987, 82579, 107, 761.8, 742, 971, 1521, 3746, 33099, 0
