elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000943, 10.000943, 359416, 58, 685.2, 680, 887, 1004, 1711, 52842, 0
20.002571, 10.001628, 321593, 49, 723.8, 696, 929, 1378, 6830, 52842, 0
30.000906, 9.998335, 333390, 64, 713.0, 690, 902, 1296, 5981, 85264, 0
40.001934, 10.001028, 323670, 111, 720.5, 701, 901, 1193, 4468, 85264, 0
50.001927, 9.999993, 321359, 106, 720.2, 700, 902, 1170, 4949, 51593, 0
60.001921, 9.999994, 323000, 53, 719.6, 694, 913, 1409, 4161, 51593, 0
70.002016, 10.000095, 323407, 53, 726.6, 700, 925, 1429, 4270, 75817, 0
80.001968, 9.999952, 324975, 67, 716.3, 689, 910, 1415, 6132, 75817, 0
90.002124, 10.000156, 334341, 89, 709.4, 686, 945, 1464, 2620, 78456, 0
100.000936, 9.998812, 328312, 59, 715.2, 688, 932, 1447, 4566, 74046, 0
110.001929, 10.000993, 321460, 69, 722.0, 693, 935, 1478, 5033, 74046, 0
120.00199, 10.000061, 325829, 80, 724.0, 699, 932, 1493, 3373, 44179, 0
130.002008, 10.000018, 318867, 50, 728.8, 700, 921, 1444, 5342, 52887, 0
140.001996, 9.999988, 320066, 70, 729.0, 706, 934, 1438, 3387, 74428, 0
150.002118, 10.000122, 323518, 133, 722.4, 698, 931, 1396, 4075, 63887, 0
160.00194, 9.999822, 332626, 84, 727.1, 702, 947, 1464, 3492, 65692, 0
170.001921, 9.999981, 312817, 52, 728.6, 703, 943, 1473, 4883, 65692, 0
180.002011, 10.00009, 318108, 86, 731.0, 698, 975, 1606, 4832, 48031, 0
190.001915, 9.999904, 316022, 53, 738.7, 712, 977, 1493, 4004, 77025, 0
200.00198, 10.000065, 323430, 145, 727.8, 699, 950, 1475, 4675, 75165, 0
210.002004, 10.000024, 321016, 71, 726.7, 700, 927, 1407, 4547, 51140, 0
220.001976, 9.999972, 327089, 127, 723.8, 693, 931, 1443, 5525, 89932, 0
230.001925, 9.999949, 327804, 74, 717.0, 692, 917, 1407, 4151, 57082, 0
240.001965, 10.00004, 321788, 59, 715.7, 691, 910, 1345, 6386, 51027, 0
250.00202, 10.000055, 322019, 63, 736.8, 701, 1054, 1546, 4200, 50926, 0
260.001016, 9.998996, 317897, 124, 725.0, 699, 923, 1384, 5575, 44264, 0
270.001019, 10.000003, 329810, 92, 711.2, 686, 941, 1439, 4132, 68612, 0
280.001969, 10.00095, 334611, 63, 712.5, 683, 963, 1500, 4647, 52776, 0
290.002163, 10.000194, 321893, 63, 717.2, 689, 923, 1391, 6728, 83298, 0
300.00398, 10.001817, 326116, 67, 721.0, 691, 922, 1451, 5525, 90447, 0
310.00194, 9.99796, 324514, 52, 716.8, 692, 930, 1428, 4651, 44567, 0
320.001951, 10.000011, 324469, 77, 725.8, 694, 941, 1491, 6465, 42486, 0
330.001902, 9.999951, 329878, 156, 719.1, 694, 924, 1404, 3722, 78291, 0
340.001943, 10.000041, 326125, 137, 709.1, 691, 910, 1298, 2906, 76264, 0
350.00191, 9.999967, 323741, 84, 721.0, 695, 932, 1458, 4104, 67731, 0
360.002045, 10.000135, 326694, 72, 716.2, 694, 943, 1458, 3022, 52684, 0
370.000926, 9.998881, 324046, 51, 723.2, 698, 957, 1481, 4275, 46902, 0
380.001913, 10.000987, 333607, 54, 710.8, 692, 927, 1418, 3532, 50400, 0
390.001918, 10.000005, 326185, 111, 710.6, 690, 927, 1400, 3973, 90613, 0
400.001961, 10.000043, 321162, 102, 718.4, 694, 925, 1409, 4605, 52237, 0
