elapsed, window, total, successful, failed
10.000943, 10.000943, 446412, 446412, 0
20.002571, 10.001628, 401688, 401688, 0
30.000906, 9.998335, 415876, 415876, 0
40.001934, 10.001028, 404780, 404780, 0
50.001927, 9.999993, 402872, 402872, 0
60.001921, 9.999994, 403930, 403930, 0
70.002016, 10.000095, 403876, 403876, 0
80.001968, 9.999952, 406268, 406268, 0
90.002124, 10.000156, 417264, 417264, 0
100.000936, 9.998812, 410158, 410158, 0
110.001929, 10.000993, 402410, 402410, 0
120.00199, 10.000061, 406839, 406839, 0
130.002008, 10.000018, 398467, 398467, 0
140.001996, 9.999988, 400874, 400874, 0
150.002118, 10.000122, 404325, 404325, 0
160.00194, 9.999822, 412748, 412748, 0
170.001921, 9.999981, 393576, 393576, 0
180.002011, 10.00009, 398005, 398005, 0
190.001915, 9.999904, 395165, 395165, 0
200.00198, 10.000065, 403567, 403567, 0
210.002004, 10.000024, 401638, 401638, 0
220.001976, 9.999972, 407653, 407653, 0
230.001925, 9.999949, 408881, 408881, 0
240.001965, 10.00004, 404119, 404119, 0
250.00202, 10.000055, 400719, 400719, 0
260.001016, 9.998996, 399141, 399141, 0
270.001019, 10.000003, 412131, 412131, 0
280.001969, 10.00095, 417030, 417030, 0
290.002163, 10.000194, 403275, 403275, 0
300.00398, 10.001817, 407119, 407119, 0
310.00194, 9.99796, 406816, 406816, 0
320.001951, 10.000011, 404858, 404858, 0
330.001902, 9.999951, 410952, 410952, 0
340.001943, 10.000041, 408432, 408432, 0
350.00191, 9.999967, 404750, 404750, 0
360.002045, 10.000135, 407594, 407594, 0
370.000926, 9.998881, 404589, 404589, 0
380.001913, 10.000987, 416186, 416186, 0
390.001918, 10.000005, 408418, 408418, 0
400.001961, 10.000043, 402646, 402646, 0
410.002104, 10.000143, 407193, 407193, 0
420.000901, 9.998797, 407452, 407452, 0
430.0021, 10.001199, 416109, 416109, 0
440.00101, 9.99891, 397945, 397945, 0
450.002023, 10.001013, 410462, 410462, 0
460.001965, 9.999942, 404422, 404422, 0
470.002016, 10.000051, 414617, 414617, 0
480.001995, 9.999979, 392545, 392545, 0
490.001912, 9.999917, 399585, 399585, 0
500.001912, 10.0, 407457, 407457, 0
510.001975, 10.000063, 403208, 403208, 0
520.001913, 9.999938, 410174, 410174, 0
530.002013, 10.0001, 415509, 415509, 0
540.001996, 9.999983, 401502, 401502, 0
550.001922, 9.999926, 398342, 398342, 0
560.00198, 10.000058, 404604, 404604, 0
570.002011, 10.000031, 399368, 399368, 0
580.001973, 9.999962, 408184, 408184, 0
590.001927, 9.999954, 402149, 402149, 0
600.001974, 10.000047, 399607, 399607, 0
610.001947, 9.999973, 399852, 399852, 0
620.001907, 9.99996, 414349, 414349, 0
630.001929, 10.000022, 408694, 408694, 0
640.002057, 10.000128, 411646, 411646, 0
650.000913, 9.998856, 398242, 398242, 0
660.002037, 10.001124, 410902, 410902, 0
670.001098, 9.999061, 398167, 398167, 0
680.000901, 9.999803, 406153, 406153, 0
690.001982, 10.001081, 401958, 401958, 0
700.001907, 9.999925, 408676, 408676, 0
710.001931, 10.000024, 406885, 406885, 0
720.002035, 10.000104, 402528, 402528, 0
730.000949, 9.998914, 407465, 407465, 0
740.001978, 10.001029, 410776, 410776, 0
750.001941, 9.999963, 408382, 408382, 0
760.001991, 10.00005, 406400, 406400, 0
770.001909, 9.999918, 404675, 404675, 0
780.001916, 10.000007, 407120, 407120, 0
790.002398, 10.000482, 409595, 409595, 0
800.001943, 9.999545, 403285, 403285, 0
810.001923, 9.99998, 408643, 408643, 0
820.001913, 9.99999, 409550, 409550, 0
830.001915, 10.000002, 399919, 399919, 0
840.001995, 10.00008, 410874, 410874, 0
850.001903, 9.999908, 404286, 404286, 0
860.002069, 10.000166, 407029, 407029, 0
870.001928, 9.999859, 406096, 406096, 0
880.00193, 10.000002, 404977, 404977, 0
890.001968, 10.000038, 413172, 413172, 0
900.001989, 10.000021, 407777, 407777, 0
901.007305, 1.005316, 12445, 12445, 0
