elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000421, 10.000421, 147580, 131, 2036.4, 2119, 2463, 2544, 3774, 15470, 0
20.001443, 10.001022, 113045, 1094, 2588.7, 2567, 2751, 3319, 7248, 42945, 0
30.0014, 9.999957, 105329, 1094, 2799.8, 2783, 2925, 3312, 7178, 59038, 0
40.001449, 10.000049, 103087, 196, 2858.5, 2836, 2971, 3293, 8399, 47783, 0
50.001446, 9.999997, 101487, 2286, 2915.9, 2893, 3023, 3890, 5973, 19284, 0
60.001439, 9.999993, 97237, 461, 3040.9, 2969, 3326, 4691, 9680, 92096, 0
70.001444, 10.000005, 99309, 117, 2990.0, 2956, 3124, 3806, 7529, 49907, 0
80.001496, 10.000052, 99903, 210, 2970.6, 2952, 3092, 3791, 6823, 40468, 0
90.001436, 9.99994, 99357, 1193, 2972.3, 2961, 3093, 3304, 6255, 9004, 0
100.00141, 9.999974, 98458, 347, 3000.4, 2973, 3129, 3749, 6938, 29316, 0
110.001444, 10.000034, 99167, 184, 2994.7, 2970, 3107, 3914, 6405, 53502, 0
120.001428, 9.999984, 98960, 104, 3006.8, 2985, 3140, 3434, 8127, 36507, 0
130.001463, 10.000035, 98301, 173, 2986.6, 2971, 3114, 3594, 7327, 10949, 0
140.001457, 9.999994, 99923, 2399, 2965.8, 2945, 3064, 3864, 5540, 10582, 0
150.001444, 9.999987, 97984, 1345, 3018.6, 2960, 3251, 4578, 9615, 55578, 0
160.001437, 9.999993, 98477, 113, 3017.1, 2992, 3144, 4156, 7812, 45201, 0
170.00141, 9.999973, 96240, 340, 3061.0, 3011, 3237, 4312, 8682, 69634, 0
180.001455, 10.000045, 98369, 1747, 3029.5, 3009, 3157, 3774, 6489, 34935, 0
190.001402, 9.999947, 97309, 265, 3029.2, 3008, 3161, 3739, 7403, 23517, 0
200.001434, 10.000032, 99429, 178, 2992.6, 2975, 3108, 3803, 6843, 56423, 0
210.001462, 10.000028, 97485, 689, 3014.4, 2995, 3137, 3599, 7430, 10755, 0
220.001424, 9.999962, 97688, 331, 3024.6, 2988, 3156, 4099, 8541, 49880, 0
230.00145, 10.000026, 99684, 2116, 2974.9, 2958, 3106, 3801, 5658, 10260, 0
240.001487, 10.000037, 98487, 1238, 3004.8, 2983, 3123, 3504, 7212, 68672, 0
250.001463, 9.999976, 98418, 2491, 3003.5, 2986, 3121, 3739, 5184, 27144, 0
260.001494, 10.000031, 99294, 2254, 2993.2, 2980, 3118, 3821, 4340, 7481, 0
270.001407, 9.999913, 98664, 2127, 2993.9, 2972, 3114, 3919, 6882, 60835, 0
280.00146, 10.000053, 98819, 227, 2989.7, 2964, 3106, 3659, 6577, 64656, 0
290.001425, 9.999965, 96980, 170, 3039.8, 2973, 3308, 4688, 8281, 68927, 0
300.001407, 9.999982, 99873, 2227, 2976.1, 2957, 3078, 3884, 5423, 11137, 0
310.001405, 9.999998, 99137, 2289, 2977.6, 2946, 3082, 3756, 8271, 64061, 0
320.00169, 10.000285, 98596, 122, 2998.3, 2984, 3109, 3337, 7715, 45009, 0
330.001423, 9.999733, 98618, 112, 3002.4, 2983, 3112, 3394, 9953, 32267, 0
340.00145, 10.000027, 100978, 2089, 2937.2, 2924, 3039, 3776, 6109, 11002, 0
350.001467, 10.000017, 100952, 2385, 2929.9, 2919, 3051, 3715, 4839, 11531, 0
360.001424, 9.999957, 99857, 2402, 2959.0, 2943, 3076, 3827, 6491, 12691, 0
370.001463, 10.000039, 101025, 174, 2948.3, 2921, 3074, 3863, 7585, 14561, 0
380.00141, 9.999947, 99872, 1803, 2958.4, 2935, 3091, 3820, 8073, 70274, 0
390.001462, 10.000052, 99568, 1349, 2978.3, 2963, 3100, 3644, 6629, 42696, 0
400.001503, 10.000041, 98583, 173, 2993.9, 2976, 3119, 3427, 7303, 20822, 0
410.001489, 9.999986, 98678, 1304, 2996.6, 2972, 3109, 3623, 6598, 93225, 0
420.001416, 9.999927, 98262, 1106, 3006.8, 2984, 3222, 3840, 6827, 74754, 0
430.001441, 10.000025, 99725, 266, 2987.3, 2963, 3270, 4227, 10688, 76560, 0
440.001418, 9.999977, 97483, 216, 3016.8, 3001, 3144, 3362, 8289, 26220, 0
450.001431, 10.000013, 99159, 2230, 2991.8, 2978, 3109, 3754, 4815, 11110, 0
460.001507, 10.000076, 99767, 204, 2965.4, 2950, 3090, 3532, 6838, 43040, 0
