elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000421, 10.000421, 1475, 1157, 2069.8, 2112, 2448, 2791, 11801, 13239, 0
20.001443, 10.001022, 1093, 1850, 2578.5, 2551, 2733, 3767, 7730, 11801, 0
30.0014, 9.999957, 1015, 1761, 2767.8, 2751, 2893, 3258, 7925, 9189, 0
40.001449, 10.000049, 996, 1761, 2805.9, 2796, 2926, 3699, 5169, 6465, 0
50.001446, 9.999997, 984, 2335, 2866.4, 2849, 2979, 3699, 5313, 8831, 0
60.001439, 9.999993, 1000, 2700, 2998.1, 2929, 3376, 4496, 6710, 7368, 0
70.001444, 10.000005, 1004, 707, 2952.9, 2907, 3054, 3703, 5606, 40449, 0
80.001496, 10.000052, 1036, 2418, 2928.8, 2910, 3044, 3498, 6013, 6394, 0
90.001436, 9.99994, 1041, 2341, 2917.1, 2917, 3041, 3163, 3522, 3695, 0
100.00141, 9.999974, 959, 2489, 2959.6, 2931, 3081, 4024, 6057, 6183, 0
110.001444, 10.000034, 1001, 110, 2959.0, 2931, 3069, 3823, 7106, 16277, 0
120.001428, 9.999984, 943, 110, 2956.5, 2943, 3097, 3307, 4649, 9422, 0
130.001463, 10.000035, 954, 2389, 2961.9, 2928, 3092, 3893, 6406, 7379, 0
140.001457, 9.999994, 924, 1390, 2940.7, 2901, 3005, 3432, 5489, 40039, 0
150.001444, 9.999987, 1009, 2543, 2988.7, 2919, 3248, 4273, 10307, 14991, 0
160.001437, 9.999993, 898, 429, 2984.4, 2942, 3100, 4001, 6482, 26673, 0
170.00141, 9.999973, 982, 2206, 3010.1, 2969, 3233, 4067, 5399, 7716, 0
180.001455, 10.000045, 943, 557, 3000.8, 2967, 3125, 3586, 10042, 11032, 0
190.001402, 9.999947, 959, 557, 2986.1, 2965, 3128, 3921, 8027, 11032, 0
200.001434, 10.000032, 985, 2274, 2937.5, 2929, 3064, 3293, 4765, 5320, 0
210.001462, 10.000028, 983, 978, 2972.3, 2955, 3102, 4035, 5470, 7513, 0
220.001424, 9.999962, 985, 978, 2986.0, 2946, 3174, 3994, 7513, 10820, 0
230.00145, 10.000026, 977, 1308, 2926.9, 2914, 3046, 3601, 5810, 7215, 0
240.001487, 10.000037, 987, 2671, 2958.8, 2947, 3070, 3432, 5101, 5521, 0
250.001463, 9.999976, 953, 2552, 2967.0, 2949, 3081, 3922, 5101, 5832, 0
260.001494, 10.000031, 988, 2176, 2939.8, 2940, 3062, 3169, 4183, 4874, 0
270.001407, 9.999913, 970, 211, 2939.2, 2930, 3065, 3288, 4919, 12390, 0
280.00146, 10.000053, 1016, 320, 2938.8, 2921, 3050, 3353, 4959, 11610, 0
290.001425, 9.999965, 1057, 2446, 3016.4, 2937, 3573, 4994, 7033, 8477, 0
300.001407, 9.999982, 980, 2530, 2920.1, 2913, 3018, 3293, 4801, 5363, 0
310.001405, 9.999998, 1034, 275, 2940.5, 2907, 3044, 4333, 7568, 10084, 0
320.00169, 10.000285, 984, 120, 2962.5, 2946, 3059, 3174, 7640, 14454, 0
330.001423, 9.999733, 978, 2514, 2959.8, 2937, 3085, 3762, 4746, 8832, 0
340.00145, 10.000027, 937, 2446, 2908.2, 2885, 3049, 3964, 4346, 4496, 0
350.001467, 10.000017, 974, 2598, 2902.9, 2880, 3017, 3835, 7147, 7345, 0
360.001424, 9.999957, 999, 2442, 2935.4, 2904, 3060, 4119, 7147, 7345, 0
370.001463, 10.000039, 1063, 2382, 2891.2, 2873, 2997, 3658, 6947, 7706, 0
380.00141, 9.999947, 991, 2103, 2916.5, 2897, 3052, 3533, 8066, 10211, 0
390.001462, 10.000052, 988, 200, 2946.6, 2918, 3058, 3706, 8345, 9792, 0
