elapsed, window, total, successful, failed
10.000421, 10.000421, 149055, 149055, 0
20.001443, 10.001022, 114138, 114138, 0
30.0014, 9.999957, 106344, 106344, 0
40.001449, 10.000049, 104083, 104083, 0
50.001446, 9.999997, 102471, 102471, 0
60.001439, 9.999993, 98237, 98237, 0
70.001444, 10.000005, 100313, 100313, 0
80.001496, 10.000052, 100939, 100939, 0
90.001436, 9.99994, 100398, 100398, 0
100.00141, 9.999974, 99417, 99417, 0
110.001444, 10.000034, 100168, 100168, 0
120.001428, 9.999984, 99903, 99903, 0
130.001463, 10.000035, 99255, 99255, 0
140.001457, 9.999994, 100847, 100847, 0
150.001444, 9.999987, 98993, 98993, 0
160.001437, 9.999993, 99375, 99375, 0
170.00141, 9.999973, 97222, 97222, 0
180.001455, 10.000045, 99312, 99312, 0
190.001402, 9.999947, 98268, 98268, 0
200.001434, 10.000032, 100414, 100414, 0
210.001462, 10.000028, 98468, 98468, 0
220.001424, 9.999962, 98673, 98673, 0
230.00145, 10.000026, 100661, 100661, 0
240.001487, 10.000037, 99474, 99474, 0
250.001463, 9.999976, 99371, 99371, 0
260.001494, 10.000031, 100282, 100282, 0
270.001407, 9.999913, 99634, 99634, 0
280.00146, 10.000053, 99835, 99835, 0
290.001425, 9.999965, 98037, 98037, 0
300.001407, 9.999982, 100853, 100853, 0
310.001405, 9.999998, 100171, 100171, 0
320.00169, 10.000285, 99580, 99580, 0
330.001423, 9.999733, 99596, 99596, 0
340.00145, 10.000027, 101915, 101915, 0
350.001467, 10.000017, 101926, 101926, 0
360.001424, 9.999957, 100856, 100856, 0
370.001463, 10.000039, 102088, 102088, 0
380.00141, 9.999947, 100863, 100863, 0
390.001462, 10.000052, 100556, 100556, 0
400.001503, 10.000041, 99584, 99584, 0
410.001489, 9.999986, 99704, 99704, 0
420.001416, 9.999927, 99300, 99300, 0
430.001441, 10.000025, 100696, 100696, 0
440.001418, 9.999977, 98491, 98491, 0
450.001431, 10.000013, 100156, 100156, 0
460.001507, 10.000076, 100724, 100724, 0
470.001445, 9.999938, 100513, 100513, 0
480.001462, 10.000017, 99613, 99613, 0
490.001443, 9.999981, 99704, 99704, 0
500.001433, 9.99999, 100732, 100732, 0
510.001413, 9.99998, 100796, 100796, 0
520.001442, 10.000029, 101062, 101062, 0
530.001435, 9.999993, 101380, 101380, 0
540.001442, 10.000007, 99748, 99748, 0
550.001443, 10.000001, 99498, 99498, 0
560.001461, 10.000018, 100021, 100021, 0
570.001461, 10.0, 97335, 97335, 0
580.001478, 10.000017, 98310, 98310, 0
590.001566, 10.000088, 97793, 97793, 0
600.001417, 9.999851, 94475, 94475, 0
610.001455, 10.000038, 100807, 100807, 0
620.001476, 10.000021, 98932, 98932, 0
630.001409, 9.999933, 95526, 95526, 0
640.001494, 10.000085, 96951, 96951, 0
650.00147, 9.999976, 99750, 99750, 0
660.001417, 9.999947, 100212, 100212, 0
670.00142, 10.000003, 99837, 99837, 0
680.001464, 10.000044, 98514, 98514, 0
690.001409, 9.999945, 93520, 93520, 0
700.001413, 10.000004, 95103, 95103, 0
710.001473, 10.00006, 98001, 98001, 0
720.00143, 9.999957, 97587, 97587, 0
730.001431, 10.000001, 97433, 97433, 0
740.001441, 10.00001, 98343, 98343, 0
750.001487, 10.000046, 99658, 99658, 0
760.00143, 9.999943, 101163, 101163, 0
770.001448, 10.000018, 101046, 101046, 0
780.001402, 9.999954, 101498, 101498, 0
790.001431, 10.000029, 100768, 100768, 0
800.001434, 10.000003, 98601, 98601, 0
810.001456, 10.000022, 100274, 100274, 0
820.00203, 10.000574, 99449, 99449, 0
830.001473, 9.999443, 96825, 96825, 0
840.001459, 9.999986, 93981, 93981, 0
850.001448, 9.999989, 100360, 100360, 0
860.001408, 9.99996, 99299, 99299, 0
870.001443, 10.000035, 92524, 92524, 0
880.001431, 9.999988, 94578, 94578, 0
890.001433, 10.000002, 92493, 92493, 0
900.001447, 10.000014, 95258, 95258, 0
901.006131, 1.004684, 8400, 8400, 0
