elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00098, 10.00098, 87213, 79, 737.0, 694, 1018, 2316, 7817, 16430, 0
20.002637, 10.001657, 84579, 55, 738.6, 690, 1042, 2346, 7617, 35988, 0
30.001034, 9.998397, 84753, 50, 745.6, 696, 1066, 2317, 7811, 21423, 0
40.000985, 9.999951, 83772, 100, 755.0, 703, 1049, 2145, 7927, 53731, 0
50.002, 10.001015, 83050, 61, 763.0, 703, 1054, 2683, 9098, 44807, 0
60.002024, 10.000024, 85045, 50, 747.0, 694, 1027, 2498, 8324, 42061, 0
70.002092, 10.000068, 84415, 50, 751.9, 694, 1046, 2625, 7996, 39030, 0
80.007012, 10.00492, 84582, 71, 741.0, 694, 1045, 2121, 7352, 55377, 0
90.003005, 9.995993, 85569, 94, 745.2, 685, 1078, 2476, 7908, 84535, 0
100.001983, 9.998978, 85691, 50, 735.2, 692, 1020, 2083, 8420, 37868, 0
110.002017, 10.000034, 86496, 49, 730.3, 687, 1021, 2174, 7064, 43186, 0
120.001022, 9.999005, 84982, 67, 744.3, 692, 1035, 2349, 8324, 56276, 0
130.002041, 10.001019, 84651, 69, 743.8, 690, 1040, 2298, 8012, 46317, 0
140.007139, 10.005098, 84406, 108, 746.5, 696, 1056, 2258, 7068, 60383, 0
150.00108, 9.993941, 84215, 50, 751.6, 695, 1041, 2484, 8857, 75781, 0
160.001042, 9.999962, 84688, 108, 746.6, 696, 1059, 2284, 7999, 16384, 0
170.001085, 10.000043, 84385, 52, 751.6, 695, 1091, 2227, 7893, 61385, 0
180.000989, 9.999904, 84917, 109, 750.3, 689, 1051, 2680, 8442, 41338, 0
190.001993, 10.001004, 83468, 75, 752.6, 694, 1062, 2474, 8228, 72439, 0
200.002151, 10.000158, 83938, 58, 756.5, 706, 1049, 2503, 7632, 63614, 0
210.000987, 9.998836, 82862, 95, 761.2, 709, 1082, 2306, 7656, 55475, 0
220.003287, 10.0023, 85501, 54, 738.3, 689, 1064, 2162, 7264, 71554, 0
230.003275, 9.999988, 85175, 54, 745.1, 692, 1028, 2405, 7786, 52039, 0
240.00108, 9.997805, 85033, 49, 743.6, 690, 1057, 2594, 7671, 77897, 0
250.001216, 10.000136, 83703, 55, 753.7, 697, 1097, 2437, 7245, 32555, 0
260.00102, 9.999804, 84676, 69, 749.0, 699, 1078, 2003, 7335, 58704, 0
270.003338, 10.002318, 84395, 69, 755.5, 703, 1101, 2437, 7137, 18767, 0
280.001045, 9.997707, 84324, 50, 754.0, 702, 1047, 2406, 7558, 46431, 0
290.001035, 9.99999, 86097, 95, 729.5, 688, 1021, 2031, 7318, 25564, 0
300.001051, 10.000016, 84871, 51, 745.3, 692, 1039, 2033, 8619, 44308, 0
310.000984, 9.999933, 83524, 54, 750.8, 696, 1037, 2328, 9109, 63192, 0
320.002057, 10.001073, 85706, 97, 739.1, 689, 1012, 2069, 7949, 82850, 0
330.001018, 9.998961, 84873, 63, 741.0, 691, 1009, 2300, 7817, 69355, 0
340.001171, 10.000153, 83437, 54, 761.7, 700, 1104, 2516, 8298, 70676, 0
350.001042, 9.999871, 84821, 49, 738.9, 699, 1019, 2061, 7233, 21089, 0
360.004846, 10.003804, 83691, 49, 749.3, 696, 1069, 2263, 7425, 60505, 0
370.000996, 9.99615, 84667, 85, 748.4, 688, 1078, 2676, 8301, 74231, 0
380.002015, 10.001019, 85801, 55, 733.4, 683, 1014, 2359, 7740, 47387, 0
390.001992, 9.999977, 85073, 60, 741.3, 690, 1021, 2424, 8321, 44070, 0
400.002112, 10.00012, 84765, 62, 746.0, 692, 1063, 2327, 7163, 45502, 0
410.001052, 9.99894, 85291, 97, 742.0, 689, 1071, 2318, 7413, 36688, 0
420.001145, 10.000093, 84903, 51, 742.4, 683, 1073, 2618, 8382, 28237, 0
430.001108, 9.999963, 83876, 81, 747.0, 690, 1066, 2582, 8079, 69702, 0
440.000986, 9.999878, 86717, 55, 737.4, 693, 1023, 1890, 7065, 51976, 0
450.002008, 10.001022, 85393, 72, 738.3, 696, 1011, 2291, 7609, 24061, 0
460.002031, 10.000023, 84668, 57, 741.9, 691, 1034, 2168, 7979, 66810, 0
470.00098, 9.998949, 85617, 99, 733.9, 688, 1027, 2148, 7217, 42441, 0
480.002087, 10.001107, 86584, 55, 734.5, 686, 1015, 2416, 7976, 31455, 0
490.001004, 9.998917, 83900, 56, 748.4, 691, 1063, 2607, 8172, 58933, 0
500.00223, 10.001226, 85635, 57, 744.2, 693, 1044, 2328, 7943, 52032, 0
510.001023, 9.998793, 84464, 49, 748.6, 697, 1067, 2358, 7119, 37192, 0
520.00102, 9.999997, 83061, 65, 759.8, 704, 1060, 2638, 7794, 38471, 0
530.001069, 10.000049, 84872, 64, 738.0, 689, 1019, 2578, 7163, 37649, 0
540.000989, 9.99992, 87058, 73, 730.2, 687, 1001, 1704, 7438, 83438, 0
550.002099, 10.00111, 84229, 68, 743.0, 692, 1037, 2294, 8037, 46716, 0
560.001051, 9.998952, 85304, 64, 753.8, 697, 1068, 2375, 7824, 66537, 0
570.000999, 9.999948, 85451, 61, 736.6, 688, 1059, 1993, 6934, 77317, 0
580.002037, 10.001038, 85185, 68, 741.8, 686, 1095, 2179, 7202, 57274, 0
590.001021, 9.998984, 84410, 49, 744.7, 691, 1040, 2099, 7996, 77386, 0
600.001014, 9.999993, 75616, 63, 831.5, 777, 1179, 2457, 7712, 71152, 0
610.000989, 9.999975, 85904, 55, 741.5, 687, 1051, 2465, 7159, 58707, 0
620.002005, 10.001016, 84810, 51, 743.8, 689, 1050, 2248, 7666, 78934, 0
630.002057, 10.000052, 85633, 63, 741.2, 687, 1065, 2540, 7239, 55503, 0
640.001056, 9.998999, 84034, 55, 744.6, 696, 1071, 2258, 7197, 32400, 0
650.001039, 9.999983, 84612, 64, 749.0, 705, 1039, 2250, 7349, 42519, 0
660.001077, 10.000038, 86189, 55, 730.7, 691, 1022, 2171, 7062, 10097, 0
670.000995, 9.999918, 83657, 54, 749.7, 690, 1054, 2529, 8741, 67572, 0
680.002068, 10.001073, 85844, 54, 734.7, 680, 1055, 2448, 8170, 60889, 0
690.002102, 10.000034, 85654, 79, 739.5, 690, 1059, 2218, 7378, 64578, 0
700.001427, 9.999325, 85290, 96, 740.3, 687, 1083, 2118, 7497, 42112, 0
710.003141, 10.001714, 86232, 96, 736.4, 683, 1047, 2207, 7613, 51874, 0
720.002052, 9.998911, 85632, 58, 748.2, 694, 1079, 2282, 7513, 65028, 0
730.002639, 10.000587, 84965, 106, 748.5, 704, 1026, 2088, 7989, 34576, 0
740.001159, 9.99852, 82925, 57, 755.3, 694, 1056, 2992, 8657, 44912, 0
750.001062, 9.999903, 85138, 57, 742.7, 690, 1052, 2419, 7380, 44481, 0
760.003667, 10.002605, 86255, 47, 738.3, 680, 1060, 2528, 8022, 53574, 0
770.004107, 10.00044, 87593, 56, 729.7, 676, 1038, 2501, 8098, 23222, 0
780.000993, 9.996886, 83992, 105, 748.2, 688, 1041, 2614, 8845, 46135, 0
790.002067, 10.001074, 84668, 49, 746.8, 695, 1021, 2261, 8462, 66056, 0
800.001045, 9.998978, 86111, 49, 733.1, 680, 1004, 2368, 7713, 68840, 0
810.001046, 10.000001, 85684, 79, 738.7, 688, 1052, 2276, 7623, 29532, 0
820.001, 9.999954, 86024, 66, 744.3, 692, 1072, 2225, 7274, 76882, 0
830.003311, 10.002311, 83296, 52, 754.6, 702, 1044, 2692, 7840, 31642, 0
840.007124, 10.003813, 83514, 77, 760.8, 699, 1065, 2496, 8674, 83109, 0
850.001004, 9.99388, 81840, 56, 777.1, 722, 1084, 2470, 7926, 63908, 0
860.002022, 10.001018, 81602, 86, 768.3, 715, 1112, 2107, 7247, 52340, 0
870.002053, 10.000031, 75102, 103, 838.0, 790, 1131, 2465, 8350, 40949, 0
880.00102, 9.998967, 84493, 73, 749.2, 698, 1036, 2446, 7682, 66267, 0
890.002006, 10.000986, 84598, 69, 739.8, 685, 1065, 2212, 8005, 68021, 0
900.002071, 10.000065, 83613, 67, 756.4, 702, 1054, 2434, 7945, 50539, 0
901.005223, 1.003152, 5627, 67, 768.7, 709, 1083, 2283, 7986, 51392, 0
