elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00098, 10.00098, 356622, 47, 678.8, 640, 957, 1957, 7586, 32735, 0
20.002637, 10.001657, 339574, 47, 685.4, 636, 981, 2086, 8233, 76028, 0
30.001034, 9.998397, 337042, 36, 690.6, 640, 998, 2218, 7905, 44312, 0
40.000985, 9.999951, 334687, 71, 696.6, 647, 991, 2045, 7342, 53736, 0
50.002, 10.001015, 341378, 46, 701.5, 648, 993, 2349, 8353, 44839, 0
60.002024, 10.000024, 334569, 36, 688.4, 639, 963, 2242, 8203, 90787, 0
70.002092, 10.000068, 336978, 37, 690.8, 640, 978, 2207, 7887, 39035, 0
80.007012, 10.00492, 339668, 61, 686.4, 638, 984, 1914, 7373, 92821, 0
90.003005, 9.995993, 354559, 37, 686.3, 633, 1000, 2281, 7711, 84596, 0
100.001983, 9.998978, 338877, 37, 679.1, 639, 960, 1856, 8023, 49033, 0
110.002017, 10.000034, 344679, 36, 676.1, 632, 959, 2113, 6975, 56208, 0
120.001022, 9.999005, 338675, 60, 689.0, 638, 976, 2250, 7977, 56208, 0
130.002041, 10.001019, 332496, 60, 687.1, 636, 976, 2089, 8022, 46318, 0
140.007139, 10.005098, 341604, 76, 689.4, 642, 994, 2079, 6940, 69873, 0
150.00108, 9.993941, 334967, 36, 693.4, 639, 978, 2292, 8511, 75975, 0
160.001042, 9.999962, 337071, 53, 689.3, 641, 992, 2109, 7548, 61449, 0
170.001085, 10.000043, 336783, 58, 689.6, 640, 1017, 2023, 7226, 61449, 0
180.000989, 9.999904, 341407, 61, 690.0, 633, 987, 2409, 7545, 43610, 0
190.001993, 10.001004, 338635, 51, 691.0, 639, 993, 2223, 7962, 72475, 0
200.002151, 10.000158, 330751, 49, 693.2, 648, 985, 2287, 7133, 63631, 0
210.000987, 9.998836, 334181, 62, 705.2, 653, 1017, 2100, 7656, 71606, 0
220.003287, 10.0023, 346571, 46, 682.9, 634, 996, 2028, 7500, 71606, 0
230.003275, 9.999988, 337251, 52, 686.5, 637, 970, 2148, 7603, 52660, 0
240.00108, 9.997805, 338497, 35, 689.5, 635, 995, 2429, 7665, 77906, 0
250.001216, 10.000136, 332799, 51, 697.4, 643, 1040, 2170, 7491, 56649, 0
260.00102, 9.999804, 340677, 51, 690.3, 645, 1009, 1899, 7217, 58709, 0
270.003338, 10.002318, 342951, 58, 695.5, 647, 1022, 2140, 7009, 39197, 0
280.001045, 9.997707, 337094, 40, 692.8, 648, 984, 2166, 7074, 46428, 0
290.001035, 9.99999, 339609, 54, 679.4, 635, 962, 1873, 7577, 42681, 0
300.001051, 10.000016, 344563, 41, 691.0, 637, 981, 1994, 8488, 44329, 0
310.000984, 9.999933, 337027, 36, 696.0, 643, 982, 2196, 8695, 64996, 0
320.002057, 10.001073, 340576, 77, 681.7, 637, 956, 1836, 7212, 88187, 0
330.001018, 9.998961, 335532, 59, 686.6, 637, 963, 2067, 7565, 70675, 0
340.001171, 10.000153, 345782, 36, 698.7, 645, 1024, 2228, 8156, 70675, 0
350.001042, 9.999871, 333275, 36, 683.2, 643, 960, 1833, 7123, 60495, 0
360.004846, 10.003804, 333430, 36, 691.7, 641, 996, 1932, 7432, 74287, 0
370.000996, 9.99615, 345122, 62, 692.2, 634, 1013, 2475, 8041, 74287, 0
380.002015, 10.001019, 343094, 49, 681.6, 631, 956, 2207, 7986, 47421, 0
390.001992, 9.999977, 333348, 47, 687.5, 637, 970, 2275, 8428, 44070, 0
400.002112, 10.00012, 340403, 59, 687.1, 637, 998, 2011, 7463, 45489, 0
410.001052, 9.99894, 344605, 38, 683.8, 634, 1004, 2098, 7410, 54966, 0
420.001145, 10.000093, 334492, 38, 685.6, 631, 1012, 2400, 7649, 69694, 0
430.001108, 9.999963, 346283, 75, 691.6, 637, 1005, 2342, 7986, 69694, 0
440.000986, 9.999878, 349719, 47, 680.2, 639, 962, 1728, 6888, 51970, 0
450.002008, 10.001022, 328196, 54, 681.1, 642, 952, 1928, 7424, 24239, 0
460.002031, 10.000023, 344408, 52, 685.1, 636, 971, 2001, 7721, 66848, 0
470.00098, 9.998949, 345253, 50, 682.5, 635, 966, 2025, 7606, 42489, 0
480.002087, 10.001107, 336723, 52, 679.4, 634, 967, 2089, 7567, 46115, 0
490.001004, 9.998917, 334772, 41, 693.7, 637, 1005, 2332, 7983, 59033, 0
