elapsed, window, total, successful, failed
10.00098, 10.00098, 443835, 443835, 0
20.002637, 10.001657, 424153, 424153, 0
30.001034, 9.998397, 421795, 421795, 0
40.000985, 9.999951, 418459, 418459, 0
50.002, 10.001015, 424428, 424428, 0
60.002024, 10.000024, 419614, 419614, 0
70.002092, 10.000068, 421393, 421393, 0
80.007012, 10.00492, 424250, 424250, 0
90.003005, 9.995993, 440128, 440128, 0
100.001983, 9.998978, 424568, 424568, 0
110.002017, 10.000034, 431175, 431175, 0
120.001022, 9.999005, 423657, 423657, 0
130.002041, 10.001019, 417147, 417147, 0
140.007139, 10.005098, 426010, 426010, 0
150.00108, 9.993941, 419182, 419182, 0
160.001042, 9.999962, 421759, 421759, 0
170.001085, 10.000043, 421168, 421168, 0
180.000989, 9.999904, 426324, 426324, 0
190.001993, 10.001004, 422103, 422103, 0
200.002151, 10.000158, 414689, 414689, 0
210.000987, 9.998836, 417043, 417043, 0
220.003287, 10.0023, 432072, 432072, 0
230.003275, 9.999988, 422426, 422426, 0
240.00108, 9.997805, 423530, 423530, 0
250.001216, 10.000136, 416502, 416502, 0
260.00102, 9.999804, 425353, 425353, 0
270.003338, 10.002318, 427346, 427346, 0
280.001045, 9.997707, 421418, 421418, 0
290.001035, 9.99999, 425706, 425706, 0
300.001051, 10.000016, 429434, 429434, 0
310.000984, 9.999933, 420551, 420551, 0
320.002057, 10.001073, 426282, 426282, 0
330.001018, 9.998961, 420405, 420405, 0
340.001171, 10.000153, 429219, 429219, 0
350.001042, 9.999871, 418096, 418096, 0
360.004846, 10.003804, 417121, 417121, 0
370.000996, 9.99615, 429789, 429789, 0
380.002015, 10.001019, 428895, 428895, 0
390.001992, 9.999977, 418421, 418421, 0
400.002112, 10.00012, 425168, 425168, 0
410.001052, 9.99894, 429896, 429896, 0
420.001145, 10.000093, 419395, 419395, 0
430.001108, 9.999963, 430159, 430159, 0
440.000986, 9.999878, 436436, 436436, 0
450.002008, 10.001022, 413589, 413589, 0
460.002031, 10.000023, 429076, 429076, 0
470.00098, 9.998949, 430870, 430870, 0
480.002087, 10.001107, 423307, 423307, 0
490.001004, 9.998917, 418672, 418672, 0
500.00223, 10.001226, 428416, 428416, 0
510.001023, 9.998793, 421222, 421222, 0
520.00102, 9.999997, 418562, 418562, 0
530.001069, 10.000049, 433561, 433561, 0
540.000989, 9.99992, 429437, 429437, 0
550.002099, 10.00111, 414125, 414125, 0
560.001051, 9.998952, 427180, 427180, 0
570.000999, 9.999948, 424000, 424000, 0
580.002037, 10.001038, 425094, 425094, 0
590.001021, 9.998984, 424345, 424345, 0
600.001014, 9.999993, 378249, 378249, 0
610.000989, 9.999975, 429273, 429273, 0
620.002005, 10.001016, 424160, 424160, 0
630.002057, 10.000052, 425651, 425651, 0
640.001056, 9.998999, 428725, 428725, 0
650.001039, 9.999983, 425053, 425053, 0
660.001077, 10.000038, 420578, 420578, 0
670.000995, 9.999918, 419014, 419014, 0
680.002068, 10.001073, 430488, 430488, 0
690.002102, 10.000034, 423778, 423778, 0
700.001427, 9.999325, 429137, 429137, 0
710.003141, 10.001714, 431828, 431828, 0
720.002052, 9.998911, 433653, 433653, 0
730.002639, 10.000587, 416782, 416782, 0
740.001159, 9.99852, 419426, 419426, 0
750.001062, 9.999903, 424686, 424686, 0
760.003667, 10.002605, 430117, 430117, 0
770.004107, 10.00044, 434477, 434477, 0
780.000993, 9.996886, 420215, 420215, 0
790.002067, 10.001074, 428375, 428375, 0
800.001045, 9.998978, 425535, 425535, 0
810.001046, 10.000001, 425733, 425733, 0
820.001, 9.999954, 430546, 430546, 0
830.003311, 10.002311, 414381, 414381, 0
840.007124, 10.003813, 420087, 420087, 0
850.001004, 9.99388, 403267, 403267, 0
860.002022, 10.001018, 417736, 417736, 0
870.002053, 10.000031, 375515, 375515, 0
880.00102, 9.998967, 418043, 418043, 0
890.002006, 10.000986, 426836, 426836, 0
900.002071, 10.000065, 416479, 416479, 0
901.005223, 1.003152, 18078, 18078, 0
