elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000473, 10.000473, 145988, 793, 2055.0, 2074, 2831, 3091, 3475, 12910, 0
20.001516, 10.001043, 98832, 1042, 2938.3, 2885, 3622, 4097, 7828, 49209, 0
30.001513, 9.999997, 87968, 86, 3388.9, 3330, 4079, 4313, 7897, 119755, 0
40.001491, 9.999978, 89209, 82, 3310.4, 3256, 4032, 4588, 8968, 22064, 0
50.001504, 10.000013, 87497, 555, 3396.4, 3350, 4114, 4623, 7348, 72758, 0
60.001464, 9.99996, 85050, 472, 3472.8, 3432, 4299, 5565, 8069, 45802, 0
70.001458, 9.999994, 84627, 472, 3513.0, 3453, 4353, 5605, 9820, 61162, 0
80.001588, 10.00013, 85240, 965, 3480.4, 3440, 4296, 5086, 7134, 70917, 0
90.001532, 9.999944, 83597, 714, 3538.7, 3480, 4389, 5674, 11168, 31762, 0
100.001512, 9.99998, 82974, 548, 3551.5, 3508, 4389, 5338, 10652, 33262, 0
110.001652, 10.00014, 82539, 144, 3573.3, 3533, 4407, 4986, 8074, 42233, 0
120.00149, 9.999838, 80898, 403, 3656.6, 3608, 4521, 5467, 9219, 20878, 0
130.001486, 9.999996, 79023, 781, 3747.9, 3697, 4518, 5335, 10903, 82381, 0
140.001615, 10.000129, 82168, 896, 3633.1, 3583, 4481, 5034, 7761, 69428, 0
150.00155, 9.999935, 81669, 884, 3621.6, 3577, 4512, 5288, 7880, 42557, 0
160.001463, 9.999913, 81657, 901, 3607.0, 3557, 4434, 5283, 7789, 81704, 0
170.001476, 10.000013, 83266, 1083, 3563.7, 3520, 4395, 5140, 8385, 18404, 0
180.001471, 9.999995, 80303, 1319, 3666.8, 3632, 4458, 5148, 7162, 25915, 0
190.001486, 10.000015, 81726, 819, 3647.3, 3603, 4510, 5860, 8003, 12165, 0
200.001567, 10.000081, 81716, 613, 3610.7, 3586, 4410, 5146, 7278, 72656, 0
210.001456, 9.999889, 80900, 407, 3667.6, 3625, 4529, 5717, 8549, 18626, 0
220.001532, 10.000076, 73756, 383, 3977.5, 3973, 4949, 5962, 9855, 42427, 0
