elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000473, 10.000473, 1457, 952, 2063.1, 2063, 2820, 3259, 9237, 12575, 0
20.001516, 10.001043, 959, 92, 2896.6, 2833, 3581, 4213, 9237, 12575, 0
30.001513, 9.999997, 837, 77, 3322.4, 3266, 4013, 4417, 8188, 8617, 0
40.001491, 9.999978, 842, 77, 3258.2, 3204, 4015, 4994, 7090, 8188, 0
50.001504, 10.000013, 886, 521, 3299.4, 3250, 4102, 4809, 7246, 7947, 0
60.001464, 9.99996, 805, 1750, 3386.9, 3363, 4223, 5141, 7426, 7947, 0
70.001458, 9.999994, 872, 1519, 3418.9, 3380, 4298, 5431, 7915, 9663, 0
80.001588, 10.00013, 879, 1471, 3411.7, 3367, 4209, 5044, 8362, 8777, 0
90.001532, 9.999944, 873, 1471, 3473.0, 3423, 4321, 5030, 8777, 17566, 0
100.001512, 9.99998, 858, 78, 3501.9, 3444, 4307, 5565, 17053, 17566, 0
110.001652, 10.00014, 850, 78, 3433.3, 3407, 4227, 4711, 5294, 17053, 0
120.00149, 9.999838, 773, 1959, 3569.7, 3529, 4382, 5223, 7622, 7794, 0
130.001486, 9.999996, 798, 1647, 3606.1, 3590, 4409, 4863, 6878, 7794, 0
140.001615, 10.000129, 784, 1601, 3569.2, 3525, 4413, 4952, 6878, 7817, 0
150.00155, 9.999935, 782, 1408, 3544.0, 3505, 4431, 5163, 7337, 7817, 0
160.001463, 9.999913, 773, 1408, 3491.3, 3411, 4412, 5363, 7337, 8167, 0
170.001476, 10.000013, 835, 1709, 3462.4, 3418, 4331, 5810, 8167, 8971, 0
180.001471, 9.999995, 781, 1500, 3585.5, 3558, 4337, 5229, 7111, 8971, 0
190.001486, 10.000015, 761, 1190, 3559.4, 3531, 4417, 5789, 7111, 8424, 0
200.001567, 10.000081, 827, 2077, 3557.9, 3507, 4337, 6070, 11238, 11243, 0
210.001456, 9.999889, 784, 1532, 3626.3, 3548, 4474, 6359, 11238, 11243, 0
220.001532, 10.000076, 720, 1532, 3879.8, 3913, 4850, 5533, 6359, 6609, 0
230.001477, 9.999945, 767, 1517, 3677.2, 3642, 4492, 5000, 6145, 7105, 0
240.001469, 9.999992, 790, 2120, 3730.5, 3630, 5181, 6502, 8152, 9874, 0
250.001459, 9.99999, 798, 2396, 3635.7, 3572, 4349, 6101, 13172, 15013, 0
260.00147, 10.000011, 764, 1815, 3951.8, 3896, 4856, 5852, 7913, 59798, 0
270.001495, 10.000025, 790, 1951, 3683.5, 3595, 4463, 5263, 6199, 59798, 0
280.001474, 9.999979, 819, 1894, 3464.7, 3438, 4257, 4896, 5458, 6189, 0
290.001467, 9.999993, 804, 1685, 3562.2, 3509, 4368, 5738, 6613, 7900, 0
300.001516, 10.000049, 715, 2155, 4003.6, 3936, 4972, 6288, 14415, 28468, 0
310.001465, 9.999949, 793, 399, 3657.8, 3581, 4456, 5018, 14415, 28468, 0
320.001505, 10.00004, 831, 399, 3546.1, 3515, 4434, 5049, 6232, 6319, 0
330.001484, 9.999979, 790, 1119, 3613.0, 3571, 4500, 5788, 9752, 17409, 0
340.001611, 10.000127, 764, 1366, 3907.2, 3883, 4813, 5809, 17409, 18573, 0
350.001499, 9.999888, 878, 1775, 3568.3, 3518, 4446, 5431, 6434, 18573, 0
360.001488, 9.999989, 786, 1008, 3709.9, 3690, 4643, 5622, 6381, 6403, 0
370.001552, 10.000064, 832, 2140, 3655.9, 3580, 4593, 6047, 7866, 13077, 0
380.001449, 9.999897, 741, 1929, 3955.3, 3946, 4931, 7065, 8110, 8425, 0
390.001674, 10.000225, 821, 1659, 3603.4, 3521, 4558, 6068, 7317, 7335, 0
400.001541, 9.999867, 793, 1215, 3578.4, 3552, 4343, 4859, 8523, 10944, 0
410.001505, 9.999964, 769, 1215, 3590.4, 3588, 4386, 5309, 6452, 7464, 0
420.001506, 10.000001, 646, 2290, 3999.1, 3999, 4939, 5334, 6940, 7095, 0
430.001841, 10.000335, 813, 1629, 3652.8, 3546, 4362, 5164, 12659, 58101, 0
440.001477, 9.999636, 806, 1990, 3713.1, 3626, 4469, 5136, 7280, 58101, 0
450.001536, 10.000059, 834, 1081, 3578.7, 3540, 4467, 4891, 6203, 13050, 0
460.001466, 9.99993, 737, 1200, 3968.2, 4027, 4882, 5782, 9432, 13050, 0
470.001488, 10.000022, 808, 1200, 3528.2, 3513, 4280, 4643, 6087, 9432, 0
480.001494, 10.000006, 826, 1803, 3604.0, 3555, 4473, 5547, 6899, 7614, 0
490.001478, 9.999984, 817, 1237, 3618.6, 3542, 4434, 6393, 10993, 16364, 0
500.001486, 10.000008, 785, 2012, 3960.2, 3952, 4892, 6017, 8575, 16364, 0
510.001662, 10.000176, 810, 1451, 3555.4, 3491, 4362, 5664, 9332, 9378, 0
520.00155, 9.999888, 834, 309, 3756.7, 3657, 4866, 6793, 9126, 9332, 0
530.001513, 9.999963, 797, 1298, 3558.8, 3485, 4470, 5468, 8086, 8115, 0
540.001472, 9.999959, 819, 1501, 3627.1, 3548, 4425, 5313, 8290, 16760, 0
550.001555, 10.000083, 803, 1501, 3614.2, 3499, 4520, 7223, 13582, 16760, 0
560.001462, 9.999907, 839, 1465, 3481.2, 3428, 4285, 5573, 8094, 11717, 0
570.001523, 10.000061, 805, 1465, 3495.7, 3445, 4306, 4994, 9787, 11717, 0
580.001559, 10.000036, 808, 1326, 3521.0, 3461, 4403, 5914, 9787, 10476, 0
590.005822, 10.004263, 783, 1326, 3549.1, 3461, 4306, 4739, 12072, 39188, 0
600.00152, 9.995698, 809, 1375, 3563.3, 3506, 4373, 4784, 12072, 39188, 0
610.001465, 9.999945, 783, 1375, 3543.9, 3477, 4266, 5002, 9078, 14725, 0
620.001459, 9.999994, 858, 1611, 3575.7, 3503, 4368, 5148, 9078, 20658, 0
630.0015, 10.000041, 801, 1659, 3544.3, 3488, 4320, 4810, 6272, 20658, 0
640.001502, 10.000002, 778, 1797, 3626.7, 3569, 4454, 4913, 6447, 6720, 0
650.00151, 10.000008, 823, 809, 3644.4, 3622, 4419, 4796, 6720, 9908, 0
660.00188, 10.00037, 765, 809, 3688.1, 3609, 4590, 6245, 9908, 29299, 0
670.001481, 9.999601, 813, 1447, 3631.3, 3548, 4522, 7187, 9883, 10907, 0
680.001542, 10.000061, 731, 1248, 3842.6, 3775, 4901, 6901, 8372, 10907, 0
690.001545, 10.000003, 789, 627, 3738.2, 3694, 4723, 5170, 6559, 6668, 0
700.001489, 9.999944, 795, 1246, 3545.2, 3532, 4412, 4730, 5175, 6165, 0
710.00149, 10.000001, 833, 1029, 3531.6, 3482, 4379, 4825, 6947, 7854, 0
720.001476, 9.999986, 785, 2084, 3564.3, 3546, 4356, 5319, 6947, 7854, 0
730.001469, 9.999993, 751, 2256, 3977.7, 3999, 4868, 5600, 8318, 8334, 0
740.001461, 9.999992, 839, 2211, 3628.4, 3571, 4450, 6024, 8318, 8334, 0
750.00149, 10.000029, 821, 1986, 3590.6, 3535, 4519, 5457, 7639, 9789, 0
760.001828, 10.000338, 811, 618, 3590.1, 3565, 4484, 5050, 6520, 7314, 0
770.00155, 9.999722, 756, 894, 3836.4, 3785, 4831, 5325, 7491, 8753, 0
780.001485, 9.999935, 781, 1598, 3731.6, 3689, 4750, 5358, 7438, 7491, 0
790.001471, 9.999986, 854, 2164, 3652.7, 3623, 4540, 5078, 6567, 7362, 0
800.001526, 10.000055, 801, 2208, 3761.0, 3723, 4770, 5481, 7280, 8514, 0
810.001516, 9.99999, 788, 1481, 3748.0, 3655, 4851, 6223, 8514, 14191, 0
820.001499, 9.999983, 819, 846, 3564.6, 3495, 4419, 6223, 11356, 14191, 0
830.001468, 9.999969, 832, 846, 3541.6, 3506, 4306, 5306, 6523, 11356, 0
840.001521, 10.000053, 797, 1846, 3536.9, 3514, 4295, 4942, 6523, 6554, 0
850.001465, 9.999944, 772, 1594, 3499.1, 3472, 4323, 5118, 6093, 6186, 0
860.001497, 10.000032, 797, 1133, 3614.7, 3551, 4475, 5395, 9429, 10637, 0
870.001508, 10.000011, 751, 1006, 3610.3, 3600, 4473, 4925, 5757, 5874, 0
880.001474, 9.999966, 837, 1006, 3578.9, 3503, 4542, 5606, 7057, 7548, 0
890.001621, 10.000147, 853, 1267, 3543.3, 3480, 4300, 5579, 7057, 7548, 0
900.001548, 9.999927, 761, 1045, 3525.8, 3494, 4385, 5370, 7297, 8612, 0
901.00428, 1.002732, 77, 1045, 3518.8, 3481, 4410, 5326, 7297, 8612, 0
