elapsed, window, total, successful, failed
10.000473, 10.000473, 147445, 147445, 0
20.001516, 10.001043, 99791, 99791, 0
30.001513, 9.999997, 88805, 88805, 0
40.001491, 9.999978, 90051, 90051, 0
50.001504, 10.000013, 88383, 88383, 0
60.001464, 9.99996, 85855, 85855, 0
70.001458, 9.999994, 85499, 85499, 0
80.001588, 10.00013, 86119, 86119, 0
90.001532, 9.999944, 84470, 84470, 0
100.001512, 9.99998, 83832, 83832, 0
110.001652, 10.00014, 83389, 83389, 0
120.00149, 9.999838, 81671, 81671, 0
130.001486, 9.999996, 79821, 79821, 0
140.001615, 10.000129, 82952, 82952, 0
150.00155, 9.999935, 82451, 82451, 0
160.001463, 9.999913, 82430, 82430, 0
170.001476, 10.000013, 84101, 84101, 0
180.001471, 9.999995, 81084, 81084, 0
190.001486, 10.000015, 82487, 82487, 0
200.001567, 10.000081, 82543, 82543, 0
210.001456, 9.999889, 81684, 81684, 0
220.001532, 10.000076, 74476, 74476, 0
230.001477, 9.999945, 79332, 79332, 0
240.001469, 9.999992, 79495, 79495, 0
250.001459, 9.99999, 80656, 80656, 0
260.00147, 10.000011, 74716, 74716, 0
270.001495, 10.000025, 81232, 81232, 0
280.001474, 9.999979, 83858, 83858, 0
290.001467, 9.999993, 82471, 82471, 0
300.001516, 10.000049, 74199, 74199, 0
310.001465, 9.999949, 80624, 80624, 0
320.001505, 10.00004, 82211, 82211, 0
330.001484, 9.999979, 81003, 81003, 0
340.001611, 10.000127, 74675, 74675, 0
350.001499, 9.999888, 82921, 82921, 0
360.001488, 9.999989, 78989, 78989, 0
370.001552, 10.000064, 81451, 81451, 0
380.001449, 9.999897, 74262, 74262, 0
390.001674, 10.000225, 82519, 82519, 0
400.001541, 9.999867, 81299, 81299, 0
410.001505, 9.999964, 81867, 81867, 0
420.001506, 10.000001, 72712, 72712, 0
430.001841, 10.000335, 81382, 81382, 0
440.001477, 9.999636, 80815, 80815, 0
450.001536, 10.000059, 81408, 81408, 0
460.001466, 9.99993, 73482, 73482, 0
470.001488, 10.000022, 83283, 83283, 0
480.001494, 10.000006, 81525, 81525, 0
490.001478, 9.999984, 82128, 82128, 0
500.001486, 10.000008, 74031, 74031, 0
510.001662, 10.000176, 82154, 82154, 0
520.00155, 9.999888, 78359, 78359, 0
530.001513, 9.999963, 82505, 82505, 0
540.001472, 9.999959, 81161, 81161, 0
550.001555, 10.000083, 81741, 81741, 0
560.001462, 9.999907, 84049, 84049, 0
570.001523, 10.000061, 83374, 83374, 0
580.001559, 10.000036, 83806, 83806, 0
590.005822, 10.004263, 82756, 82756, 0
600.00152, 9.995698, 82311, 82311, 0
610.001465, 9.999945, 81960, 81960, 0
620.001459, 9.999994, 82229, 82229, 0
630.0015, 10.000041, 82367, 82367, 0
640.001502, 10.000002, 81371, 81371, 0
650.00151, 10.000008, 79882, 79882, 0
660.00188, 10.00037, 80814, 80814, 0
670.001481, 9.999601, 81143, 81143, 0
680.001542, 10.000061, 76971, 76971, 0
690.001545, 10.000003, 78380, 78380, 0
700.001489, 9.999944, 82115, 82115, 0
710.00149, 10.000001, 82268, 82268, 0
720.001476, 9.999986, 81460, 81460, 0
730.001469, 9.999993, 73343, 73343, 0
740.001461, 9.999992, 81407, 81407, 0
750.00149, 10.000029, 80782, 80782, 0
760.001828, 10.000338, 82016, 82016, 0
770.00155, 9.999722, 75772, 75772, 0
780.001485, 9.999935, 78626, 78626, 0
790.001471, 9.999986, 80276, 80276, 0
800.001526, 10.000055, 78667, 78667, 0
810.001516, 9.99999, 79917, 79917, 0
820.001499, 9.999983, 82815, 82815, 0
830.001468, 9.999969, 83099, 83099, 0
840.001521, 10.000053, 83333, 83333, 0
850.001465, 9.999944, 83655, 83655, 0
860.001497, 10.000032, 80802, 80802, 0
870.001508, 10.000011, 81070, 81070, 0
880.001474, 9.999966, 82055, 82055, 0
890.001621, 10.000147, 83491, 83491, 0
900.001548, 9.999927, 83229, 83229, 0
901.00428, 1.002732, 7070, 7070, 0
