elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00026, 10.00026, 67280, 106, 938.7, 886, 1393, 2100, 5635, 13359, 0
20.002313, 10.002053, 63750, 122, 975.8, 900, 1574, 2463, 8096, 26883, 0
30.001154, 9.998841, 64403, 93, 973.3, 900, 1549, 2475, 8146, 50551, 0
40.001252, 10.000098, 65254, 97, 958.6, 886, 1479, 2393, 8300, 60211, 0
50.001213, 9.999961, 65524, 106, 954.7, 893, 1393, 2102, 7025, 73580, 0
60.001222, 10.000009, 64171, 87, 986.7, 901, 1548, 2616, 8040, 46852, 0
70.001289, 10.000067, 64539, 87, 967.5, 900, 1416, 2247, 7485, 68248, 0
80.001164, 9.999875, 65183, 132, 967.0, 899, 1504, 2410, 6994, 46642, 0
90.001205, 10.000041, 62404, 86, 997.2, 906, 1684, 2782, 7769, 79258, 0
100.001268, 10.000063, 63809, 101, 977.2, 903, 1520, 2586, 6605, 76585, 0
110.001198, 9.99993, 64010, 102, 971.8, 891, 1539, 2677, 7480, 70781, 0
120.001243, 10.000045, 64569, 92, 967.6, 895, 1524, 2449, 7498, 22928, 0
130.001268, 10.000025, 64421, 85, 972.2, 898, 1529, 2517, 6618, 93523, 0
140.001165, 9.999897, 64739, 108, 965.8, 893, 1495, 2411, 7613, 37221, 0
150.001416, 10.000251, 64492, 104, 979.2, 896, 1629, 2667, 7582, 113994, 0
160.001295, 9.999879, 65347, 103, 951.9, 903, 1411, 2135, 4593, 47500, 0
170.001307, 10.000012, 63869, 93, 977.6, 905, 1549, 2379, 6186, 106972, 0
180.001236, 9.999929, 65317, 119, 971.6, 903, 1514, 2371, 6752, 36547, 0
190.001366, 10.00013, 63166, 87, 978.5, 908, 1497, 2593, 6412, 35928, 0
200.001185, 9.999819, 62762, 107, 996.7, 900, 1613, 3245, 8349, 49903, 0
210.001228, 10.000043, 63316, 116, 994.1, 902, 1558, 2644, 7606, 128247, 0
220.001255, 10.000027, 63784, 89, 980.6, 905, 1549, 2585, 6561, 67710, 0
230.001226, 9.999971, 63760, 90, 983.9, 902, 1569, 2585, 6342, 92930, 0
240.001158, 9.999932, 64047, 87, 977.8, 908, 1536, 2307, 6850, 108878, 0
250.001147, 9.999989, 62943, 89, 986.0, 912, 1519, 2538, 6222, 67273, 0
260.001197, 10.00005, 63849, 94, 981.8, 907, 1634, 2505, 5787, 20826, 0
270.001214, 10.000017, 64006, 122, 980.7, 903, 1553, 2480, 7830, 39624, 0
280.001201, 9.999987, 64944, 108, 965.6, 895, 1520, 2387, 5625, 100413, 0
290.001405, 10.000204, 64170, 102, 974.4, 906, 1509, 2324, 6902, 65511, 0
