elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00026, 10.00026, 273237, 90, 880.7, 824, 1343, 2083, 6046, 26868, 0
20.002313, 10.002053, 256747, 89, 914.8, 838, 1491, 2371, 8330, 120520, 0
30.001154, 9.998841, 257564, 76, 910.6, 836, 1475, 2388, 8301, 60324, 0
40.001252, 10.000098, 262300, 78, 901.5, 823, 1405, 2354, 8937, 73578, 0
50.001213, 9.999961, 260056, 80, 889.9, 830, 1328, 2033, 6818, 82121, 0
60.001222, 10.000009, 259881, 80, 917.6, 834, 1443, 2464, 7971, 68258, 0
70.001289, 10.000067, 256204, 81, 903.4, 836, 1359, 2196, 7384, 68258, 0
80.001164, 9.999875, 258790, 90, 901.6, 836, 1431, 2256, 6095, 99522, 0
90.001205, 10.000041, 256382, 88, 927.9, 842, 1592, 2591, 6116, 79248, 0
100.001268, 10.000063, 252305, 65, 914.0, 840, 1448, 2556, 7539, 36447, 0
110.001198, 9.99993, 258194, 94, 909.0, 829, 1466, 2536, 7453, 70793, 0
120.001243, 10.000045, 259553, 98, 906.2, 833, 1449, 2343, 7541, 93547, 0
130.001268, 10.000025, 258142, 69, 910.0, 836, 1467, 2525, 6958, 93547, 0
140.001165, 9.999897, 255164, 89, 907.0, 833, 1414, 2311, 7439, 114176, 0
150.001416, 10.000251, 264945, 90, 912.2, 836, 1512, 2465, 7445, 114176, 0
160.001295, 9.999879, 256003, 70, 892.2, 842, 1374, 2050, 4705, 60758, 0
170.001307, 10.000012, 255855, 84, 920.9, 841, 1504, 2304, 6494, 112901, 0
180.001236, 9.999929, 264812, 79, 901.7, 842, 1414, 2177, 5878, 36549, 0
190.001366, 10.00013, 247441, 81, 919.3, 845, 1434, 2565, 7738, 28367, 0
200.001185, 9.999819, 250283, 69, 926.2, 838, 1514, 2856, 8198, 49987, 0
210.001228, 10.000043, 254800, 108, 927.7, 841, 1472, 2479, 7345, 128274, 0
220.001255, 10.000027, 252941, 80, 915.7, 840, 1471, 2501, 6604, 53806, 0
230.001226, 9.999971, 254181, 80, 920.4, 838, 1485, 2480, 5969, 109022, 0
240.001158, 9.999932, 260017, 81, 915.5, 844, 1465, 2267, 6257, 109022, 0
250.001147, 9.999989, 248730, 80, 924.6, 848, 1474, 2515, 6517, 67367, 0
260.001197, 10.00005, 259886, 88, 918.1, 843, 1527, 2372, 6377, 92228, 0
270.001214, 10.000017, 253994, 87, 910.8, 837, 1461, 2368, 7704, 40949, 0
280.001201, 9.999987, 260719, 85, 899.9, 832, 1430, 2245, 5813, 100628, 0
290.001405, 10.000204, 256074, 84, 910.7, 841, 1427, 2253, 7616, 65546, 0
300.00129, 9.999885, 256252, 83, 921.7, 835, 1530, 2440, 8101, 68919, 0
310.001229, 9.999939, 253432, 79, 917.1, 849, 1460, 2279, 5772, 69459, 0
