elapsed, window, total, successful, failed
10.00026, 10.00026, 340517, 340517, 0
20.002313, 10.002053, 320497, 320497, 0
30.001154, 9.998841, 321967, 321967, 0
40.001252, 10.000098, 327554, 327554, 0
50.001213, 9.999961, 325580, 325580, 0
60.001222, 10.000009, 324052, 324052, 0
70.001289, 10.000067, 320743, 320743, 0
80.001164, 9.999875, 323973, 323973, 0
90.001205, 10.000041, 318786, 318786, 0
100.001268, 10.000063, 316114, 316114, 0
110.001198, 9.99993, 322204, 322204, 0
120.001243, 10.000045, 324122, 324122, 0
130.001268, 10.000025, 322563, 322563, 0
140.001165, 9.999897, 319903, 319903, 0
150.001416, 10.000251, 329437, 329437, 0
160.001295, 9.999879, 321350, 321350, 0
170.001307, 10.000012, 319724, 319724, 0
180.001236, 9.999929, 330129, 330129, 0
190.001366, 10.00013, 310607, 310607, 0
200.001185, 9.999819, 313045, 313045, 0
210.001228, 10.000043, 318116, 318116, 0
220.001255, 10.000027, 316725, 316725, 0
230.001226, 9.999971, 317941, 317941, 0
240.001158, 9.999932, 324064, 324064, 0
250.001147, 9.999989, 311673, 311673, 0
260.001197, 10.00005, 323735, 323735, 0
270.001214, 10.000017, 318000, 318000, 0
280.001201, 9.999987, 325663, 325663, 0
290.001405, 10.000204, 320244, 320244, 0
300.00129, 9.999885, 319589, 319589, 0
310.001229, 9.999939, 317020, 317020, 0
320.00145, 10.000221, 319824, 319824, 0
330.003638, 10.002188, 318480, 318480, 0
340.001167, 9.997529, 320607, 320607, 0
350.001232, 10.000065, 327618, 327618, 0
360.001454, 10.000222, 319497, 319497, 0
370.001331, 9.999877, 321819, 321819, 0
380.001174, 9.999843, 311067, 311067, 0
390.001196, 10.000022, 318082, 318082, 0
400.001579, 10.000383, 318343, 318343, 0
410.001419, 9.99984, 326757, 326757, 0
420.001158, 9.999739, 314843, 314843, 0
430.001311, 10.000153, 322209, 322209, 0
440.001263, 9.999952, 317948, 317948, 0
450.001159, 9.999896, 323213, 323213, 0
460.001146, 9.999987, 318442, 318442, 0
470.001161, 10.000015, 326111, 326111, 0
480.001191, 10.00003, 322838, 322838, 0
490.00121, 10.000019, 321441, 321441, 0
500.001201, 9.999991, 327616, 327616, 0
510.001166, 9.999965, 318467, 318467, 0
520.00116, 9.999994, 323594, 323594, 0
530.001195, 10.000035, 321577, 321577, 0
540.001162, 9.999967, 325489, 325489, 0
550.001271, 10.000109, 317322, 317322, 0
560.001178, 9.999907, 328997, 328997, 0
570.001223, 10.000045, 320366, 320366, 0
580.001245, 10.000022, 321630, 321630, 0
590.005869, 10.004624, 327603, 327603, 0
600.001533, 9.995664, 318429, 318429, 0
610.001196, 9.999663, 321717, 321717, 0
620.00125, 10.000054, 324776, 324776, 0
630.001198, 9.999948, 325577, 325577, 0
640.001149, 9.999951, 328211, 328211, 0
650.001142, 9.999993, 316802, 316802, 0
660.001143, 10.000001, 326428, 326428, 0
670.00131, 10.000167, 311328, 311328, 0
680.001178, 9.999868, 321453, 321453, 0
690.001161, 9.999983, 318912, 318912, 0
700.001232, 10.000071, 323985, 323985, 0
710.001269, 10.000037, 323238, 323238, 0
720.001295, 10.000026, 326196, 326196, 0
730.001166, 9.999871, 318373, 318373, 0
740.001266, 10.0001, 316646, 316646, 0
750.001393, 10.000127, 324654, 324654, 0
760.001143, 9.99975, 322296, 322296, 0
770.001202, 10.000059, 321511, 321511, 0
780.001259, 10.000057, 325898, 325898, 0
790.001292, 10.000033, 327157, 327157, 0
800.001167, 9.999875, 320489, 320489, 0
810.001351, 10.000184, 324581, 324581, 0
820.001152, 9.999801, 321543, 321543, 0
830.001143, 9.999991, 322517, 322517, 0
840.00117, 10.000027, 319935, 319935, 0
850.003636, 10.002466, 319217, 319217, 0
860.001388, 9.997752, 323942, 323942, 0
870.001229, 9.999841, 322906, 322906, 0
880.001157, 9.999928, 333617, 333617, 0
890.001268, 10.000111, 321417, 321417, 0
900.001172, 9.999904, 323441, 323441, 0
901.022536, 1.021364, 15299, 15299, 0
