elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000521, 10.000521, 112895, 193, 2641.4, 2680, 3652, 4606, 10129, 15462, 0
20.002375, 10.001854, 86489, 772, 3427.4, 3255, 4366, 6029, 11843, 21733, 0
30.000526, 9.998151, 81883, 330, 3593.1, 3436, 4431, 5674, 9576, 61935, 0
40.001575, 10.001049, 77344, 1760, 3811.7, 3622, 4783, 7131, 13373, 27107, 0
50.001546, 9.999971, 74721, 2801, 3965.4, 3805, 4902, 6447, 9064, 15246, 0
60.001553, 10.000007, 74113, 275, 4009.6, 3855, 4797, 5987, 11967, 96872, 0
70.001572, 10.000019, 73473, 2844, 4014.6, 3873, 4849, 6356, 10568, 38846, 0
80.001578, 10.000006, 72514, 2802, 4102.4, 3944, 5017, 6630, 10262, 14661, 0
90.001598, 10.00002, 73439, 891, 4053.1, 3903, 4878, 6375, 10731, 84817, 0
100.001557, 9.999959, 72457, 1163, 4055.9, 3918, 4828, 5887, 11088, 17359, 0
110.001546, 9.999989, 74966, 225, 3975.3, 3810, 4799, 6143, 8649, 77091, 0
120.001561, 10.000015, 74709, 1040, 3955.1, 3783, 4767, 5857, 8993, 18121, 0
130.001571, 10.00001, 73699, 2613, 3996.0, 3809, 4867, 6526, 9877, 45872, 0
140.001536, 9.999965, 74729, 2816, 3976.6, 3783, 4861, 6286, 9213, 104686, 0
150.001598, 10.000062, 72637, 1528, 4086.2, 3924, 5042, 6692, 9458, 32881, 0
160.001578, 9.99998, 71616, 1392, 4140.5, 3970, 5063, 7359, 14623, 32756, 0
170.001572, 9.999994, 74335, 2840, 3961.5, 3771, 4785, 6299, 14064, 15694, 0
180.001524, 9.999952, 70730, 221, 4182.0, 4049, 5066, 6253, 9446, 78341, 0
190.001569, 10.000045, 71830, 2941, 4141.4, 3979, 5098, 6280, 10053, 13941, 0
200.001558, 9.999989, 69974, 1104, 4203.3, 3999, 5218, 7824, 11496, 82127, 0
210.001525, 9.999967, 75060, 2906, 3955.4, 3763, 4830, 5980, 11070, 91474, 0
220.001571, 10.000046, 73701, 2872, 4009.4, 3801, 4966, 6651, 10373, 14543, 0
230.001545, 9.999974, 73283, 2392, 4047.8, 3902, 4896, 6004, 10794, 103570, 0
240.001545, 10.0, 72615, 2576, 4096.4, 3908, 5070, 7113, 11668, 19339, 0
250.001543, 9.999998, 72421, 2655, 4072.7, 3896, 5022, 6857, 10534, 13633, 0
260.001565, 10.000022, 69834, 280, 4236.3, 4054, 5314, 6919, 13314, 60021, 0
270.001529, 9.999964, 71395, 223, 4167.0, 4032, 5099, 6040, 7507, 58141, 0
280.00155, 10.000021, 74462, 2866, 3971.3, 3804, 4804, 6168, 11352, 19739, 0
290.001547, 9.999997, 71270, 2926, 4151.1, 3966, 5241, 7373, 9779, 25290, 0
300.001573, 10.000026, 72111, 2892, 4096.8, 3931, 4949, 6335, 11413, 47226, 0
310.001543, 9.99997, 70608, 852, 4198.0, 4042, 5154, 6759, 11053, 63763, 0
320.001514, 9.999971, 72147, 2873, 4097.6, 3922, 5073, 6490, 11444, 14609, 0
330.001583, 10.000069, 73576, 1460, 4051.1, 3969, 4924, 5801, 8637, 68289, 0
340.001577, 9.999994, 71081, 2820, 4161.8, 4026, 5028, 6242, 10534, 42061, 0
350.001596, 10.000019, 68080, 1209, 4319.3, 4114, 5460, 8521, 12683, 90234, 0
360.001565, 9.999969, 74536, 1872, 3995.2, 3817, 4838, 6229, 11062, 87893, 0
370.00155, 9.999985, 73387, 1163, 4038.6, 3819, 4985, 7695, 13339, 67803, 0
380.001538, 9.999988, 72882, 288, 4050.5, 3910, 5038, 6786, 11718, 54415, 0
390.001535, 9.999997, 73101, 1340, 4036.6, 3874, 4879, 6574, 10857, 84805, 0
400.001532, 9.999997, 71808, 2382, 4134.0, 3938, 5220, 7578, 11223, 109707, 0
410.001645, 10.000113, 74597, 2867, 3964.1, 3747, 4831, 6768, 10912, 88160, 0
420.001539, 9.999894, 75090, 2861, 3956.9, 3769, 4831, 6111, 10238, 53963, 0
430.001541, 10.000002, 75462, 2811, 3930.8, 3748, 4787, 5960, 10589, 63097, 0
440.001571, 10.00003, 72636, 2018, 4056.3, 3906, 5035, 6510, 10758, 16595, 0
450.001542, 9.999971, 74231, 2128, 3984.5, 3793, 4922, 6361, 9908, 63010, 0
460.001528, 9.999986, 70561, 1310, 4197.5, 4019, 5328, 7850, 13007, 59289, 0
470.001534, 10.000006, 73133, 1318, 4047.1, 3859, 5023, 6937, 11128, 52317, 0
480.001532, 9.999998, 74522, 2816, 3981.3, 3818, 4927, 5909, 8180, 11495, 0
490.001593, 10.000061, 73133, 1105, 4037.1, 3881, 5032, 6294, 9916, 58945, 0
500.001579, 9.999986, 72680, 2853, 4087.2, 3859, 5198, 7357, 12722, 69559, 0
510.001561, 9.999982, 71525, 2796, 4115.2, 3950, 5095, 6639, 10529, 11687, 0
520.001526, 9.999965, 74129, 191, 4000.7, 3845, 4994, 6091, 10315, 13985, 0
530.001528, 10.000002, 72200, 1765, 4134.7, 3983, 5216, 6799, 10188, 80118, 0
540.001524, 9.999996, 73357, 2778, 4011.0, 3788, 5005, 6173, 11983, 14933, 0
550.001531, 10.000007, 73838, 2529, 4008.8, 3799, 4897, 7355, 11715, 60075, 0
560.001535, 10.000004, 71841, 554, 4114.5, 3965, 5178, 7234, 13258, 24007, 0
570.001566, 10.000031, 72847, 1242, 4059.8, 3930, 4918, 6248, 11857, 89881, 0
580.001531, 9.999965, 73976, 618, 4009.1, 3877, 5000, 6484, 10236, 16566, 0
590.001541, 10.00001, 74824, 1490, 3962.7, 3780, 4846, 6425, 11135, 12925, 0
600.001537, 9.999996, 74668, 2774, 3962.6, 3763, 4860, 6716, 11922, 13062, 0
610.001541, 10.000004, 74550, 2915, 3974.7, 3783, 4853, 6107, 11744, 71477, 0
620.001533, 9.999992, 74894, 2825, 3949.9, 3754, 4827, 6549, 10654, 13526, 0
630.001545, 10.000012, 75916, 1888, 3935.1, 3777, 4781, 5724, 8295, 9377, 0
640.001547, 10.000002, 75054, 1888, 3911.7, 3749, 4668, 5569, 10754, 23482, 0
650.001529, 9.999982, 72904, 2910, 4053.6, 3905, 4887, 6122, 9526, 15420, 0
660.00153, 10.000001, 74310, 534, 4003.5, 3822, 5005, 6616, 9167, 72261, 0
670.001528, 9.999998, 71987, 291, 4106.9, 3935, 5243, 7046, 10844, 56840, 0
680.001549, 10.000021, 71566, 2249, 4142.1, 3958, 5189, 6938, 11549, 55476, 0
690.001541, 9.999992, 72292, 2785, 4076.1, 3913, 5019, 6434, 11082, 63865, 0
700.001533, 9.999992, 71698, 2899, 4123.9, 3943, 5133, 6751, 11496, 15881, 0
710.001628, 10.000095, 72929, 2428, 4069.3, 3920, 5033, 6263, 8585, 83574, 0
720.001585, 9.999957, 75732, 877, 3927.0, 3800, 4935, 6018, 8780, 67237, 0
730.001541, 9.999956, 72282, 289, 4087.5, 3933, 4992, 6621, 10615, 67935, 0
740.001534, 9.999993, 71059, 2842, 4153.4, 3953, 5171, 7483, 12597, 104826, 0
750.00158, 10.000046, 73441, 2647, 4045.7, 3895, 4980, 6024, 10952, 47614, 0
760.001579, 9.999999, 73004, 2338, 4052.5, 3937, 4945, 5732, 8038, 98707, 0
770.001547, 9.999968, 71137, 2499, 4164.9, 3966, 5140, 7810, 12625, 16165, 0
780.001531, 9.999984, 73068, 1255, 4046.7, 3896, 4961, 7033, 12176, 28366, 0
790.001534, 10.000003, 72353, 1860, 4098.0, 3937, 5100, 6758, 10078, 13762, 0
800.001547, 10.000013, 72030, 1387, 4095.6, 3926, 5024, 6647, 10446, 63078, 0
810.001573, 10.000026, 72191, 2842, 4098.9, 3955, 4937, 6166, 8772, 92149, 0
820.001545, 9.999972, 74182, 1830, 4006.1, 3902, 4889, 5861, 10818, 14089, 0
830.001528, 9.999983, 74462, 189, 3963.7, 3809, 4840, 5990, 10830, 24555, 0
840.001802, 10.000274, 73935, 1598, 4002.5, 3840, 4922, 6544, 11579, 25339, 0
850.001534, 9.999732, 74486, 2037, 3972.4, 3808, 4843, 5657, 8200, 12949, 0
860.001671, 10.000137, 70581, 1941, 4203.9, 3982, 5243, 8415, 12976, 15011, 0
870.001528, 9.999857, 71705, 1801, 4108.3, 3920, 5015, 7808, 12972, 88324, 0
880.001584, 10.000056, 73891, 192, 4021.5, 3850, 4961, 6582, 11321, 96272, 0
890.00153, 9.999946, 71608, 2831, 4123.5, 3970, 5071, 6256, 11794, 14574, 0
900.001533, 10.000003, 73299, 969, 4049.1, 3898, 5048, 7037, 11476, 82522, 0
901.008478, 1.006945, 6986, 1375, 4036.4, 3879, 5044, 6991, 11299, 13807, 0
