elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000521, 10.000521, 1129, 929, 2632.5, 2664, 3624, 4669, 9925, 14130, 0
20.002375, 10.001854, 850, 1593, 3372.1, 3213, 4229, 5704, 10505, 12497, 0
30.000526, 9.998151, 781, 2562, 3545.4, 3395, 4277, 5410, 9170, 11102, 0
40.001575, 10.001049, 750, 2466, 3823.3, 3573, 4924, 8889, 14184, 15023, 0
50.001546, 9.999971, 709, 296, 3881.8, 3733, 4828, 7013, 8889, 15023, 0
60.001553, 10.000007, 747, 296, 3916.2, 3787, 4789, 6165, 10729, 14274, 0
70.001572, 10.000019, 696, 3205, 3909.9, 3795, 4634, 5698, 8681, 11824, 0
80.001578, 10.000006, 749, 3131, 4020.9, 3868, 4924, 6105, 7521, 7888, 0
90.001598, 10.00002, 744, 2520, 3971.8, 3834, 4753, 5740, 7888, 8959, 0
100.001557, 9.999959, 757, 209, 4000.3, 3859, 4832, 5823, 9664, 10082, 0
110.001546, 9.999989, 774, 209, 3892.5, 3734, 4712, 5639, 8133, 11119, 0
120.001561, 10.000015, 755, 2919, 3879.1, 3733, 4664, 5462, 6836, 7249, 0
130.001571, 10.00001, 755, 2876, 3935.3, 3759, 4750, 5700, 9225, 17491, 0
140.001536, 9.999965, 723, 2402, 3927.8, 3730, 4896, 6186, 8084, 9098, 0
150.001598, 10.000062, 742, 2402, 4031.9, 3834, 4957, 7018, 9098, 9472, 0
160.001578, 9.99998, 661, 2207, 4067.8, 3895, 4941, 8096, 11123, 12042, 0
170.001572, 9.999994, 743, 189, 3908.4, 3720, 4740, 6177, 13177, 14345, 0
180.001524, 9.999952, 663, 189, 4119.3, 3988, 4947, 6154, 8511, 13177, 0
190.001569, 10.000045, 674, 1589, 4074.0, 3902, 5050, 6368, 9498, 13719, 0
200.001558, 9.999989, 733, 1589, 4109.5, 3913, 5155, 7251, 8649, 9876, 0
210.001525, 9.999967, 685, 3154, 3919.3, 3700, 4946, 6987, 11765, 11934, 0
220.001571, 10.000046, 709, 3181, 3969.5, 3743, 4999, 6979, 9790, 9888, 0
230.001545, 9.999974, 752, 2932, 4014.6, 3848, 4923, 6022, 11345, 14850, 0
240.001545, 10.0, 699, 3072, 4031.6, 3841, 4980, 7907, 13576, 13713, 0
250.001543, 9.999998, 711, 291, 4019.4, 3834, 5014, 6922, 13576, 27957, 0
260.001565, 10.000022, 676, 291, 4178.9, 3997, 5269, 7742, 13271, 27957, 0
270.001529, 9.999964, 728, 1455, 4159.1, 3972, 4986, 6314, 10462, 57967, 0
280.00155, 10.000021, 720, 2984, 3890.0, 3739, 4626, 6365, 9432, 10456, 0
290.001547, 9.999997, 741, 2968, 4090.6, 3897, 5232, 7076, 9172, 9354, 0
300.001573, 10.000026, 723, 846, 4042.8, 3852, 4937, 7003, 8165, 8439, 0
310.001543, 9.99997, 669, 846, 4162.9, 3983, 5300, 6605, 10676, 10785, 0
320.001514, 9.999971, 757, 3128, 4054.6, 3846, 5165, 7279, 10327, 11392, 0
330.001583, 10.000069, 691, 1979, 3963.8, 3872, 4827, 5496, 9944, 10327, 0
340.001577, 9.999994, 705, 2606, 4060.3, 3922, 4908, 6207, 10340, 10963, 0
350.001596, 10.000019, 678, 2428, 4280.4, 4088, 5447, 8436, 11131, 11541, 0
360.001565, 9.999969, 759, 1196, 3905.2, 3750, 4731, 5724, 8149, 8680, 0
370.00155, 9.999985, 728, 1196, 3963.2, 3754, 5008, 7309, 11689, 13460, 0
380.001538, 9.999988, 727, 1734, 3982.8, 3848, 5203, 6608, 9964, 13497, 0
390.001535, 9.999997, 781, 1997, 3965.5, 3803, 4785, 6608, 10421, 10827, 0
400.001532, 9.999997, 764, 2500, 4065.5, 3872, 5046, 7531, 10978, 10984, 0
410.001645, 10.000113, 741, 2966, 3936.3, 3684, 4757, 6709, 17542, 17674, 0
420.001539, 9.999894, 770, 3022, 3905.9, 3712, 4836, 6551, 8044, 8951, 0
430.001541, 10.000002, 752, 3245, 3886.7, 3687, 4731, 7464, 10305, 10623, 0
440.001571, 10.00003, 734, 2335, 4051.6, 3845, 4922, 6500, 10207, 62965, 0
450.001542, 9.999971, 730, 2335, 4023.8, 3732, 4858, 7208, 17079, 62965, 0
460.001528, 9.999986, 642, 1348, 4143.1, 3954, 5341, 8816, 12438, 12490, 0
470.001534, 10.000006, 661, 1322, 3997.1, 3816, 5005, 6887, 8997, 9759, 0
480.001532, 9.999998, 782, 2980, 3922.6, 3749, 4942, 5777, 8094, 8832, 0
490.001593, 10.000061, 722, 1018, 3980.7, 3824, 5023, 6631, 7807, 8654, 0
500.001579, 9.999986, 771, 3011, 4009.3, 3784, 5021, 7031, 11369, 11383, 0
510.001561, 9.999982, 721, 3300, 4052.1, 3900, 4963, 6604, 9721, 10514, 0
520.001526, 9.999965, 740, 1875, 3928.8, 3778, 4847, 5778, 10449, 13813, 0
530.001528, 10.000002, 708, 2884, 4056.7, 3913, 5100, 6726, 7439, 10464, 0
540.001524, 9.999996, 745, 2813, 3943.8, 3714, 4985, 6412, 7501, 9920, 0
550.001531, 10.000007, 773, 2813, 3959.7, 3730, 4873, 7487, 10563, 14447, 0
560.001535, 10.000004, 734, 515, 4034.9, 3897, 5098, 7992, 11148, 13123, 0
570.001566, 10.000031, 784, 2708, 3995.8, 3879, 4921, 5742, 7371, 7614, 0
580.001531, 9.999965, 716, 1701, 3969.6, 3786, 5200, 6648, 7765, 9458, 0
590.001541, 10.00001, 764, 2915, 3872.6, 3701, 4708, 6127, 8701, 9891, 0
600.001537, 9.999996, 760, 2933, 3900.7, 3718, 4750, 6020, 11324, 12974, 0
610.001541, 10.000004, 751, 2948, 3892.9, 3728, 4703, 5421, 6585, 6715, 0
620.001533, 9.999992, 737, 2894, 3895.3, 3706, 4757, 6507, 8202, 8913, 0
630.001545, 10.000012, 731, 2832, 3871.3, 3719, 4625, 6158, 8321, 8579, 0
640.001547, 10.000002, 741, 2955, 3857.7, 3692, 4639, 5289, 8663, 12200, 0
650.001529, 9.999982, 712, 3032, 3994.6, 3846, 4877, 6105, 7987, 8663, 0
660.00153, 10.000001, 708, 2670, 3959.1, 3784, 4982, 6421, 9090, 11075, 0
670.001528, 9.999998, 732, 2301, 4038.2, 3883, 5237, 6923, 10961, 12085, 0
680.001549, 10.000021, 694, 2301, 4083.8, 3878, 5410, 6467, 10961, 12085, 0
690.001541, 9.999992, 762, 3076, 4043.9, 3867, 5071, 6400, 7633, 8956, 0
700.001533, 9.999992, 702, 3079, 4094.4, 3881, 5274, 6460, 10275, 15827, 0
710.001628, 10.000095, 701, 2680, 3971.6, 3850, 4877, 6087, 7267, 7804, 0
720.001585, 9.999957, 784, 301, 3873.0, 3743, 4912, 6087, 8909, 10103, 0
730.001541, 9.999956, 683, 301, 4028.4, 3872, 5017, 6590, 8204, 9484, 0
740.001534, 9.999993, 716, 3167, 4103.0, 3912, 5163, 6984, 12346, 12574, 0
750.00158, 10.000046, 718, 2772, 4022.4, 3884, 5062, 6381, 7562, 12574, 0
760.001579, 9.999999, 745, 2679, 3972.4, 3870, 4781, 5250, 6334, 7101, 0
770.001547, 9.999968, 694, 3129, 4098.5, 3908, 5138, 7213, 8517, 15146, 0
780.001531, 9.999984, 746, 2944, 3977.9, 3823, 4854, 6556, 8350, 17989, 0
790.001534, 10.000003, 712, 1633, 4007.0, 3869, 4880, 6487, 8790, 12703, 0
800.001547, 10.000013, 694, 2249, 4065.5, 3871, 5191, 6845, 9274, 10235, 0
810.001573, 10.000026, 797, 2860, 4070.0, 3903, 5170, 6244, 8740, 9399, 0
820.001545, 9.999972, 735, 2773, 3977.8, 3848, 4925, 5950, 12241, 13282, 0
830.001528, 9.999983, 767, 2198, 3905.2, 3738, 4747, 6613, 8598, 11017, 0
840.001802, 10.000274, 749, 2198, 3908.3, 3759, 4830, 5968, 9160, 9357, 0
850.001534, 9.999732, 742, 3022, 3935.3, 3739, 4852, 5778, 12097, 12884, 0
860.001671, 10.000137, 712, 3082, 4180.3, 3933, 5417, 7873, 10038, 14756, 0
870.001528, 9.999857, 777, 2848, 4018.0, 3864, 4833, 6363, 10612, 13834, 0
880.001584, 10.000056, 728, 216, 3988.6, 3789, 4999, 7840, 9637, 10612, 0
890.00153, 9.999946, 739, 2907, 4030.0, 3891, 4932, 5807, 7970, 13480, 0
900.001533, 10.000003, 715, 1499, 3951.8, 3812, 4981, 6040, 10513, 12303, 0
