elapsed, window, total, successful, failed
10.000521, 10.000521, 114024, 114024, 0
20.002375, 10.001854, 87339, 87339, 0
30.000526, 9.998151, 82664, 82664, 0
40.001575, 10.001049, 78094, 78094, 0
50.001546, 9.999971, 75430, 75430, 0
60.001553, 10.000007, 74860, 74860, 0
70.001572, 10.000019, 74169, 74169, 0
80.001578, 10.000006, 73263, 73263, 0
90.001598, 10.00002, 74183, 74183, 0
100.001557, 9.999959, 73214, 73214, 0
110.001546, 9.999989, 75740, 75740, 0
120.001561, 10.000015, 75464, 75464, 0
130.001571, 10.00001, 74454, 74454, 0
140.001536, 9.999965, 75452, 75452, 0
150.001598, 10.000062, 73379, 73379, 0
160.001578, 9.99998, 72277, 72277, 0
170.001572, 9.999994, 75078, 75078, 0
180.001524, 9.999952, 71393, 71393, 0
190.001569, 10.000045, 72504, 72504, 0
200.001558, 9.999989, 70707, 70707, 0
210.001525, 9.999967, 75745, 75745, 0
220.001571, 10.000046, 74410, 74410, 0
230.001545, 9.999974, 74035, 74035, 0
240.001545, 10.0, 73314, 73314, 0
250.001543, 9.999998, 73132, 73132, 0
260.001565, 10.000022, 70510, 70510, 0
270.001529, 9.999964, 72123, 72123, 0
280.00155, 10.000021, 75182, 75182, 0
290.001547, 9.999997, 72011, 72011, 0
300.001573, 10.000026, 72834, 72834, 0
310.001543, 9.99997, 71277, 71277, 0
320.001514, 9.999971, 72904, 72904, 0
330.001583, 10.000069, 74267, 74267, 0
340.001577, 9.999994, 71786, 71786, 0
350.001596, 10.000019, 68758, 68758, 0
360.001565, 9.999969, 75295, 75295, 0
370.00155, 9.999985, 74115, 74115, 0
380.001538, 9.999988, 73609, 73609, 0
390.001535, 9.999997, 73882, 73882, 0
400.001532, 9.999997, 72572, 72572, 0
410.001645, 10.000113, 75338, 75338, 0
420.001539, 9.999894, 75860, 75860, 0
430.001541, 10.000002, 76214, 76214, 0
440.001571, 10.00003, 73370, 73370, 0
450.001542, 9.999971, 74961, 74961, 0
460.001528, 9.999986, 71203, 71203, 0
470.001534, 10.000006, 73794, 73794, 0
480.001532, 9.999998, 75304, 75304, 0
490.001593, 10.000061, 73855, 73855, 0
500.001579, 9.999986, 73451, 73451, 0
510.001561, 9.999982, 72246, 72246, 0
520.001526, 9.999965, 74869, 74869, 0
530.001528, 10.000002, 72908, 72908, 0
540.001524, 9.999996, 74102, 74102, 0
550.001531, 10.000007, 74611, 74611, 0
560.001535, 10.000004, 72575, 72575, 0
570.001566, 10.000031, 73631, 73631, 0
580.001531, 9.999965, 74692, 74692, 0
590.001541, 10.00001, 75588, 75588, 0
600.001537, 9.999996, 75428, 75428, 0
610.001541, 10.000004, 75301, 75301, 0
620.001533, 9.999992, 75631, 75631, 0
630.001545, 10.000012, 76647, 76647, 0
640.001547, 10.000002, 75795, 75795, 0
650.001529, 9.999982, 73616, 73616, 0
660.00153, 10.000001, 75018, 75018, 0
670.001528, 9.999998, 72719, 72719, 0
680.001549, 10.000021, 72260, 72260, 0
690.001541, 9.999992, 73054, 73054, 0
700.001533, 9.999992, 72400, 72400, 0
710.001628, 10.000095, 73630, 73630, 0
720.001585, 9.999957, 76516, 76516, 0
730.001541, 9.999956, 72965, 72965, 0
740.001534, 9.999993, 71775, 71775, 0
750.00158, 10.000046, 74159, 74159, 0
760.001579, 9.999999, 73749, 73749, 0
770.001547, 9.999968, 71831, 71831, 0
780.001531, 9.999984, 73814, 73814, 0
790.001534, 10.000003, 73065, 73065, 0
800.001547, 10.000013, 72724, 72724, 0
810.001573, 10.000026, 72988, 72988, 0
820.001545, 9.999972, 74917, 74917, 0
830.001528, 9.999983, 75229, 75229, 0
840.001802, 10.000274, 74684, 74684, 0
850.001534, 9.999732, 75228, 75228, 0
860.001671, 10.000137, 71293, 71293, 0
870.001528, 9.999857, 72482, 72482, 0
880.001584, 10.000056, 74619, 74619, 0
890.00153, 9.999946, 72347, 72347, 0
900.001533, 10.000003, 74014, 74014, 0
901.008478, 1.006945, 7068, 7068, 0
